date,FB,isPartial
2016-10-09,97,False
2016-10-16,97,False
2016-10-23,98,False
2016-10-30,98,False
2016-11-06,94,False
2016-11-13,94,False
2016-11-20,91,False
2016-11-27,93,False
2016-12-04,93,False
2016-12-11,96,False
2016-12-18,97,False
2016-12-25,100,False
2017-01-01,95,False
2017-01-08,93,False
2017-01-15,90,False
2017-01-22,91,False
2017-01-29,90,False
2017-02-05,89,False
2017-02-12,93,False
2017-02-19,91,False
2017-02-26,87,False
2017-03-05,89,False
2017-03-12,87,False
2017-03-19,89,False
2017-03-26,91,False
2017-04-02,89,False
2017-04-09,92,False
2017-04-16,89,False
2017-04-23,84,False
2017-04-30,88,False
2017-05-07,87,False
2017-05-14,85,False
2017-05-21,89,False
2017-05-28,87,False
2017-06-04,87,False
2017-06-11,88,False
2017-06-18,82,False
2017-06-25,82,False
2017-07-02,89,False
2017-07-09,83,False
2017-07-16,81,False
2017-07-23,81,False
2017-07-30,77,False
2017-08-06,75,False
2017-08-13,77,False
2017-08-20,80,False
2017-08-27,76,False
2017-09-03,76,False
2017-09-10,74,False
2017-09-17,75,False
2017-09-24,73,False
2017-10-01,73,False
2017-10-08,71,False
2017-10-15,74,False
2017-10-22,75,False
2017-10-29,72,False
2017-11-05,70,False
2017-11-12,69,False
2017-11-19,68,False
2017-11-26,68,False
2017-12-03,71,False
2017-12-10,72,False
2017-12-17,74,False
2017-12-24,77,False
2017-12-31,74,False
2018-01-07,65,False
2018-01-14,67,False
2018-01-21,67,False
2018-01-28,66,False
2018-02-04,67,False
2018-02-11,66,False
2018-02-18,66,False
2018-02-25,67,False
2018-03-04,64,False
2018-03-11,67,False
2018-03-18,68,False
2018-03-25,66,False
2018-04-01,63,False
2018-04-08,63,False
2018-04-15,62,False
2018-04-22,59,False
2018-04-29,62,False
2018-05-06,60,False
2018-05-13,57,False
2018-05-20,60,False
2018-05-27,60,False
2018-06-03,58,False
2018-06-10,57,False
2018-06-17,57,False
2018-06-24,56,False
2018-07-01,55,False
2018-07-08,53,False
2018-07-15,53,False
2018-07-22,57,False
2018-07-29,53,False
2018-08-05,52,False
2018-08-12,50,False
2018-08-19,52,False
2018-08-26,50,False
2018-09-02,50,False
2018-09-09,50,False
2018-09-16,48,False
2018-09-23,49,False
2018-09-30,48,False
2018-10-07,47,False
2018-10-14,48,False
2018-10-21,48,False
2018-10-28,48,False
2018-11-04,46,False
2018-11-11,48,False
2018-11-18,47,False
2018-11-25,47,False
2018-12-02,45,False
2018-12-09,44,False
2018-12-16,45,False
2018-12-23,46,False
2018-12-30,48,False
2019-01-06,44,False
2019-01-13,43,False
2019-01-20,43,False
2019-01-27,43,False
2019-02-03,41,False
2019-02-10,42,False
2019-02-17,42,False
2019-02-24,41,False
2019-03-03,41,False
2019-03-10,43,False
2019-03-17,42,False
2019-03-24,41,False
2019-03-31,41,False
2019-04-07,42,False
2019-04-14,43,False
2019-04-21,43,False
2019-04-28,43,False
2019-05-05,40,False
2019-05-12,42,False
2019-05-19,42,False
2019-05-26,41,False
2019-06-02,39,False
2019-06-09,40,False
2019-06-16,42,False
2019-06-23,39,False
2019-06-30,39,False
2019-07-07,38,False
2019-07-14,38,False
2019-07-21,38,False
2019-07-28,37,False
2019-08-04,38,False
2019-08-11,38,False
2019-08-18,38,False
2019-08-25,38,False
2019-09-01,38,False
2019-09-08,36,False
2019-09-15,37,False
2019-09-22,37,False
2019-09-29,35,False
2019-10-06,35,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,37,False
2019-11-03,35,False
2019-11-10,35,False
2019-11-17,34,False
2019-11-24,35,False
2019-12-01,34,False
2019-12-08,34,False
2019-12-15,34,False
2019-12-22,36,False
2019-12-29,34,False
2020-01-05,32,False
2020-01-12,32,False
2020-01-19,31,False
2020-01-26,33,False
2020-02-02,31,False
2020-02-09,32,False
2020-02-16,31,False
2020-02-23,33,False
2020-03-01,32,False
2020-03-08,31,False
2020-03-15,32,False
2020-03-22,32,False
2020-03-29,31,False
2020-04-05,31,False
2020-04-12,31,False
2020-04-19,30,False
2020-04-26,30,False
2020-05-03,30,False
2020-05-10,30,False
2020-05-17,30,False
2020-05-24,31,False
2020-05-31,30,False
2020-06-07,30,False
2020-06-14,31,False
2020-06-21,30,False
2020-06-28,31,False
2020-07-05,31,False
2020-07-12,31,False
2020-07-19,33,False
2020-07-26,32,False
2020-08-02,31,False
2020-08-09,31,False
2020-08-16,31,False
2020-08-23,32,False
2020-08-30,30,False
2020-09-06,30,False
2020-09-13,29,False
2020-09-20,29,False
2020-09-27,29,False
2020-10-04,28,False
2020-10-11,29,False
2020-10-18,29,False
2020-10-25,29,False
2020-11-01,27,False
2020-11-08,28,False
2020-11-15,28,False
2020-11-22,28,False
2020-11-29,27,False
2020-12-06,28,False
2020-12-13,27,False
2020-12-20,28,False
2020-12-27,28,False
2021-01-03,26,False
2021-01-10,26,False
2021-01-17,25,False
2021-01-24,25,False
2021-01-31,26,False
2021-02-07,25,False
2021-02-14,25,False
2021-02-21,24,False
2021-02-28,25,False
2021-03-07,25,False
2021-03-14,24,False
2021-03-21,26,False
2021-03-28,25,False
2021-04-04,26,False
2021-04-11,26,False
2021-04-18,25,False
2021-04-25,26,False
2021-05-02,26,False
2021-05-09,25,False
2021-05-16,25,False
2021-05-23,25,False
2021-05-30,24,False
2021-06-06,24,False
2021-06-13,23,False
2021-06-20,23,False
2021-06-27,24,False
2021-07-04,22,False
2021-07-11,24,False
2021-07-18,25,False
2021-07-25,24,False
2021-08-01,23,False
2021-08-08,24,False
2021-08-15,24,False
2021-08-22,23,False
2021-08-29,23,False
