date,ABT,isPartial
2016-09-11,51,False
2016-09-18,52,False
2016-09-25,49,False
2016-10-02,50,False
2016-10-09,58,False
2016-10-16,50,False
2016-10-23,52,False
2016-10-30,50,False
2016-11-06,53,False
2016-11-13,58,False
2016-11-20,58,False
2016-11-27,56,False
2016-12-04,52,False
2016-12-11,54,False
2016-12-18,55,False
2016-12-25,51,False
2017-01-01,51,False
2017-01-08,56,False
2017-01-15,50,False
2017-01-22,56,False
2017-01-29,58,False
2017-02-05,48,False
2017-02-12,50,False
2017-02-19,55,False
2017-02-26,55,False
2017-03-05,58,False
2017-03-12,53,False
2017-03-19,51,False
2017-03-26,56,False
2017-04-02,50,False
2017-04-09,46,False
2017-04-16,47,False
2017-04-23,54,False
2017-04-30,48,False
2017-05-07,55,False
2017-05-14,61,False
2017-05-21,48,False
2017-05-28,58,False
2017-06-04,54,False
2017-06-11,56,False
2017-06-18,51,False
2017-06-25,49,False
2017-07-02,50,False
2017-07-09,53,False
2017-07-16,41,False
2017-07-23,48,False
2017-07-30,51,False
2017-08-06,50,False
2017-08-13,53,False
2017-08-20,48,False
2017-08-27,52,False
2017-09-03,50,False
2017-09-10,45,False
2017-09-17,49,False
2017-09-24,46,False
2017-10-01,53,False
2017-10-08,52,False
2017-10-15,48,False
2017-10-22,55,False
2017-10-29,55,False
2017-11-05,57,False
2017-11-12,55,False
2017-11-19,64,False
2017-11-26,58,False
2017-12-03,54,False
2017-12-10,49,False
2017-12-17,49,False
2017-12-24,47,False
2017-12-31,52,False
2018-01-07,52,False
2018-01-14,51,False
2018-01-21,63,False
2018-01-28,60,False
2018-02-04,59,False
2018-02-11,53,False
2018-02-18,58,False
2018-02-25,69,False
2018-03-04,65,False
2018-03-11,55,False
2018-03-18,54,False
2018-03-25,51,False
2018-04-01,48,False
2018-04-08,50,False
2018-04-15,51,False
2018-04-22,48,False
2018-04-29,50,False
2018-05-06,52,False
2018-05-13,55,False
2018-05-20,61,False
2018-05-27,56,False
2018-06-03,57,False
2018-06-10,47,False
2018-06-17,52,False
2018-06-24,53,False
2018-07-01,57,False
2018-07-08,48,False
2018-07-15,50,False
2018-07-22,51,False
2018-07-29,50,False
2018-08-05,49,False
2018-08-12,52,False
2018-08-19,46,False
2018-08-26,52,False
2018-09-02,51,False
2018-09-09,49,False
2018-09-16,52,False
2018-09-23,46,False
2018-09-30,50,False
2018-10-07,50,False
2018-10-14,49,False
2018-10-21,49,False
2018-10-28,47,False
2018-11-04,47,False
2018-11-11,52,False
2018-11-18,55,False
2018-11-25,53,False
2018-12-02,52,False
2018-12-09,48,False
2018-12-16,50,False
2018-12-23,55,False
2018-12-30,50,False
2019-01-06,55,False
2019-01-13,53,False
2019-01-20,54,False
2019-01-27,51,False
2019-02-03,51,False
2019-02-10,52,False
2019-02-17,56,False
2019-02-24,46,False
2019-03-03,50,False
2019-03-10,53,False
2019-03-17,53,False
2019-03-24,52,False
2019-03-31,56,False
2019-04-07,53,False
2019-04-14,55,False
2019-04-21,53,False
2019-04-28,55,False
2019-05-05,54,False
2019-05-12,54,False
2019-05-19,56,False
2019-05-26,57,False
2019-06-02,48,False
2019-06-09,47,False
2019-06-16,50,False
2019-06-23,47,False
2019-06-30,51,False
2019-07-07,54,False
2019-07-14,52,False
2019-07-21,44,False
2019-07-28,54,False
2019-08-04,49,False
2019-08-11,48,False
2019-08-18,51,False
2019-08-25,48,False
2019-09-01,52,False
2019-09-08,50,False
2019-09-15,51,False
2019-09-22,50,False
2019-09-29,50,False
2019-10-06,49,False
2019-10-13,52,False
2019-10-20,50,False
2019-10-27,55,False
2019-11-03,55,False
2019-11-10,49,False
2019-11-17,51,False
2019-11-24,52,False
2019-12-01,48,False
2019-12-08,47,False
2019-12-15,46,False
2019-12-22,48,False
2019-12-29,46,False
2020-01-05,50,False
2020-01-12,50,False
2020-01-19,54,False
2020-01-26,53,False
2020-02-02,56,False
2020-02-09,57,False
2020-02-16,57,False
2020-02-23,50,False
2020-03-01,53,False
2020-03-08,51,False
2020-03-15,51,False
2020-03-22,57,False
2020-03-29,83,False
2020-04-05,64,False
2020-04-12,68,False
2020-04-19,64,False
2020-04-26,60,False
2020-05-03,56,False
2020-05-10,61,False
2020-05-17,58,False
2020-05-24,100,False
2020-05-31,64,False
2020-06-07,66,False
2020-06-14,59,False
2020-06-21,57,False
2020-06-28,62,False
2020-07-05,64,False
2020-07-12,62,False
2020-07-19,60,False
2020-07-26,57,False
2020-08-02,48,False
2020-08-09,59,False
2020-08-16,57,False
2020-08-23,73,False
2020-08-30,62,False
2020-09-06,63,False
2020-09-13,63,False
2020-09-20,57,False
2020-09-27,63,False
2020-10-04,53,False
2020-10-11,50,False
2020-10-18,55,False
2020-10-25,52,False
2020-11-01,54,False
2020-11-08,57,False
2020-11-15,51,False
2020-11-22,55,False
2020-11-29,56,False
2020-12-06,50,False
2020-12-13,54,False
2020-12-20,56,False
2020-12-27,53,False
2021-01-03,49,False
2021-01-10,50,False
2021-01-17,54,False
2021-01-24,51,False
2021-01-31,47,False
2021-02-07,51,False
2021-02-14,56,False
2021-02-21,51,False
2021-02-28,55,False
2021-03-07,63,False
2021-03-14,51,False
2021-03-21,52,False
2021-03-28,49,False
2021-04-04,54,False
2021-04-11,56,False
2021-04-18,57,False
2021-04-25,55,False
2021-05-02,48,False
2021-05-09,51,False
2021-05-16,49,False
2021-05-23,56,False
2021-05-30,52,False
2021-06-06,49,False
2021-06-13,56,False
2021-06-20,51,False
2021-06-27,56,False
2021-07-04,53,False
2021-07-11,51,False
2021-07-18,61,False
2021-07-25,54,False
2021-08-01,51,False
2021-08-08,55,False
2021-08-15,51,False
2021-08-22,52,False
2021-08-29,53,False
