date,KHC,isPartial
2016-08-21,12,False
2016-08-28,10,False
2016-09-04,9,False
2016-09-11,12,False
2016-09-18,8,False
2016-09-25,5,False
2016-10-02,12,False
2016-10-09,7,False
2016-10-16,9,False
2016-10-23,12,False
2016-10-30,13,False
2016-11-06,13,False
2016-11-13,13,False
2016-11-20,8,False
2016-11-27,7,False
2016-12-04,9,False
2016-12-11,7,False
2016-12-18,9,False
2016-12-25,10,False
2017-01-01,8,False
2017-01-08,8,False
2017-01-15,12,False
2017-01-22,12,False
2017-01-29,12,False
2017-02-05,7,False
2017-02-12,18,False
2017-02-19,17,False
2017-02-26,14,False
2017-03-05,9,False
2017-03-12,8,False
2017-03-19,10,False
2017-03-26,10,False
2017-04-02,9,False
2017-04-09,7,False
2017-04-16,8,False
2017-04-23,4,False
2017-04-30,12,False
2017-05-07,7,False
2017-05-14,11,False
2017-05-21,8,False
2017-05-28,7,False
2017-06-04,10,False
2017-06-11,10,False
2017-06-18,5,False
2017-06-25,11,False
2017-07-02,14,False
2017-07-09,8,False
2017-07-16,10,False
2017-07-23,8,False
2017-07-30,12,False
2017-08-06,10,False
2017-08-13,9,False
2017-08-20,11,False
2017-08-27,11,False
2017-09-03,7,False
2017-09-10,10,False
2017-09-17,10,False
2017-09-24,8,False
2017-10-01,8,False
2017-10-08,9,False
2017-10-15,12,False
2017-10-22,5,False
2017-10-29,12,False
2017-11-05,11,False
2017-11-12,11,False
2017-11-19,8,False
2017-11-26,8,False
2017-12-03,7,False
2017-12-10,8,False
2017-12-17,12,False
2017-12-24,6,False
2017-12-31,9,False
2018-01-07,7,False
2018-01-14,8,False
2018-01-21,9,False
2018-01-28,11,False
2018-02-04,6,False
2018-02-11,18,False
2018-02-18,15,False
2018-02-25,11,False
2018-03-04,12,False
2018-03-11,10,False
2018-03-18,16,False
2018-03-25,10,False
2018-04-01,11,False
2018-04-08,12,False
2018-04-15,13,False
2018-04-22,12,False
2018-04-29,18,False
2018-05-06,15,False
2018-05-13,12,False
2018-05-20,16,False
2018-05-27,10,False
2018-06-03,15,False
2018-06-10,14,False
2018-06-17,15,False
2018-06-24,13,False
2018-07-01,12,False
2018-07-08,16,False
2018-07-15,12,False
2018-07-22,11,False
2018-07-29,16,False
2018-08-05,11,False
2018-08-12,17,False
2018-08-19,9,False
2018-08-26,11,False
2018-09-02,10,False
2018-09-09,10,False
2018-09-16,16,False
2018-09-23,11,False
2018-09-30,11,False
2018-10-07,12,False
2018-10-14,10,False
2018-10-21,12,False
2018-10-28,17,False
2018-11-04,15,False
2018-11-11,13,False
2018-11-18,15,False
2018-11-25,11,False
2018-12-02,12,False
2018-12-09,10,False
2018-12-16,14,False
2018-12-23,17,False
2018-12-30,14,False
2019-01-06,11,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,15,False
2019-02-03,15,False
2019-02-10,18,False
2019-02-17,99,False
2019-02-24,100,False
2019-03-03,47,False
2019-03-10,40,False
2019-03-17,39,False
2019-03-24,30,False
2019-03-31,26,False
2019-04-07,27,False
2019-04-14,23,False
2019-04-21,25,False
2019-04-28,27,False
2019-05-05,27,False
2019-05-12,24,False
2019-05-19,22,False
2019-05-26,31,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,23,False
2019-06-23,19,False
2019-06-30,21,False
2019-07-07,19,False
2019-07-14,24,False
2019-07-21,15,False
2019-07-28,22,False
2019-08-04,48,False
2019-08-11,32,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,21,False
2019-09-08,26,False
2019-09-15,25,False
2019-09-22,19,False
2019-09-29,17,False
2019-10-06,12,False
2019-10-13,16,False
2019-10-20,19,False
2019-10-27,28,False
2019-11-03,30,False
2019-11-10,23,False
2019-11-17,15,False
2019-11-24,14,False
2019-12-01,17,False
2019-12-08,16,False
2019-12-15,18,False
2019-12-22,10,False
2019-12-29,12,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,16,False
2020-01-26,17,False
2020-02-02,22,False
2020-02-09,36,False
2020-02-16,24,False
2020-02-23,26,False
2020-03-01,22,False
2020-03-08,20,False
2020-03-15,27,False
2020-03-22,22,False
2020-03-29,18,False
2020-04-05,21,False
2020-04-12,17,False
2020-04-19,20,False
2020-04-26,26,False
2020-05-03,19,False
2020-05-10,19,False
2020-05-17,16,False
2020-05-24,15,False
2020-05-31,15,False
2020-06-07,21,False
2020-06-14,16,False
2020-06-21,15,False
2020-06-28,11,False
2020-07-05,7,False
2020-07-12,15,False
2020-07-19,14,False
2020-07-26,21,False
2020-08-02,15,False
2020-08-09,16,False
2020-08-16,12,False
2020-08-23,12,False
2020-08-30,16,False
2020-09-06,11,False
2020-09-13,15,False
2020-09-20,9,False
2020-09-27,11,False
2020-10-04,8,False
2020-10-11,9,False
2020-10-18,10,False
2020-10-25,13,False
2020-11-01,12,False
2020-11-08,14,False
2020-11-15,9,False
2020-11-22,9,False
2020-11-29,13,False
2020-12-06,11,False
2020-12-13,13,False
2020-12-20,11,False
2020-12-27,12,False
2021-01-03,12,False
2021-01-10,11,False
2021-01-17,14,False
2021-01-24,12,False
2021-01-31,13,False
2021-02-07,15,False
2021-02-14,17,False
2021-02-21,15,False
2021-02-28,15,False
2021-03-07,14,False
2021-03-14,15,False
2021-03-21,16,False
2021-03-28,12,False
2021-04-04,15,False
2021-04-11,13,False
2021-04-18,10,False
2021-04-25,13,False
2021-05-02,14,False
2021-05-09,11,False
2021-05-16,13,False
2021-05-23,11,False
2021-05-30,10,False
2021-06-06,11,False
2021-06-13,14,False
2021-06-20,11,False
2021-06-27,13,False
2021-07-04,11,False
2021-07-11,9,False
2021-07-18,11,False
2021-07-25,10,False
2021-08-01,9,False
2021-08-08,13,True
