date,BKNG,isPartial
2016-09-25,8,False
2016-10-02,8,False
2016-10-09,6,False
2016-10-16,0,False
2016-10-23,0,False
2016-10-30,3,False
2016-11-06,5,False
2016-11-13,6,False
2016-11-20,3,False
2016-11-27,3,False
2016-12-04,3,False
2016-12-11,0,False
2016-12-18,3,False
2016-12-25,0,False
2017-01-01,8,False
2017-01-08,3,False
2017-01-15,0,False
2017-01-22,5,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,5,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,5,False
2017-03-12,0,False
2017-03-19,3,False
2017-03-26,5,False
2017-04-02,3,False
2017-04-09,3,False
2017-04-16,5,False
2017-04-23,0,False
2017-04-30,5,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,3,False
2017-05-28,6,False
2017-06-04,5,False
2017-06-11,5,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,3,False
2017-07-09,0,False
2017-07-16,6,False
2017-07-23,6,False
2017-07-30,5,False
2017-08-06,3,False
2017-08-13,3,False
2017-08-20,5,False
2017-08-27,5,False
2017-09-03,8,False
2017-09-10,3,False
2017-09-17,0,False
2017-09-24,8,False
2017-10-01,8,False
2017-10-08,5,False
2017-10-15,0,False
2017-10-22,3,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,5,False
2017-11-19,8,False
2017-11-26,0,False
2017-12-03,3,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,6,False
2017-12-31,3,False
2018-01-07,0,False
2018-01-14,7,False
2018-01-21,5,False
2018-01-28,2,False
2018-02-04,12,False
2018-02-11,2,False
2018-02-18,10,False
2018-02-25,55,False
2018-03-04,53,False
2018-03-11,43,False
2018-03-18,22,False
2018-03-25,15,False
2018-04-01,20,False
2018-04-08,32,False
2018-04-15,49,False
2018-04-22,17,False
2018-04-29,15,False
2018-05-06,100,False
2018-05-13,44,False
2018-05-20,30,False
2018-05-27,32,False
2018-06-03,22,False
2018-06-10,41,False
2018-06-17,15,False
2018-06-24,29,False
2018-07-01,22,False
2018-07-08,12,False
2018-07-15,25,False
2018-07-22,30,False
2018-07-29,24,False
2018-08-05,72,False
2018-08-12,41,False
2018-08-19,47,False
2018-08-26,29,False
2018-09-02,24,False
2018-09-09,19,False
2018-09-16,21,False
2018-09-23,29,False
2018-09-30,5,False
2018-10-07,26,False
2018-10-14,20,False
2018-10-21,14,False
2018-10-28,34,False
2018-11-04,63,False
2018-11-11,24,False
2018-11-18,12,False
2018-11-25,28,False
2018-12-02,17,False
2018-12-09,36,False
2018-12-16,20,False
2018-12-23,13,False
2018-12-30,8,False
2019-01-06,24,False
2019-01-13,16,False
2019-01-20,21,False
2019-01-27,38,False
2019-02-03,33,False
2019-02-10,28,False
2019-02-17,40,False
2019-02-24,80,False
2019-03-03,55,False
2019-03-10,24,False
2019-03-17,12,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,26,False
2019-04-14,22,False
2019-04-21,24,False
2019-04-28,21,False
2019-05-05,59,False
2019-05-12,31,False
2019-05-19,38,False
2019-05-26,30,False
2019-06-02,33,False
2019-06-09,39,False
2019-06-16,17,False
2019-06-23,14,False
2019-06-30,24,False
2019-07-07,35,False
2019-07-14,14,False
2019-07-21,20,False
2019-07-28,24,False
2019-08-04,48,False
2019-08-11,26,False
2019-08-18,16,False
2019-08-25,18,False
2019-09-01,25,False
2019-09-08,24,False
2019-09-15,23,False
2019-09-22,11,False
2019-09-29,24,False
2019-10-06,16,False
2019-10-13,18,False
2019-10-20,24,False
2019-10-27,15,False
2019-11-03,70,False
2019-11-10,26,False
2019-11-17,31,False
2019-11-24,9,False
2019-12-01,18,False
2019-12-08,11,False
2019-12-15,20,False
2019-12-22,17,False
2019-12-29,21,False
2020-01-05,26,False
2020-01-12,17,False
2020-01-19,19,False
2020-01-26,25,False
2020-02-02,38,False
2020-02-09,37,False
2020-02-16,25,False
2020-02-23,97,False
2020-03-01,53,False
2020-03-08,94,False
2020-03-15,70,False
2020-03-22,65,False
2020-03-29,57,False
2020-04-05,62,False
2020-04-12,52,False
2020-04-19,81,False
2020-04-26,70,False
2020-05-03,85,False
2020-05-10,52,False
2020-05-17,58,False
2020-05-24,53,False
2020-05-31,61,False
2020-06-07,58,False
2020-06-14,54,False
2020-06-21,36,False
2020-06-28,38,False
2020-07-05,31,False
2020-07-12,37,False
2020-07-19,41,False
2020-07-26,27,False
2020-08-02,48,False
2020-08-09,53,False
2020-08-16,48,False
2020-08-23,40,False
2020-08-30,34,False
2020-09-06,16,False
2020-09-13,28,False
2020-09-20,10,False
2020-09-27,16,False
2020-10-04,18,False
2020-10-11,13,False
2020-10-18,28,False
2020-10-25,32,False
2020-11-01,28,False
2020-11-08,60,False
2020-11-15,28,False
2020-11-22,27,False
2020-11-29,19,False
2020-12-06,46,False
2020-12-13,17,False
2020-12-20,23,False
2020-12-27,25,False
2021-01-03,21,False
2021-01-10,25,False
2021-01-17,12,False
2021-01-24,31,False
2021-01-31,29,False
2021-02-07,21,False
2021-02-14,21,False
2021-02-21,52,False
2021-02-28,23,False
2021-03-07,29,False
2021-03-14,23,False
2021-03-21,29,False
2021-03-28,17,False
2021-04-04,13,False
2021-04-11,17,False
2021-04-18,26,False
2021-04-25,17,False
2021-05-02,36,False
2021-05-09,11,False
2021-05-16,15,False
2021-05-23,11,False
2021-05-30,15,False
2021-06-06,17,False
2021-06-13,17,False
2021-06-20,6,False
2021-06-27,26,False
2021-07-04,26,False
2021-07-11,20,False
2021-07-18,25,False
2021-07-25,28,False
2021-08-01,39,False
2021-08-08,20,False
2021-08-15,15,False
2021-08-22,12,False
2021-08-29,14,False
2021-09-05,7,False
2021-09-12,16,True
