date,MSFT,isPartial
2016-09-11,8,False
2016-09-18,11,False
2016-09-25,10,False
2016-10-02,7,False
2016-10-09,7,False
2016-10-16,19,False
2016-10-23,16,False
2016-10-30,8,False
2016-11-06,14,False
2016-11-13,12,False
2016-11-20,8,False
2016-11-27,10,False
2016-12-04,9,False
2016-12-11,9,False
2016-12-18,11,False
2016-12-25,6,False
2017-01-01,9,False
2017-01-08,8,False
2017-01-15,9,False
2017-01-22,22,False
2017-01-29,11,False
2017-02-05,9,False
2017-02-12,12,False
2017-02-19,8,False
2017-02-26,12,False
2017-03-05,10,False
2017-03-12,10,False
2017-03-19,11,False
2017-03-26,9,False
2017-04-02,9,False
2017-04-09,8,False
2017-04-16,9,False
2017-04-23,22,False
2017-04-30,14,False
2017-05-07,13,False
2017-05-14,11,False
2017-05-21,11,False
2017-05-28,11,False
2017-06-04,13,False
2017-06-11,14,False
2017-06-18,12,False
2017-06-25,11,False
2017-07-02,14,False
2017-07-09,15,False
2017-07-16,29,False
2017-07-23,16,False
2017-07-30,14,False
2017-08-06,12,False
2017-08-13,11,False
2017-08-20,9,False
2017-08-27,14,False
2017-09-03,11,False
2017-09-10,12,False
2017-09-17,11,False
2017-09-24,10,False
2017-10-01,14,False
2017-10-08,12,False
2017-10-15,14,False
2017-10-22,26,False
2017-10-29,18,False
2017-11-05,13,False
2017-11-12,12,False
2017-11-19,12,False
2017-11-26,16,False
2017-12-03,16,False
2017-12-10,16,False
2017-12-17,15,False
2017-12-24,10,False
2017-12-31,14,False
2018-01-07,16,False
2018-01-14,17,False
2018-01-21,21,False
2018-01-28,41,False
2018-02-04,29,False
2018-02-11,21,False
2018-02-18,17,False
2018-02-25,19,False
2018-03-04,20,False
2018-03-11,16,False
2018-03-18,20,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,19,False
2018-04-15,20,False
2018-04-22,34,False
2018-04-29,20,False
2018-05-06,21,False
2018-05-13,18,False
2018-05-20,18,False
2018-05-27,21,False
2018-06-03,32,False
2018-06-10,21,False
2018-06-17,20,False
2018-06-24,18,False
2018-07-01,12,False
2018-07-08,22,False
2018-07-15,45,False
2018-07-22,35,False
2018-07-29,25,False
2018-08-05,24,False
2018-08-12,22,False
2018-08-19,22,False
2018-08-26,23,False
2018-09-02,20,False
2018-09-09,23,False
2018-09-16,22,False
2018-09-23,21,False
2018-09-30,24,False
2018-10-07,28,False
2018-10-14,24,False
2018-10-21,45,False
2018-10-28,29,False
2018-11-04,22,False
2018-11-11,19,False
2018-11-18,20,False
2018-11-25,31,False
2018-12-02,24,False
2018-12-09,23,False
2018-12-16,27,False
2018-12-23,22,False
2018-12-30,24,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,19,False
2019-01-27,37,False
2019-02-03,21,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,21,False
2019-03-03,15,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,19,False
2019-03-31,21,False
2019-04-07,20,False
2019-04-14,19,False
2019-04-21,52,False
2019-04-28,28,False
2019-05-05,24,False
2019-05-12,26,False
2019-05-19,23,False
2019-05-26,16,False
2019-06-02,27,False
2019-06-09,23,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,21,False
2019-07-07,23,False
2019-07-14,42,False
2019-07-21,27,False
2019-07-28,29,False
2019-08-04,29,False
2019-08-11,29,False
2019-08-18,25,False
2019-08-25,24,False
2019-09-01,18,False
2019-09-08,24,False
2019-09-15,30,False
2019-09-22,22,False
2019-09-29,24,False
2019-10-06,22,False
2019-10-13,22,False
2019-10-20,45,False
2019-10-27,40,False
2019-11-03,25,False
2019-11-10,31,False
2019-11-17,28,False
2019-11-24,21,False
2019-12-01,28,False
2019-12-08,25,False
2019-12-15,27,False
2019-12-22,24,False
2019-12-29,28,False
2020-01-05,33,False
2020-01-12,35,False
2020-01-19,30,False
2020-01-26,59,False
2020-02-02,54,False
2020-02-09,71,False
2020-02-16,45,False
2020-02-23,79,False
2020-03-01,67,False
2020-03-08,85,False
2020-03-15,82,False
2020-03-22,66,False
2020-03-29,60,False
2020-04-05,52,False
2020-04-12,54,False
2020-04-19,52,False
2020-04-26,74,False
2020-05-03,52,False
2020-05-10,48,False
2020-05-17,42,False
2020-05-24,37,False
2020-05-31,40,False
2020-06-07,53,False
2020-06-14,46,False
2020-06-21,53,False
2020-06-28,42,False
2020-07-05,53,False
2020-07-12,56,False
2020-07-19,100,False
2020-07-26,64,False
2020-08-02,80,False
2020-08-09,53,False
2020-08-16,48,False
2020-08-23,60,False
2020-08-30,68,False
2020-09-06,55,False
2020-09-13,51,False
2020-09-20,52,False
2020-09-27,39,False
2020-10-04,36,False
2020-10-11,39,False
2020-10-18,32,False
2020-10-25,58,False
2020-11-01,39,False
2020-11-08,40,False
2020-11-15,35,False
2020-11-22,26,False
2020-11-29,29,False
2020-12-06,29,False
2020-12-13,29,False
2020-12-20,30,False
2020-12-27,25,False
2021-01-03,35,False
2021-01-10,29,False
2021-01-17,33,False
2021-01-24,72,False
2021-01-31,45,False
2021-02-07,33,False
2021-02-14,26,False
2021-02-21,34,False
2021-02-28,33,False
2021-03-07,35,False
2021-03-14,25,False
2021-03-21,26,False
2021-03-28,30,False
2021-04-04,37,False
2021-04-11,39,False
2021-04-18,31,False
2021-04-25,52,False
2021-05-02,34,False
2021-05-09,33,False
2021-05-16,28,False
2021-05-23,26,False
2021-05-30,22,False
2021-06-06,27,False
2021-06-13,26,False
2021-06-20,34,False
2021-06-27,30,False
2021-07-04,35,False
2021-07-11,35,False
2021-07-18,36,False
2021-07-25,50,False
2021-08-01,30,False
2021-08-08,27,False
2021-08-15,38,False
2021-08-22,34,False
2021-08-29,28,True
