date,MET,isPartial
2016-10-02,26,False
2016-10-09,26,False
2016-10-16,26,False
2016-10-23,27,False
2016-10-30,27,False
2016-11-06,26,False
2016-11-13,28,False
2016-11-20,27,False
2016-11-27,26,False
2016-12-04,25,False
2016-12-11,27,False
2016-12-18,29,False
2016-12-25,27,False
2017-01-01,27,False
2017-01-08,33,False
2017-01-15,27,False
2017-01-22,28,False
2017-01-29,27,False
2017-02-05,27,False
2017-02-12,25,False
2017-02-19,27,False
2017-02-26,27,False
2017-03-05,26,False
2017-03-12,24,False
2017-03-19,25,False
2017-03-26,25,False
2017-04-02,25,False
2017-04-09,27,False
2017-04-16,26,False
2017-04-23,26,False
2017-04-30,49,False
2017-05-07,28,False
2017-05-14,27,False
2017-05-21,28,False
2017-05-28,30,False
2017-06-04,29,False
2017-06-11,28,False
2017-06-18,31,False
2017-06-25,30,False
2017-07-02,29,False
2017-07-09,30,False
2017-07-16,30,False
2017-07-23,32,False
2017-07-30,44,False
2017-08-06,44,False
2017-08-13,33,False
2017-08-20,30,False
2017-08-27,29,False
2017-09-03,29,False
2017-09-10,29,False
2017-09-17,28,False
2017-09-24,29,False
2017-10-01,28,False
2017-10-08,28,False
2017-10-15,32,False
2017-10-22,28,False
2017-10-29,27,False
2017-11-05,27,False
2017-11-12,27,False
2017-11-19,27,False
2017-11-26,28,False
2017-12-03,32,False
2017-12-10,31,False
2017-12-17,28,False
2017-12-24,31,False
2017-12-31,28,False
2018-01-07,28,False
2018-01-14,29,False
2018-01-21,27,False
2018-01-28,28,False
2018-02-04,29,False
2018-02-11,29,False
2018-02-18,28,False
2018-02-25,52,False
2018-03-04,29,False
2018-03-11,30,False
2018-03-18,28,False
2018-03-25,29,False
2018-04-01,28,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,27,False
2018-04-29,28,False
2018-05-06,73,False
2018-05-13,30,False
2018-05-20,32,False
2018-05-27,32,False
2018-06-03,28,False
2018-06-10,29,False
2018-06-17,27,False
2018-06-24,26,False
2018-07-01,27,False
2018-07-08,28,False
2018-07-15,28,False
2018-07-22,31,False
2018-07-29,28,False
2018-08-05,29,False
2018-08-12,28,False
2018-08-19,28,False
2018-08-26,26,False
2018-09-02,27,False
2018-09-09,26,False
2018-09-16,29,False
2018-09-23,25,False
2018-09-30,26,False
2018-10-07,28,False
2018-10-14,26,False
2018-10-21,25,False
2018-10-28,27,False
2018-11-04,26,False
2018-11-11,26,False
