date,DUK,isPartial
2016-09-25,13,False
2016-10-02,19,False
2016-10-09,17,False
2016-10-16,16,False
2016-10-23,21,False
2016-10-30,17,False
2016-11-06,18,False
2016-11-13,15,False
2016-11-20,18,False
2016-11-27,18,False
2016-12-04,20,False
2016-12-11,20,False
2016-12-18,19,False
2016-12-25,21,False
2017-01-01,21,False
2017-01-08,18,False
2017-01-15,14,False
2017-01-22,19,False
2017-01-29,14,False
2017-02-05,16,False
2017-02-12,16,False
2017-02-19,18,False
2017-02-26,16,False
2017-03-05,18,False
2017-03-12,20,False
2017-03-19,17,False
2017-03-26,17,False
2017-04-02,17,False
2017-04-09,19,False
2017-04-16,18,False
2017-04-23,18,False
2017-04-30,18,False
2017-05-07,17,False
2017-05-14,15,False
2017-05-21,11,False
2017-05-28,19,False
2017-06-04,19,False
2017-06-11,17,False
2017-06-18,17,False
2017-06-25,17,False
2017-07-02,16,False
2017-07-09,19,False
2017-07-16,19,False
2017-07-23,15,False
2017-07-30,16,False
2017-08-06,18,False
2017-08-13,20,False
2017-08-20,16,False
2017-08-27,16,False
2017-09-03,14,False
2017-09-10,18,False
2017-09-17,16,False
2017-09-24,16,False
2017-10-01,16,False
2017-10-08,19,False
2017-10-15,15,False
2017-10-22,17,False
2017-10-29,19,False
2017-11-05,18,False
2017-11-12,17,False
2017-11-19,18,False
2017-11-26,21,False
2017-12-03,19,False
2017-12-10,16,False
2017-12-17,20,False
2017-12-24,21,False
2017-12-31,19,False
2018-01-07,21,False
2018-01-14,20,False
2018-01-21,19,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,20,False
2018-02-18,18,False
2018-02-25,22,False
2018-03-04,21,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,19,False
2018-04-01,20,False
2018-04-08,20,False
2018-04-15,20,False
2018-04-22,18,False
2018-04-29,23,False
2018-05-06,20,False
2018-05-13,16,False
2018-05-20,20,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,18,False
2018-06-17,16,False
2018-06-24,16,False
2018-07-01,15,False
2018-07-08,18,False
2018-07-15,18,False
2018-07-22,18,False
2018-07-29,18,False
2018-08-05,16,False
2018-08-12,15,False
2018-08-19,16,False
2018-08-26,16,False
2018-09-02,16,False
2018-09-09,17,False
2018-09-16,17,False
2018-09-23,16,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,17,False
2018-10-21,15,False
2018-10-28,14,False
2018-11-04,17,False
2018-11-11,19,False
2018-11-18,16,False
2018-11-25,20,False
2018-12-02,18,False
2018-12-09,18,False
2018-12-16,19,False
2018-12-23,17,False
2018-12-30,20,False
2019-01-06,17,False
2019-01-13,19,False
2019-01-20,17,False
2019-01-27,14,False
2019-02-03,18,False
2019-02-10,16,False
2019-02-17,18,False
2019-02-24,15,False
2019-03-03,19,False
2019-03-10,21,False
2019-03-17,22,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,18,False
2019-04-14,17,False
2019-04-21,18,False
2019-04-28,18,False
2019-05-05,17,False
2019-05-12,17,False
2019-05-19,16,False
2019-05-26,15,False
2019-06-02,17,False
2019-06-09,21,False
2019-06-16,17,False
2019-06-23,16,False
2019-06-30,15,False
2019-07-07,17,False
2019-07-14,18,False
2019-07-21,15,False
2019-07-28,17,False
2019-08-04,16,False
2019-08-11,17,False
2019-08-18,13,False
2019-08-25,16,False
2019-09-01,15,False
2019-09-08,16,False
2019-09-15,17,False
2019-09-22,18,False
2019-09-29,15,False
2019-10-06,16,False
2019-10-13,19,False
2019-10-20,15,False
2019-10-27,17,False
2019-11-03,18,False
2019-11-10,17,False
2019-11-17,21,False
2019-11-24,15,False
2019-12-01,19,False
2019-12-08,17,False
2019-12-15,16,False
2019-12-22,18,False
2019-12-29,19,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,15,False
2020-02-02,14,False
2020-02-09,20,False
2020-02-16,24,False
2020-02-23,19,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,20,False
2020-03-22,21,False
2020-03-29,23,False
2020-04-05,21,False
2020-04-12,22,False
2020-04-19,19,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,18,False
2020-05-17,20,False
2020-05-24,21,False
2020-05-31,19,False
2020-06-07,21,False
2020-06-14,19,False
2020-06-21,19,False
2020-06-28,18,False
2020-07-05,19,False
2020-07-12,20,False
2020-07-19,19,False
2020-07-26,18,False
2020-08-02,16,False
2020-08-09,15,False
2020-08-16,15,False
2020-08-23,20,False
2020-08-30,16,False
2020-09-06,20,False
2020-09-13,15,False
2020-09-20,19,False
2020-09-27,20,False
2020-10-04,19,False
2020-10-11,18,False
2020-10-18,18,False
2020-10-25,15,False
2020-11-01,16,False
2020-11-08,16,False
2020-11-15,19,False
2020-11-22,17,False
2020-11-29,18,False
2020-12-06,100,False
2020-12-13,37,False
2020-12-20,26,False
2020-12-27,26,False
2021-01-03,17,False
2021-01-10,18,False
2021-01-17,18,False
2021-01-24,19,False
2021-01-31,18,False
