date,GILD,isPartial
2016-09-18,24,False
2016-09-25,18,False
2016-10-02,18,False
2016-10-09,22,False
2016-10-16,22,False
2016-10-23,20,False
2016-10-30,20,False
2016-11-06,20,False
2016-11-13,19,False
2016-11-20,19,False
2016-11-27,20,False
2016-12-04,21,False
2016-12-11,23,False
2016-12-18,21,False
2016-12-25,17,False
2017-01-01,21,False
2017-01-08,20,False
2017-01-15,20,False
2017-01-22,19,False
2017-01-29,22,False
2017-02-05,38,False
2017-02-12,27,False
2017-02-19,20,False
2017-02-26,22,False
2017-03-05,22,False
2017-03-12,24,False
2017-03-19,21,False
2017-03-26,18,False
2017-04-02,19,False
2017-04-09,19,False
2017-04-16,17,False
2017-04-23,20,False
2017-04-30,26,False
2017-05-07,18,False
2017-05-14,19,False
2017-05-21,16,False
2017-05-28,16,False
2017-06-04,17,False
2017-06-11,17,False
2017-06-18,20,False
2017-06-25,23,False
2017-07-02,17,False
2017-07-09,20,False
2017-07-16,23,False
2017-07-23,24,False
2017-07-30,21,False
2017-08-06,19,False
2017-08-13,14,False
2017-08-20,17,False
2017-08-27,30,False
2017-09-03,22,False
2017-09-10,20,False
2017-09-17,17,False
2017-09-24,20,False
2017-10-01,18,False
2017-10-08,16,False
2017-10-15,22,False
2017-10-22,28,False
2017-10-29,18,False
2017-11-05,19,False
2017-11-12,20,False
2017-11-19,17,False
2017-11-26,18,False
2017-12-03,19,False
2017-12-10,21,False
2017-12-17,17,False
2017-12-24,15,False
2017-12-31,20,False
2018-01-07,24,False
2018-01-14,17,False
2018-01-21,18,False
2018-01-28,21,False
2018-02-04,22,False
2018-02-11,20,False
2018-02-18,19,False
2018-02-25,16,False
2018-03-04,19,False
2018-03-11,18,False
2018-03-18,16,False
2018-03-25,15,False
2018-04-01,18,False
2018-04-08,13,False
2018-04-15,16,False
2018-04-22,13,False
2018-04-29,22,False
2018-05-06,17,False
2018-05-13,18,False
2018-05-20,14,False
2018-05-27,13,False
2018-06-03,14,False
2018-06-10,16,False
2018-06-17,13,False
2018-06-24,15,False
2018-07-01,15,False
2018-07-08,15,False
2018-07-15,15,False
2018-07-22,19,False
2018-07-29,16,False
2018-08-05,16,False
2018-08-12,15,False
2018-08-19,16,False
2018-08-26,13,False
2018-09-02,15,False
2018-09-09,15,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,14,False
2018-10-07,15,False
2018-10-14,15,False
2018-10-21,15,False
2018-10-28,21,False
2018-11-04,17,False
2018-11-11,15,False
2018-11-18,16,False
2018-11-25,16,False
2018-12-02,15,False
2018-12-09,18,False
2018-12-16,16,False
2018-12-23,19,False
2018-12-30,17,False
2019-01-06,16,False
2019-01-13,15,False
2019-01-20,13,False
2019-01-27,16,False
2019-02-03,18,False
2019-02-10,20,False
2019-02-17,14,False
2019-02-24,13,False
2019-03-03,14,False
2019-03-10,16,False
2019-03-17,17,False
2019-03-24,16,False
2019-03-31,16,False
2019-04-07,15,False
2019-04-14,17,False
2019-04-21,19,False
2019-04-28,15,False
2019-05-05,15,False
2019-05-12,14,False
2019-05-19,12,False
2019-05-26,13,False
2019-06-02,13,False
2019-06-09,14,False
2019-06-16,17,False
2019-06-23,13,False
2019-06-30,14,False
2019-07-07,18,False
2019-07-14,15,False
2019-07-21,14,False
2019-07-28,18,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,14,False
2019-09-01,16,False
2019-09-08,16,False
2019-09-15,15,False
2019-09-22,14,False
2019-09-29,13,False
2019-10-06,11,False
2019-10-13,14,False
2019-10-20,15,False
2019-10-27,16,False
2019-11-03,16,False
2019-11-10,15,False
2019-11-17,18,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,13,False
2019-12-15,14,False
2019-12-22,15,False
2019-12-29,14,False
2020-01-05,13,False
2020-01-12,14,False
2020-01-19,16,False
2020-01-26,15,False
2020-02-02,35,False
2020-02-09,27,False
2020-02-16,21,False
2020-02-23,54,False
2020-03-01,43,False
2020-03-08,55,False
2020-03-15,64,False
2020-03-22,44,False
2020-03-29,39,False
2020-04-05,39,False
