date,BMY,isPartial
2016-09-18,49,False
2016-09-25,43,False
2016-10-02,60,False
2016-10-09,100,False
2016-10-16,59,False
2016-10-23,70,False
2016-10-30,41,False
2016-11-06,81,False
2016-11-13,47,False
2016-11-20,35,False
2016-11-27,39,False
2016-12-04,37,False
2016-12-11,41,False
2016-12-18,36,False
2016-12-25,39,False
2017-01-01,38,False
2017-01-08,43,False
2017-01-15,61,False
2017-01-22,96,False
2017-01-29,75,False
2017-02-05,47,False
2017-02-12,63,False
2017-02-19,75,False
2017-02-26,57,False
2017-03-05,63,False
2017-03-12,38,False
2017-03-19,39,False
2017-03-26,38,False
2017-04-02,31,False
2017-04-09,32,False
2017-04-16,27,False
2017-04-23,44,False
2017-04-30,41,False
2017-05-07,40,False
2017-05-14,48,False
2017-05-21,20,False
2017-05-28,35,False
2017-06-04,35,False
2017-06-11,35,False
2017-06-18,44,False
2017-06-25,43,False
2017-07-02,29,False
2017-07-09,46,False
2017-07-16,48,False
2017-07-23,59,False
2017-07-30,42,False
2017-08-06,37,False
2017-08-13,50,False
2017-08-20,43,False
2017-08-27,38,False
2017-09-03,46,False
2017-09-10,48,False
2017-09-17,38,False
2017-09-24,40,False
2017-10-01,34,False
2017-10-08,42,False
2017-10-15,35,False
2017-10-22,47,False
2017-10-29,40,False
2017-11-05,35,False
2017-11-12,22,False
2017-11-19,23,False
2017-11-26,27,False
2017-12-03,29,False
2017-12-10,32,False
2017-12-17,35,False
2017-12-24,24,False
2017-12-31,38,False
2018-01-07,38,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,36,False
2018-02-04,59,False
2018-02-11,46,False
2018-02-18,23,False
2018-02-25,33,False
2018-03-04,31,False
2018-03-11,18,False
2018-03-18,38,False
2018-03-25,31,False
2018-04-01,26,False
2018-04-08,33,False
2018-04-15,66,False
2018-04-22,46,False
2018-04-29,48,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,34,False
2018-05-27,26,False
2018-06-03,47,False
2018-06-10,36,False
2018-06-17,29,False
2018-06-24,23,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,29,False
2018-07-22,38,False
2018-07-29,34,False
2018-08-05,27,False
2018-08-12,38,False
2018-08-19,30,False
2018-08-26,25,False
2018-09-02,19,False
2018-09-09,25,False
2018-09-16,31,False
2018-09-23,21,False
2018-09-30,30,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,46,False
2018-10-28,31,False
2018-11-04,33,False
2018-11-11,20,False
2018-11-18,22,False
2018-11-25,31,False
2018-12-02,24,False
2018-12-09,27,False
2018-12-16,34,False
2018-12-23,30,False
2018-12-30,82,False
2019-01-06,57,False
2019-01-13,64,False
2019-01-20,36,False
2019-01-27,53,False
2019-02-03,34,False
2019-02-10,34,False
2019-02-17,37,False
2019-02-24,40,False
2019-03-03,47,False
2019-03-10,38,False
2019-03-17,39,False
2019-03-24,44,False
2019-03-31,49,False
2019-04-07,45,False
2019-04-14,66,False
2019-04-21,49,False
2019-04-28,44,False
2019-05-05,48,False
2019-05-12,42,False
2019-05-19,29,False
2019-05-26,33,False
2019-06-02,44,False
2019-06-09,36,False
2019-06-16,50,False
2019-06-23,65,False
2019-06-30,48,False
2019-07-07,31,False
2019-07-14,57,False
2019-07-21,49,False
2019-07-28,43,False
2019-08-04,49,False
2019-08-11,28,False
2019-08-18,36,False
2019-08-25,46,False
2019-09-01,41,False
2019-09-08,34,False
2019-09-15,48,False
2019-09-22,46,False
2019-09-29,40,False
2019-10-06,38,False
2019-10-13,47,False
2019-10-20,71,False
2019-10-27,59,False
2019-11-03,52,False
2019-11-10,43,False
2019-11-17,62,False
2019-11-24,49,False
2019-12-01,67,False
2019-12-08,91,False
2019-12-15,44,False
2019-12-22,52,False
2019-12-29,55,False
2020-01-05,68,False
2020-01-12,88,False
2020-01-19,58,False
2020-01-26,59,False
2020-02-02,75,False
2020-02-09,48,False
2020-02-16,46,False
2020-02-23,62,False
2020-03-01,58,False
2020-03-08,70,False
2020-03-15,71,False
2020-03-22,76,False
2020-03-29,56,False
2020-04-05,63,False
2020-04-12,50,False
2020-04-19,58,False
2020-04-26,54,False
2020-05-03,50,False
2020-05-10,68,False
2020-05-17,74,False
2020-05-24,48,False
2020-05-31,54,False
2020-06-07,54,False
2020-06-14,67,False
2020-06-21,52,False
2020-06-28,49,False
2020-07-05,35,False
2020-07-12,60,False
2020-07-19,56,False
2020-07-26,76,False
2020-08-02,61,False
2020-08-09,61,False
2020-08-16,57,False
2020-08-23,47,False
2020-08-30,46,False
2020-09-06,38,False
2020-09-13,51,False
2020-09-20,40,False
2020-09-27,41,False
2020-10-04,54,False
2020-10-11,48,False
2020-10-18,47,False
2020-10-25,30,False
2020-11-01,46,False
2020-11-08,59,False
2020-11-15,73,False
2020-11-22,48,False
2020-11-29,41,False
2020-12-06,53,False
2020-12-13,49,False
2020-12-20,38,False
2020-12-27,55,False
2021-01-03,48,False
2021-01-10,83,False
2021-01-17,47,False
2021-01-24,47,False
2021-01-31,58,False
2021-02-07,69,False
2021-02-14,57,False
2021-02-21,50,False
2021-02-28,42,False
2021-03-07,43,False
2021-03-14,42,False
2021-03-21,49,False
2021-03-28,41,False
