date,AMZN,isPartial
2016-09-04,10,False
2016-09-11,11,False
2016-09-18,13,False
2016-09-25,16,False
2016-10-02,14,False
2016-10-09,14,False
2016-10-16,15,False
2016-10-23,31,False
2016-10-30,20,False
2016-11-06,28,False
2016-11-13,22,False
2016-11-20,15,False
2016-11-27,18,False
2016-12-04,16,False
2016-12-11,14,False
2016-12-18,13,False
2016-12-25,11,False
2017-01-01,16,False
2017-01-08,18,False
2017-01-15,16,False
2017-01-22,20,False
2017-01-29,37,False
2017-02-05,19,False
2017-02-12,17,False
2017-02-19,15,False
2017-02-26,18,False
2017-03-05,13,False
2017-03-12,11,False
2017-03-19,12,False
2017-03-26,17,False
2017-04-02,26,False
2017-04-09,19,False
2017-04-16,20,False
2017-04-23,39,False
2017-04-30,23,False
2017-05-07,23,False
2017-05-14,25,False
2017-05-21,30,False
2017-05-28,29,False
2017-06-04,27,False
2017-06-11,42,False
2017-06-18,28,False
2017-06-25,27,False
2017-07-02,25,False
2017-07-09,27,False
2017-07-16,27,False
2017-07-23,58,False
2017-07-30,37,False
2017-08-06,28,False
2017-08-13,27,False
2017-08-20,22,False
2017-08-27,25,False
2017-09-03,18,False
2017-09-10,23,False
2017-09-17,18,False
2017-09-24,20,False
2017-10-01,17,False
2017-10-08,20,False
2017-10-15,20,False
2017-10-22,52,False
2017-10-29,32,False
2017-11-05,23,False
2017-11-12,23,False
2017-11-19,21,False
2017-11-26,38,False
2017-12-03,27,False
2017-12-10,20,False
2017-12-17,21,False
2017-12-24,19,False
2017-12-31,25,False
2018-01-07,30,False
2018-01-14,27,False
2018-01-21,38,False
2018-01-28,86,False
2018-02-04,65,False
2018-02-11,44,False
2018-02-18,37,False
2018-02-25,39,False
2018-03-04,39,False
2018-03-11,41,False
2018-03-18,41,False
2018-03-25,61,False
2018-04-01,73,False
2018-04-08,42,False
2018-04-15,47,False
2018-04-22,83,False
2018-04-29,43,False
2018-05-06,41,False
2018-05-13,33,False
2018-05-20,27,False
2018-05-27,29,False
2018-06-03,39,False
2018-06-10,35,False
2018-06-17,37,False
2018-06-24,41,False
2018-07-01,25,False
2018-07-08,41,False
2018-07-15,61,False
2018-07-22,94,False
2018-07-29,53,False
2018-08-05,49,False
2018-08-12,51,False
2018-08-19,41,False
2018-08-26,59,False
2018-09-02,57,False
2018-09-09,49,False
2018-09-16,46,False
2018-09-23,44,False
2018-09-30,49,False
2018-10-07,72,False
2018-10-14,61,False
2018-10-21,92,False
2018-10-28,89,False
2018-11-04,62,False
2018-11-11,57,False
2018-11-18,53,False
2018-11-25,59,False
2018-12-02,60,False
2018-12-09,51,False
2018-12-16,58,False
2018-12-23,57,False
2018-12-30,53,False
2019-01-06,60,False
2019-01-13,51,False
2019-01-20,40,False
2019-01-27,79,False
2019-02-03,52,False
2019-02-10,48,False
2019-02-17,46,False
2019-02-24,55,False
2019-03-03,63,False
2019-03-10,62,False
2019-03-17,65,False
2019-03-24,62,False
2019-03-31,65,False
2019-04-07,64,False
2019-04-14,56,False
2019-04-21,100,False
2019-04-28,82,False
2019-05-05,74,False
2019-05-12,74,False
2019-05-19,65,False
2019-05-26,61,False
2019-06-02,68,False
2019-06-09,59,False
2019-06-16,51,False
2019-06-23,37,False
2019-06-30,30,False
2019-07-07,42,False
2019-07-14,39,False
2019-07-21,50,False
2019-07-28,39,False
2019-08-04,44,False
2019-08-11,41,False
2019-08-18,36,False
2019-08-25,33,False
2019-09-01,31,False
2019-09-08,33,False
2019-09-15,29,False
2019-09-22,31,False
2019-09-29,29,False
2019-10-06,27,False
2019-10-13,29,False
2019-10-20,58,False
2019-10-27,33,False
2019-11-03,30,False
2019-11-10,27,False
2019-11-17,25,False
2019-11-24,22,False
2019-12-01,29,False
2019-12-08,24,False
2019-12-15,28,False
2019-12-22,30,False
2019-12-29,29,False
2020-01-05,36,False
2020-01-12,30,False
2020-01-19,24,False
2020-01-26,63,False
2020-02-02,46,False
2020-02-09,45,False
2020-02-16,33,False
2020-02-23,52,False
2020-03-01,44,False
2020-03-08,66,False
2020-03-15,71,False
2020-03-22,55,False
2020-03-29,37,False
2020-04-05,39,False
2020-04-12,72,False
2020-04-19,58,False
2020-04-26,86,False
2020-05-03,48,False
2020-05-10,40,False
2020-05-17,41,False
2020-05-24,35,False
2020-05-31,36,False
2020-06-07,49,False
2020-06-14,38,False
2020-06-21,44,False
2020-06-28,44,False
2020-07-05,62,False
2020-07-12,68,False
2020-07-19,72,False
2020-07-26,79,False
2020-08-02,54,False
2020-08-09,42,False
2020-08-16,48,False
2020-08-23,49,False
2020-08-30,59,False
2020-09-06,49,False
2020-09-13,48,False
2020-09-20,53,False
2020-09-27,43,False
2020-10-04,38,False
2020-10-11,51,False
2020-10-18,42,False
2020-10-25,54,False
2020-11-01,45,False
2020-11-08,49,False
2020-11-15,38,False
2020-11-22,32,False
2020-11-29,36,False
2020-12-06,34,False
2020-12-13,35,False
2020-12-20,30,False
2020-12-27,30,False
2021-01-03,37,False
2021-01-10,33,False
2021-01-17,32,False
2021-01-24,39,False
2021-01-31,74,False
2021-02-07,31,False
2021-02-14,27,False
2021-02-21,33,False
2021-02-28,34,False
2021-03-07,32,False
2021-03-14,28,False
2021-03-21,27,False
2021-03-28,25,False
2021-04-04,30,False
2021-04-11,28,False
2021-04-18,24,False
2021-04-25,55,False
2021-05-02,32,False
2021-05-09,32,False
2021-05-16,25,False
