date,AAPL,isPartial
2016-09-25,19,False
2016-10-02,19,False
2016-10-09,24,False
2016-10-16,20,False
2016-10-23,37,False
2016-10-30,18,False
2016-11-06,23,False
2016-11-13,20,False
2016-11-20,14,False
2016-11-27,14,False
2016-12-04,15,False
2016-12-11,17,False
2016-12-18,15,False
2016-12-25,11,False
2017-01-01,13,False
2017-01-08,16,False
2017-01-15,14,False
2017-01-22,18,False
2017-01-29,47,False
2017-02-05,23,False
2017-02-12,26,False
2017-02-19,18,False
2017-02-26,23,False
2017-03-05,18,False
2017-03-12,17,False
2017-03-19,19,False
2017-03-26,19,False
2017-04-02,17,False
2017-04-09,15,False
2017-04-16,16,False
2017-04-23,17,False
2017-04-30,35,False
2017-05-07,28,False
2017-05-14,24,False
2017-05-21,19,False
2017-05-28,14,False
2017-06-04,22,False
2017-06-11,26,False
2017-06-18,19,False
2017-06-25,18,False
2017-07-02,14,False
2017-07-09,16,False
2017-07-16,17,False
2017-07-23,20,False
2017-07-30,42,False
2017-08-06,22,False
2017-08-13,22,False
2017-08-20,17,False
2017-08-27,20,False
2017-09-03,14,False
2017-09-10,33,False
2017-09-17,24,False
2017-09-24,23,False
2017-10-01,17,False
2017-10-08,16,False
2017-10-15,20,False
2017-10-22,19,False
2017-10-29,40,False
2017-11-05,25,False
2017-11-12,19,False
2017-11-19,14,False
2017-11-26,21,False
2017-12-03,19,False
2017-12-10,19,False
2017-12-17,18,False
2017-12-24,17,False
2017-12-31,18,False
2018-01-07,20,False
2018-01-14,19,False
2018-01-21,21,False
2018-01-28,46,False
2018-02-04,36,False
2018-02-11,28,False
2018-02-18,20,False
2018-02-25,22,False
2018-03-04,20,False
2018-03-11,19,False
2018-03-18,20,False
2018-03-25,20,False
2018-04-01,20,False
2018-04-08,19,False
2018-04-15,20,False
2018-04-22,21,False
2018-04-29,48,False
2018-05-06,32,False
2018-05-13,22,False
2018-05-20,17,False
2018-05-27,16,False
2018-06-03,25,False
2018-06-10,17,False
2018-06-17,17,False
2018-06-24,15,False
2018-07-01,11,False
2018-07-08,14,False
2018-07-15,16,False
2018-07-22,20,False
2018-07-29,61,False
2018-08-05,23,False
2018-08-12,22,False
2018-08-19,23,False
2018-08-26,25,False
2018-09-02,21,False
2018-09-09,33,False
2018-09-16,24,False
2018-09-23,21,False
2018-09-30,23,False
2018-10-07,24,False
2018-10-14,20,False
2018-10-21,22,False
2018-10-28,46,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,29,False
2018-11-25,31,False
