date,QCOM,isPartial
2016-09-25,18,False
2016-10-02,18,False
2016-10-09,15,False
2016-10-16,16,False
2016-10-23,27,False
2016-10-30,21,False
2016-11-06,19,False
2016-11-13,9,False
2016-11-20,16,False
2016-11-27,17,False
2016-12-04,15,False
2016-12-11,11,False
2016-12-18,16,False
2016-12-25,13,False
2017-01-01,12,False
2017-01-08,10,False
2017-01-15,16,False
2017-01-22,52,False
2017-01-29,27,False
2017-02-05,25,False
2017-02-12,27,False
2017-02-19,17,False
2017-02-26,17,False
2017-03-05,18,False
2017-03-12,21,False
2017-03-19,15,False
2017-03-26,17,False
2017-04-02,20,False
2017-04-09,13,False
2017-04-16,30,False
2017-04-23,22,False
2017-04-30,20,False
2017-05-07,16,False
2017-05-14,26,False
2017-05-21,34,False
2017-05-28,19,False
2017-06-04,20,False
2017-06-11,17,False
2017-06-18,17,False
2017-06-25,17,False
2017-07-02,15,False
2017-07-09,15,False
2017-07-16,30,False
2017-07-23,18,False
2017-07-30,19,False
2017-08-06,20,False
2017-08-13,16,False
2017-08-20,15,False
2017-08-27,15,False
2017-09-03,13,False
2017-09-10,20,False
2017-09-17,19,False
2017-09-24,16,False
2017-10-01,18,False
2017-10-08,22,False
2017-10-15,24,False
2017-10-22,20,False
2017-10-29,63,False
2017-11-05,83,False
2017-11-12,55,False
2017-11-19,39,False
2017-11-26,43,False
2017-12-03,30,False
2017-12-10,20,False
2017-12-17,20,False
2017-12-24,15,False
2017-12-31,20,False
2018-01-07,21,False
2018-01-14,28,False
2018-01-21,27,False
2018-01-28,36,False
2018-02-04,54,False
2018-02-11,37,False
2018-02-18,32,False
2018-02-25,42,False
2018-03-04,41,False
2018-03-11,54,False
2018-03-18,41,False
2018-03-25,25,False
2018-04-01,30,False
2018-04-08,25,False
2018-04-15,31,False
2018-04-22,35,False
2018-04-29,24,False
2018-05-06,27,False
2018-05-13,29,False
2018-05-20,32,False
2018-05-27,33,False
2018-06-03,36,False
2018-06-10,32,False
2018-06-17,23,False
2018-06-24,16,False
2018-07-01,20,False
2018-07-08,22,False
2018-07-15,20,False
2018-07-22,52,False
2018-07-29,36,False
2018-08-05,26,False
2018-08-12,23,False
2018-08-19,27,False
2018-08-26,39,False
2018-09-02,31,False
2018-09-09,38,False
2018-09-16,25,False
2018-09-23,23,False
2018-09-30,17,False
2018-10-07,23,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,17,False
2018-11-04,31,False
2018-11-11,18,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,24,False
2018-12-09,23,False
2018-12-16,22,False
2018-12-23,16,False
2018-12-30,15,False
2019-01-06,23,False
2019-01-13,19,False
2019-01-20,24,False
2019-01-27,31,False
2019-02-03,32,False
2019-02-10,24,False
2019-02-17,22,False
2019-02-24,23,False
2019-03-03,26,False
2019-03-10,26,False
2019-03-17,27,False
2019-03-24,26,False
2019-03-31,24,False
2019-04-07,25,False
2019-04-14,100,False
2019-04-21,87,False
2019-04-28,76,False
2019-05-05,40,False
2019-05-12,38,False
2019-05-19,70,False
2019-05-26,30,False
2019-06-02,34,False
2019-06-09,30,False
2019-06-16,31,False
2019-06-23,33,False
2019-06-30,36,False
2019-07-07,27,False
2019-07-14,39,False
2019-07-21,28,False
2019-07-28,38,False
2019-08-04,29,False
2019-08-11,24,False
2019-08-18,36,False
2019-08-25,28,False
2019-09-01,26,False
2019-09-08,29,False
2019-09-15,22,False
2019-09-22,23,False
2019-09-29,18,False
2019-10-06,22,False
2019-10-13,25,False
2019-10-20,25,False
2019-10-27,29,False
2019-11-03,52,False
2019-11-10,39,False
2019-11-17,35,False
2019-11-24,19,False
2019-12-01,25,False
2019-12-08,32,False
2019-12-15,33,False
2019-12-22,21,False
2019-12-29,19,False
2020-01-05,32,False
2020-01-12,39,False
2020-01-19,30,False
2020-01-26,28,False
2020-02-02,49,False
2020-02-09,37,False
2020-02-16,23,False
2020-02-23,39,False
2020-03-01,34,False
2020-03-08,32,False
2020-03-15,39,False
2020-03-22,29,False
2020-03-29,27,False
2020-04-05,26,False
2020-04-12,25,False
2020-04-19,22,False
2020-04-26,29,False
2020-05-03,25,False
2020-05-10,28,False
2020-05-17,26,False
2020-05-24,25,False
2020-05-31,35,False
2020-06-07,42,False
2020-06-14,32,False
2020-06-21,27,False
2020-06-28,23,False
2020-07-05,35,False
2020-07-12,23,False
2020-07-19,25,False
2020-07-26,69,False
2020-08-02,50,False
2020-08-09,43,False
2020-08-16,31,False
2020-08-23,34,False
2020-08-30,41,False
2020-09-06,28,False
2020-09-13,33,False
2020-09-20,27,False
2020-09-27,27,False
2020-10-04,29,False
2020-10-11,37,False
2020-10-18,23,False
2020-10-25,27,False
2020-11-01,52,False
2020-11-08,38,False
2020-11-15,40,False
2020-11-22,35,False
2020-11-29,37,False
2020-12-06,44,False
2020-12-13,36,False
2020-12-20,26,False
2020-12-27,24,False
2021-01-03,31,False
2021-01-10,39,False
2021-01-17,36,False
2021-01-24,40,False
2021-01-31,77,False
2021-02-07,56,False
2021-02-14,33,False
2021-02-21,39,False
2021-02-28,34,False
2021-03-07,37,False
2021-03-14,36,False
2021-03-21,31,False
2021-03-28,27,False
2021-04-04,39,False
2021-04-11,34,False
2021-04-18,27,False
2021-04-25,42,False
2021-05-02,25,False
2021-05-09,36,False
2021-05-16,26,False
2021-05-23,33,False
2021-05-30,25,False
2021-06-06,27,False
2021-06-13,30,False
2021-06-20,38,False
2021-06-27,40,False
2021-07-04,22,False
2021-07-11,28,False
2021-07-18,28,False
2021-07-25,41,False
2021-08-01,41,False
2021-08-08,24,False
2021-08-15,23,False
2021-08-22,24,False
2021-08-29,23,False
2021-09-05,21,False
2021-09-12,18,True
