date,CHTR,isPartial
2016-09-18,23,False
2016-09-25,0,False
2016-10-02,28,False
2016-10-09,23,False
2016-10-16,6,False
2016-10-23,29,False
2016-10-30,40,False
2016-11-06,45,False
2016-11-13,12,False
2016-11-20,56,False
2016-11-27,32,False
2016-12-04,11,False
2016-12-11,44,False
2016-12-18,46,False
2016-12-25,30,False
2017-01-01,33,False
2017-01-08,21,False
2017-01-15,37,False
2017-01-22,100,False
2017-01-29,15,False
2017-02-05,31,False
2017-02-12,31,False
2017-02-19,15,False
2017-02-26,20,False
2017-03-05,46,False
2017-03-12,30,False
2017-03-19,36,False
2017-03-26,52,False
2017-04-02,31,False
2017-04-09,32,False
2017-04-16,47,False
2017-04-23,36,False
2017-04-30,48,False
2017-05-07,37,False
2017-05-14,17,False
2017-05-21,39,False
2017-05-28,34,False
2017-06-04,43,False
2017-06-11,11,False
2017-06-18,27,False
2017-06-25,40,False
2017-07-02,17,False
2017-07-09,17,False
2017-07-16,62,False
2017-07-23,61,False
2017-07-30,49,False
2017-08-06,32,False
2017-08-13,38,False
2017-08-20,27,False
2017-08-27,27,False
2017-09-03,54,False
2017-09-10,21,False
2017-09-17,43,False
2017-09-24,43,False
2017-10-01,26,False
2017-10-08,31,False
2017-10-15,21,False
2017-10-22,47,False
2017-10-29,31,False
2017-11-05,25,False
2017-11-12,36,False
2017-11-19,15,False
2017-11-26,30,False
2017-12-03,41,False
2017-12-10,31,False
2017-12-17,5,False
2017-12-24,40,False
2017-12-31,43,False
2018-01-07,40,False
2018-01-14,20,False
2018-01-21,25,False
2018-01-28,39,False
2018-02-04,30,False
2018-02-11,20,False
2018-02-18,29,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,39,False
2018-03-18,30,False
2018-03-25,36,False
2018-04-01,35,False
2018-04-08,35,False
2018-04-15,5,False
2018-04-22,44,False
2018-04-29,71,False
2018-05-06,40,False
2018-05-13,10,False
2018-05-20,30,False
2018-05-27,30,False
2018-06-03,20,False
2018-06-10,44,False
2018-06-17,10,False
2018-06-24,40,False
2018-07-01,15,False
2018-07-08,20,False
2018-07-15,46,False
2018-07-22,46,False
2018-07-29,39,False
2018-08-05,19,False
2018-08-12,39,False
2018-08-19,15,False
2018-08-26,39,False
2018-09-02,30,False
2018-09-09,43,False
2018-09-16,34,False
2018-09-23,10,False
2018-09-30,14,False
2018-10-07,24,False
2018-10-14,34,False
2018-10-21,34,False
2018-10-28,78,False
2018-11-04,43,False
2018-11-11,44,False
2018-11-18,38,False
2018-11-25,24,False
2018-12-02,20,False
2018-12-09,30,False
2018-12-16,25,False
2018-12-23,38,False
2018-12-30,36,False
2019-01-06,24,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,48,False
2019-02-03,38,False
