date,TMO,isPartial
2018-06-10,9,False
2018-06-17,11,False
2018-06-24,14,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,11,False
2018-07-22,11,False
2018-07-29,9,False
2018-08-05,10,False
2018-08-12,10,False
2018-08-19,8,False
2018-08-26,8,False
2018-09-02,11,False
2018-09-09,9,False
2018-09-16,7,False
2018-09-23,8,False
2018-09-30,7,False
2018-10-07,8,False
2018-10-14,9,False
2018-10-21,10,False
2018-10-28,13,False
2018-11-04,10,False
2018-11-11,10,False
2018-11-18,9,False
2018-11-25,11,False
2018-12-02,7,False
2018-12-09,9,False
2018-12-16,7,False
2018-12-23,7,False
2018-12-30,7,False
2019-01-06,7,False
2019-01-13,7,False
2019-01-20,7,False
2019-01-27,8,False
2019-02-03,8,False
2019-02-10,9,False
2019-02-17,7,False
2019-02-24,8,False
2019-03-03,7,False
2019-03-10,7,False
2019-03-17,9,False
2019-03-24,9,False
2019-03-31,7,False
2019-04-07,8,False
2019-04-14,7,False
2019-04-21,8,False
2019-04-28,8,False
2019-05-05,7,False
2019-05-12,9,False
2019-05-19,8,False
2019-05-26,10,False
2019-06-02,9,False
2019-06-09,11,False
2019-06-16,12,False
2019-06-23,13,False
2019-06-30,13,False
2019-07-07,13,False
2019-07-14,13,False
2019-07-21,11,False
2019-07-28,11,False
2019-08-04,12,False
2019-08-11,12,False
2019-08-18,16,False
2019-08-25,12,False
2019-09-01,23,False
2019-09-08,20,False
2019-09-15,15,False
2019-09-22,16,False
2019-09-29,14,False
2019-10-06,14,False
2019-10-13,17,False
2019-10-20,19,False
2019-10-27,14,False
2019-11-03,11,False
2019-11-10,12,False
2019-11-17,11,False
2019-11-24,9,False
2019-12-01,12,False
2019-12-08,11,False
2019-12-15,10,False
2019-12-22,10,False
2019-12-29,13,False
2020-01-05,10,False
2020-01-12,11,False
2020-01-19,12,False
2020-01-26,13,False
2020-02-02,12,False
2020-02-09,11,False
2020-02-16,11,False
2020-02-23,14,False
2020-03-01,12,False
2020-03-08,21,False
2020-03-15,32,False
2020-03-22,20,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,14,False
2020-04-19,16,False
2020-04-26,14,False
2020-05-03,15,False
2020-05-10,17,False
2020-05-17,17,False
2020-05-24,13,False
2020-05-31,17,False
2020-06-07,19,False
2020-06-14,19,False
2020-06-21,20,False
2020-06-28,21,False
2020-07-05,20,False
2020-07-12,25,False
2020-07-19,28,False
2020-07-26,27,False
2020-08-02,27,False
2020-08-09,26,False
2020-08-16,27,False
2020-08-23,29,False
2020-08-30,28,False
2020-09-06,28,False
2020-09-13,26,False
2020-09-20,26,False
2020-09-27,29,False
2020-10-04,28,False
2020-10-11,32,False
2020-10-18,33,False
2020-10-25,33,False
2020-11-01,31,False
2020-11-08,35,False
2020-11-15,37,False
2020-11-22,36,False
2020-11-29,37,False
2020-12-06,40,False
2020-12-13,38,False
2020-12-20,36,False
2020-12-27,39,False
2021-01-03,44,False
2021-01-10,40,False
2021-01-17,41,False
2021-01-24,41,False
2021-01-31,45,False
2021-02-07,48,False
2021-02-14,43,False
2021-02-21,46,False
2021-02-28,48,False
2021-03-07,52,False
2021-03-14,50,False
2021-03-21,57,False
2021-03-28,57,False
2021-04-04,61,False
2021-04-11,67,False
2021-04-18,66,False
2021-04-25,72,False
2021-05-02,76,False
2021-05-09,72,False
2021-05-16,73,False
2021-05-23,80,False
2021-05-30,82,False
2021-06-06,82,False
2021-06-13,79,False
2021-06-20,89,False
2021-06-27,89,False
2021-07-04,92,False
2021-07-11,94,False
2021-07-18,95,False
2021-07-25,93,False
2021-08-01,95,False
2021-08-08,92,False
2021-08-15,91,False
2021-08-22,100,True
