date,PEP stock,isPartial
2016-08-21,28,False
2016-08-28,23,False
2016-09-04,12,False
2016-09-11,15,False
2016-09-18,19,False
2016-09-25,34,False
2016-10-02,30,False
2016-10-09,23,False
2016-10-16,8,False
2016-10-23,22,False
2016-10-30,23,False
2016-11-06,15,False
2016-11-13,48,False
2016-11-20,11,False
2016-11-27,21,False
2016-12-04,56,False
2016-12-11,21,False
2016-12-18,23,False
2016-12-25,12,False
2017-01-01,29,False
2017-01-08,35,False
2017-01-15,31,False
2017-01-22,45,False
2017-01-29,45,False
2017-02-05,38,False
2017-02-12,64,False
2017-02-19,34,False
2017-02-26,20,False
2017-03-05,33,False
2017-03-12,33,False
2017-03-19,21,False
2017-03-26,20,False
2017-04-02,27,False
2017-04-09,25,False
2017-04-16,31,False
2017-04-23,51,False
2017-04-30,21,False
2017-05-07,45,False
2017-05-14,15,False
2017-05-21,26,False
2017-05-28,30,False
2017-06-04,25,False
2017-06-11,29,False
2017-06-18,54,False
2017-06-25,23,False
2017-07-02,15,False
2017-07-09,75,False
2017-07-16,33,False
2017-07-23,18,False
2017-07-30,22,False
2017-08-06,14,False
2017-08-13,32,False
2017-08-20,35,False
2017-08-27,25,False
2017-09-03,18,False
2017-09-10,28,False
2017-09-17,21,False
2017-09-24,17,False
2017-10-01,55,False
2017-10-08,24,False
2017-10-15,24,False
2017-10-22,21,False
2017-10-29,27,False
2017-11-05,34,False
2017-11-12,20,False
2017-11-19,10,False
2017-11-26,33,False
2017-12-03,27,False
2017-12-10,43,False
2017-12-17,17,False
2017-12-24,19,False
2017-12-31,31,False
2018-01-07,30,False
2018-01-14,10,False
2018-01-21,29,False
2018-01-28,39,False
2018-02-04,62,False
2018-02-11,52,False
2018-02-18,23,False
2018-02-25,32,False
2018-03-04,41,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,23,False
2018-04-08,19,False
2018-04-15,29,False
2018-04-22,46,False
2018-04-29,33,False
2018-05-06,43,False
2018-05-13,36,False
2018-05-20,43,False
2018-05-27,36,False
2018-06-03,29,False
2018-06-10,19,False
2018-06-17,36,False
2018-06-24,42,False
2018-07-01,17,False
2018-07-08,100,False
2018-07-15,30,False
2018-07-22,52,False
2018-07-29,13,False
2018-08-05,55,False
2018-08-12,39,False
2018-08-19,46,False
2018-08-26,42,False
2018-09-02,41,False
2018-09-09,22,False
2018-09-16,19,False
2018-09-23,41,False
2018-09-30,54,False
2018-10-07,32,False
