date,PFE,isPartial
2016-10-09,11,False
2016-10-16,12,False
2016-10-23,11,False
2016-10-30,16,False
2016-11-06,15,False
2016-11-13,11,False
2016-11-20,11,False
2016-11-27,13,False
2016-12-04,17,False
2016-12-11,14,False
2016-12-18,10,False
2016-12-25,7,False
2017-01-01,15,False
2017-01-08,14,False
2017-01-15,15,False
2017-01-22,15,False
2017-01-29,17,False
2017-02-05,17,False
2017-02-12,16,False
2017-02-19,14,False
2017-02-26,15,False
2017-03-05,14,False
2017-03-12,10,False
2017-03-19,12,False
2017-03-26,10,False
2017-04-02,11,False
2017-04-09,9,False
2017-04-16,14,False
2017-04-23,12,False
2017-04-30,14,False
2017-05-07,12,False
2017-05-14,13,False
2017-05-21,12,False
2017-05-28,15,False
2017-06-04,14,False
2017-06-11,12,False
2017-06-18,14,False
2017-06-25,11,False
2017-07-02,10,False
2017-07-09,11,False
2017-07-16,9,False
2017-07-23,8,False
2017-07-30,13,False
2017-08-06,11,False
2017-08-13,10,False
2017-08-20,8,False
2017-08-27,7,False
2017-09-03,10,False
2017-09-10,9,False
2017-09-17,10,False
2017-09-24,10,False
2017-10-01,11,False
2017-10-08,11,False
2017-10-15,13,False
2017-10-22,12,False
2017-10-29,9,False
2017-11-05,11,False
2017-11-12,10,False
2017-11-19,8,False
2017-11-26,13,False
2017-12-03,13,False
2017-12-10,13,False
2017-12-17,12,False
2017-12-24,7,False
2017-12-31,10,False
2018-01-07,9,False
2018-01-14,13,False
2018-01-21,12,False
2018-01-28,18,False
2018-02-04,16,False
2018-02-11,16,False
2018-02-18,13,False
2018-02-25,14,False
2018-03-04,15,False
2018-03-11,14,False
2018-03-18,11,False
2018-03-25,13,False
2018-04-01,13,False
2018-04-08,10,False
2018-04-15,13,False
2018-04-22,12,False
2018-04-29,15,False
2018-05-06,10,False
2018-05-13,13,False
2018-05-20,13,False
2018-05-27,11,False
2018-06-03,14,False
2018-06-10,9,False
2018-06-17,11,False
2018-06-24,10,False
2018-07-01,10,False
2018-07-08,13,False
2018-07-15,9,False
2018-07-22,11,False
2018-07-29,16,False
2018-08-05,13,False
2018-08-12,13,False
2018-08-19,11,False
2018-08-26,11,False
2018-09-02,10,False
2018-09-09,13,False
2018-09-16,17,False
2018-09-23,13,False
2018-09-30,15,False
2018-10-07,14,False
2018-10-14,16,False
2018-10-21,12,False
2018-10-28,12,False
2018-11-04,12,False
2018-11-11,12,False
2018-11-18,10,False
2018-11-25,12,False
2018-12-02,12,False
2018-12-09,13,False
2018-12-16,13,False
2018-12-23,10,False
2018-12-30,9,False
2019-01-06,13,False
2019-01-13,13,False
2019-01-20,12,False
2019-01-27,14,False
2019-02-03,13,False
2019-02-10,14,False
2019-02-17,11,False
2019-02-24,13,False
2019-03-03,12,False
2019-03-10,11,False
2019-03-17,13,False
2019-03-24,13,False
2019-03-31,12,False
2019-04-07,14,False
2019-04-14,12,False
2019-04-21,12,False
2019-04-28,14,False
2019-05-05,16,False
2019-05-12,12,False
2019-05-19,13,False
2019-05-26,11,False
2019-06-02,13,False
2019-06-09,14,False
2019-06-16,13,False
2019-06-23,13,False
2019-06-30,12,False
2019-07-07,10,False
2019-07-14,9,False
2019-07-21,10,False
2019-07-28,16,False
2019-08-04,12,False
2019-08-11,13,False
2019-08-18,12,False
2019-08-25,13,False
2019-09-01,12,False
2019-09-08,12,False
2019-09-15,10,False
2019-09-22,14,False
2019-09-29,12,False
2019-10-06,14,False
2019-10-13,12,False
2019-10-20,13,False
2019-10-27,18,False
2019-11-03,23,False
2019-11-10,16,False
2019-11-17,13,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,13,False
2019-12-15,13,False
2019-12-22,8,False
2019-12-29,10,False
2020-01-05,15,False
2020-01-12,13,False
2020-01-19,14,False
2020-01-26,34,False
2020-02-02,25,False
2020-02-09,23,False
2020-02-16,20,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,21,False
2020-03-22,23,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,23,False
2020-04-19,19,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,21,False
2020-05-17,22,False
2020-05-24,22,False
2020-05-31,27,False
2020-06-07,24,False
2020-06-14,23,False
2020-06-21,21,False
2020-06-28,32,False
2020-07-05,22,False
2020-07-12,34,False
2020-07-19,58,False
2020-07-26,45,False
2020-08-02,29,False
2020-08-09,25,False
2020-08-16,29,False
2020-08-23,29,False
2020-08-30,24,False
2020-09-06,21,False
2020-09-13,28,False
2020-09-20,24,False
2020-09-27,23,False
2020-10-04,19,False
2020-10-11,25,False
2020-10-18,26,False
2020-10-25,26,False
2020-11-01,23,False
2020-11-08,87,False
2020-11-15,66,False
2020-11-22,41,False
2020-11-29,76,False
2020-12-06,100,False
2020-12-13,80,False
2020-12-20,45,False
2020-12-27,37,False
2021-01-03,35,False
2021-01-10,37,False
2021-01-17,27,False
2021-01-24,36,False
2021-01-31,43,False
2021-02-07,31,False
2021-02-14,26,False
2021-02-21,30,False
2021-02-28,28,False
2021-03-07,32,False
2021-03-14,25,False
2021-03-21,26,False
2021-03-28,26,False
2021-04-04,26,False
2021-04-11,33,False
2021-04-18,33,False
2021-04-25,27,False
2021-05-02,44,False
2021-05-09,34,False
2021-05-16,24,False
2021-05-23,25,False
2021-05-30,23,False
2021-06-06,25,False
2021-06-13,24,False
2021-06-20,20,False
2021-06-27,21,False
2021-07-04,19,False
2021-07-11,20,False
2021-07-18,24,False
2021-07-25,29,False
2021-08-01,33,False
2021-08-08,38,False
2021-08-15,37,False
2021-08-22,54,False
2021-08-29,30,False
2021-09-05,20,False
2021-09-12,28,False
2021-09-19,26,False
2021-09-26,22,False
