date,NVDA,isPartial
2016-09-04,13,False
2016-09-11,13,False
2016-09-18,13,False
2016-09-25,13,False
2016-10-02,11,False
2016-10-09,13,False
2016-10-16,11,False
2016-10-23,16,False
2016-10-30,12,False
2016-11-06,34,False
2016-11-13,26,False
2016-11-20,16,False
2016-11-27,17,False
2016-12-04,18,False
2016-12-11,22,False
2016-12-18,31,False
2016-12-25,38,False
2017-01-01,37,False
2017-01-08,28,False
2017-01-15,20,False
2017-01-22,23,False
2017-01-29,23,False
2017-02-05,47,False
2017-02-12,36,False
2017-02-19,38,False
2017-02-26,31,False
2017-03-05,29,False
2017-03-12,25,False
2017-03-19,28,False
2017-03-26,24,False
2017-04-02,30,False
2017-04-09,20,False
2017-04-16,22,False
2017-04-23,19,False
2017-04-30,23,False
2017-05-07,63,False
2017-05-14,48,False
2017-05-21,37,False
2017-05-28,32,False
2017-06-04,55,False
2017-06-11,52,False
2017-06-18,46,False
2017-06-25,44,False
2017-07-02,33,False
2017-07-09,53,False
2017-07-16,43,False
2017-07-23,39,False
2017-07-30,41,False
2017-08-06,76,False
2017-08-13,45,False
2017-08-20,32,False
2017-08-27,33,False
2017-09-03,25,False
2017-09-10,41,False
2017-09-17,52,False
2017-09-24,41,False
2017-10-01,33,False
2017-10-08,44,False
2017-10-15,40,False
2017-10-22,38,False
2017-10-29,42,False
2017-11-05,69,False
2017-11-12,42,False
2017-11-19,28,False
2017-11-26,56,False
2017-12-03,52,False
2017-12-10,37,False
2017-12-17,36,False
2017-12-24,23,False
2017-12-31,45,False
2018-01-07,53,False
2018-01-14,38,False
2018-01-21,50,False
2018-01-28,47,False
2018-02-04,100,False
2018-02-11,55,False
2018-02-18,44,False
2018-02-25,41,False
2018-03-04,40,False
2018-03-11,39,False
2018-03-18,38,False
2018-03-25,49,False
2018-04-01,45,False
2018-04-08,44,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,34,False
2018-05-06,89,False
2018-05-13,50,False
2018-05-20,36,False
2018-05-27,30,False
2018-06-03,38,False
2018-06-10,36,False
2018-06-17,34,False
2018-06-24,37,False
2018-07-01,24,False
2018-07-08,34,False
2018-07-15,28,False
2018-07-22,29,False
2018-07-29,32,False
2018-08-05,33,False
2018-08-12,70,False
2018-08-19,46,False
2018-08-26,37,False
2018-09-02,33,False
2018-09-09,31,False
2018-09-16,33,False
2018-09-23,30,False
2018-09-30,34,False
2018-10-07,37,False
2018-10-14,39,False
2018-10-21,52,False
2018-10-28,56,False
2018-11-04,38,False
2018-11-11,86,False
2018-11-18,62,False
2018-11-25,44,False
2018-12-02,45,False
2018-12-09,42,False
2018-12-16,37,False
2018-12-23,31,False
2018-12-30,30,False
2019-01-06,40,False
2019-01-13,35,False
2019-01-20,33,False
2019-01-27,61,False
2019-02-03,36,False
2019-02-10,58,False
2019-02-17,27,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,42,False
2019-03-17,43,False
2019-03-24,30,False
2019-03-31,36,False
2019-04-07,27,False
2019-04-14,25,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,45,False
2019-05-19,29,False
2019-05-26,24,False
2019-06-02,30,False
2019-06-09,25,False
2019-06-16,28,False
2019-06-23,30,False
2019-06-30,27,False
2019-07-07,27,False
2019-07-14,25,False
2019-07-21,24,False
2019-07-28,24,False
2019-08-04,27,False
2019-08-11,40,False
2019-08-18,32,False
2019-08-25,22,False
2019-09-01,24,False
2019-09-08,29,False
2019-09-15,20,False
2019-09-22,19,False
2019-09-29,20,False
2019-10-06,22,False
2019-10-13,28,False
2019-10-20,29,False
2019-10-27,26,False
2019-11-03,29,False
2019-11-10,39,False
2019-11-17,28,False
2019-11-24,22,False
2019-12-01,25,False
2019-12-08,26,False
2019-12-15,28,False
2019-12-22,22,False
2019-12-29,23,False
2020-01-05,25,False
2020-01-12,27,False
2020-01-19,22,False
2020-01-26,26,False
2020-02-02,29,False
2020-02-09,60,False
2020-02-16,48,False
2020-02-23,52,False
2020-03-01,44,False
2020-03-08,40,False
2020-03-15,41,False
2020-03-22,44,False
2020-03-29,33,False
2020-04-05,31,False
2020-04-12,34,False
2020-04-19,31,False
2020-04-26,35,False
2020-05-03,30,False
2020-05-10,38,False
2020-05-17,69,False
2020-05-24,37,False
2020-05-31,32,False
2020-06-07,42,False
2020-06-14,35,False
2020-06-21,34,False
2020-06-28,27,False
2020-07-05,43,False
2020-07-12,41,False
2020-07-19,41,False
2020-07-26,35,False
2020-08-02,38,False
2020-08-09,39,False
2020-08-16,92,False
2020-08-23,53,False
2020-08-30,87,False
2020-09-06,53,False
2020-09-13,72,False
2020-09-20,49,False
2020-09-27,53,False
2020-10-04,50,False
2020-10-11,43,False
2020-10-18,32,False
2020-10-25,37,False
2020-11-01,33,False
2020-11-08,44,False
2020-11-15,57,False
2020-11-22,33,False
2020-11-29,36,False
2020-12-06,32,False
2020-12-13,28,False
2020-12-20,26,False
2020-12-27,24,False
2021-01-03,35,False
2021-01-10,37,False
2021-01-17,28,False
2021-01-24,31,False
2021-01-31,30,False
2021-02-07,43,False
2021-02-14,35,False
2021-02-21,57,False
2021-02-28,38,False
2021-03-07,41,False
2021-03-14,31,False
2021-03-21,27,False
2021-03-28,23,False
2021-04-04,28,False
2021-04-11,50,False
2021-04-18,31,False
2021-04-25,26,False
2021-05-02,28,False
2021-05-09,28,False
2021-05-16,36,False
2021-05-23,67,False
2021-05-30,47,False
2021-06-06,47,False
2021-06-13,57,False
2021-06-20,55,False
2021-06-27,64,False
2021-07-04,53,False
2021-07-11,60,False
2021-07-18,99,False
2021-07-25,54,False
2021-08-01,51,False
2021-08-08,41,False
2021-08-15,72,False
2021-08-22,75,True
