date,DOW stock,isPartial
2016-08-21,4,False
2016-08-28,4,False
2016-09-04,4,False
2016-09-11,5,False
2016-09-18,4,False
2016-09-25,4,False
2016-10-02,4,False
2016-10-09,4,False
2016-10-16,4,False
2016-10-23,4,False
2016-10-30,4,False
2016-11-06,21,False
2016-11-13,6,False
2016-11-20,5,False
2016-11-27,5,False
2016-12-04,6,False
2016-12-11,7,False
2016-12-18,6,False
2016-12-25,4,False
2017-01-01,6,False
2017-01-08,6,False
2017-01-15,5,False
2017-01-22,8,False
2017-01-29,8,False
2017-02-05,6,False
2017-02-12,6,False
2017-02-19,7,False
2017-02-26,8,False
2017-03-05,6,False
2017-03-12,5,False
2017-03-19,6,False
2017-03-26,6,False
2017-04-02,6,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,7,False
2017-04-30,6,False
2017-05-07,6,False
2017-05-14,7,False
2017-05-21,5,False
2017-05-28,4,False
2017-06-04,5,False
2017-06-11,5,False
2017-06-18,5,False
2017-06-25,6,False
2017-07-02,4,False
2017-07-09,5,False
2017-07-16,5,False
2017-07-23,6,False
2017-07-30,7,False
2017-08-06,6,False
2017-08-13,6,False
2017-08-20,5,False
2017-08-27,6,False
2017-09-03,5,False
2017-09-10,6,False
2017-09-17,6,False
2017-09-24,6,False
2017-10-01,6,False
2017-10-08,6,False
2017-10-15,6,False
2017-10-22,6,False
2017-10-29,5,False
2017-11-05,5,False
2017-11-12,5,False
2017-11-19,4,False
2017-11-26,7,False
2017-12-03,7,False
2017-12-10,6,False
2017-12-17,7,False
2017-12-24,5,False
2017-12-31,6,False
2018-01-07,8,False
2018-01-14,9,False
2018-01-21,9,False
2018-01-28,14,False
2018-02-04,42,False
2018-02-11,18,False
2018-02-18,12,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,11,False
2018-03-18,18,False
2018-03-25,16,False
2018-04-01,19,False
2018-04-08,14,False
2018-04-15,12,False
2018-04-22,12,False
2018-04-29,11,False
2018-05-06,10,False
2018-05-13,9,False
2018-05-20,9,False
2018-05-27,9,False
2018-06-03,9,False
2018-06-10,11,False
2018-06-17,13,False
2018-06-24,11,False
2018-07-01,8,False
2018-07-08,9,False
2018-07-15,9,False
2018-07-22,10,False
2018-07-29,9,False
2018-08-05,9,False
2018-08-12,9,False
2018-08-19,10,False
2018-08-26,10,False
2018-09-02,8,False
2018-09-09,9,False
2018-09-16,10,False
2018-09-23,9,False
2018-09-30,8,False
2018-10-07,18,False
2018-10-14,13,False
2018-10-21,17,False
2018-10-28,15,False
2018-11-04,12,False
2018-11-11,13,False
2018-11-18,13,False
2018-11-25,12,False
2018-12-02,16,False
2018-12-09,17,False
2018-12-16,22,False
2018-12-23,25,False
2018-12-30,20,False
