date,WMT,isPartial
2016-09-25,16,False
2016-10-02,15,False
2016-10-09,21,False
2016-10-16,14,False
2016-10-23,14,False
2016-10-30,14,False
2016-11-06,16,False
2016-11-13,29,False
2016-11-20,16,False
2016-11-27,17,False
2016-12-04,18,False
2016-12-11,18,False
2016-12-18,18,False
2016-12-25,15,False
2017-01-01,21,False
2017-01-08,22,False
2017-01-15,16,False
2017-01-22,21,False
2017-01-29,17,False
2017-02-05,25,False
2017-02-12,18,False
2017-02-19,32,False
2017-02-26,26,False
2017-03-05,18,False
2017-03-12,17,False
2017-03-19,16,False
2017-03-26,17,False
2017-04-02,19,False
2017-04-09,19,False
2017-04-16,19,False
2017-04-23,22,False
2017-04-30,23,False
2017-05-07,21,False
2017-05-14,29,False
2017-05-21,20,False
2017-05-28,19,False
2017-06-04,20,False
2017-06-11,32,False
2017-06-18,29,False
2017-06-25,26,False
2017-07-02,20,False
2017-07-09,21,False
2017-07-16,16,False
2017-07-23,25,False
2017-07-30,28,False
2017-08-06,22,False
2017-08-13,34,False
2017-08-20,29,False
2017-08-27,15,False
2017-09-03,16,False
2017-09-10,18,False
2017-09-17,16,False
2017-09-24,13,False
2017-10-01,25,False
2017-10-08,38,False
2017-10-15,24,False
2017-10-22,25,False
2017-10-29,28,False
2017-11-05,35,False
2017-11-12,59,False
2017-11-19,29,False
2017-11-26,40,False
2017-12-03,27,False
2017-12-10,26,False
2017-12-17,36,False
2017-12-24,32,False
2017-12-31,30,False
2018-01-07,39,False
2018-01-14,37,False
2018-01-21,38,False
2018-01-28,51,False
2018-02-04,47,False
2018-02-11,39,False
2018-02-18,100,False
2018-02-25,45,False
2018-03-04,49,False
2018-03-11,44,False
2018-03-18,41,False
2018-03-25,36,False
2018-04-01,41,False
2018-04-08,29,False
2018-04-15,31,False
2018-04-22,30,False
2018-04-29,30,False
2018-05-06,49,False
2018-05-13,56,False
2018-05-20,38,False
2018-05-27,30,False
2018-06-03,30,False
2018-06-10,23,False
2018-06-17,29,False
2018-06-24,30,False
2018-07-01,21,False
2018-07-08,30,False
2018-07-15,27,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,26,False
2018-08-12,71,False
2018-08-19,41,False
2018-08-26,34,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,27,False
2018-09-23,22,False
2018-09-30,24,False
2018-10-07,29,False
2018-10-14,33,False
2018-10-21,30,False
2018-10-28,37,False
2018-11-04,40,False
2018-11-11,56,False
2018-11-18,23,False
2018-11-25,30,False
2018-12-02,31,False
2018-12-09,29,False
2018-12-16,30,False
2018-12-23,21,False
2018-12-30,26,False
2019-01-06,29,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,27,False
2019-02-03,24,False
2019-02-10,24,False
2019-02-17,52,False
2019-02-24,33,False
2019-03-03,22,False
2019-03-10,25,False
2019-03-17,32,False
2019-03-24,20,False
2019-03-31,25,False
2019-04-07,25,False
2019-04-14,20,False
2019-04-21,30,False
2019-04-28,29,False
2019-05-05,22,False
2019-05-12,29,False
2019-05-19,32,False
2019-05-26,22,False
2019-06-02,29,False
2019-06-09,32,False
2019-06-16,34,False
2019-06-23,20,False
2019-06-30,25,False
2019-07-07,31,False
2019-07-14,20,False
2019-07-21,28,False
2019-07-28,23,False
2019-08-04,24,False
2019-08-11,40,False
2019-08-18,36,False
2019-08-25,27,False
2019-09-01,21,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,28,False
2019-10-13,23,False
2019-10-20,26,False
2019-10-27,22,False
2019-11-03,33,False
2019-11-10,44,False
2019-11-17,32,False
2019-11-24,24,False
2019-12-01,26,False
2019-12-08,20,False
2019-12-15,27,False
2019-12-22,22,False
2019-12-29,22,False
2020-01-05,20,False
2020-01-12,30,False
2020-01-19,16,False
2020-01-26,22,False
2020-02-02,26,False
2020-02-09,30,False
2020-02-16,38,False
2020-02-23,36,False
2020-03-01,37,False
2020-03-08,50,False
2020-03-15,70,False
2020-03-22,59,False
2020-03-29,37,False
2020-04-05,38,False
2020-04-12,53,False
2020-04-19,37,False
2020-04-26,41,False
2020-05-03,33,False
2020-05-10,36,False
2020-05-17,67,False
2020-05-24,25,False
2020-05-31,31,False
2020-06-07,34,False
2020-06-14,34,False
2020-06-21,27,False
2020-06-28,22,False
2020-07-05,62,False
2020-07-12,46,False
2020-07-19,42,False
2020-07-26,34,False
2020-08-02,35,False
2020-08-09,32,False
2020-08-16,76,False
2020-08-23,66,False
2020-08-30,82,False
2020-09-06,45,False
2020-09-13,49,False
2020-09-20,54,False
2020-09-27,46,False
2020-10-04,45,False
2020-10-11,38,False
2020-10-18,32,False
2020-10-25,28,False
2020-11-01,29,False
2020-11-08,41,False
2020-11-15,69,False
2020-11-22,36,False
2020-11-29,37,False
2020-12-06,35,False
2020-12-13,38,False
2020-12-20,36,False
2020-12-27,31,False
2021-01-03,30,False
2021-01-10,37,False
2021-01-17,32,False
2021-01-24,36,False
2021-01-31,41,False
2021-02-07,36,False
2021-02-14,53,False
2021-02-21,54,False
2021-02-28,49,False
2021-03-07,43,False
2021-03-14,42,False
2021-03-21,38,False
2021-03-28,33,False
2021-04-04,32,False
2021-04-11,29,False
2021-04-18,21,False
2021-04-25,24,False
2021-05-02,31,False
2021-05-09,27,False
2021-05-16,42,False
2021-05-23,27,False
2021-05-30,22,False
2021-06-06,25,False
2021-06-13,29,False
2021-06-20,24,False
2021-06-27,31,False
2021-07-04,23,False
2021-07-11,30,False
2021-07-18,25,False
2021-07-25,23,False
2021-08-01,28,False
2021-08-08,32,False
2021-08-15,35,False
2021-08-22,29,False
2021-08-29,26,False
2021-09-05,18,False
2021-09-12,25,True
