date,INTC,isPartial
2016-10-09,19,False
2016-10-16,29,False
2016-10-23,20,False
2016-10-30,17,False
2016-11-06,23,False
2016-11-13,15,False
2016-11-20,13,False
2016-11-27,13,False
2016-12-04,16,False
2016-12-11,21,False
2016-12-18,14,False
2016-12-25,12,False
2017-01-01,15,False
2017-01-08,16,False
2017-01-15,12,False
2017-01-22,29,False
2017-01-29,20,False
2017-02-05,20,False
2017-02-12,20,False
2017-02-19,18,False
2017-02-26,25,False
2017-03-05,16,False
2017-03-12,23,False
2017-03-19,18,False
2017-03-26,17,False
2017-04-02,20,False
2017-04-09,13,False
2017-04-16,14,False
2017-04-23,45,False
2017-04-30,27,False
2017-05-07,15,False
2017-05-14,20,False
2017-05-21,13,False
2017-05-28,14,False
2017-06-04,17,False
2017-06-11,14,False
2017-06-18,18,False
2017-06-25,15,False
2017-07-02,17,False
2017-07-09,18,False
2017-07-16,18,False
2017-07-23,33,False
2017-07-30,25,False
2017-08-06,19,False
2017-08-13,19,False
2017-08-20,16,False
2017-08-27,17,False
2017-09-03,16,False
2017-09-10,21,False
2017-09-17,22,False
2017-09-24,25,False
2017-10-01,34,False
2017-10-08,29,False
2017-10-15,37,False
2017-10-22,57,False
2017-10-29,60,False
2017-11-05,39,False
2017-11-12,30,False
2017-11-19,20,False
2017-11-26,23,False
2017-12-03,21,False
2017-12-10,18,False
2017-12-17,32,False
2017-12-24,21,False
2017-12-31,75,False
2018-01-07,46,False
2018-01-14,30,False
2018-01-21,67,False
2018-01-28,42,False
2018-02-04,43,False
2018-02-11,31,False
2018-02-18,28,False
2018-02-25,43,False
2018-03-04,42,False
2018-03-11,44,False
2018-03-18,31,False
2018-03-25,31,False
2018-04-01,49,False
2018-04-08,30,False
2018-04-15,44,False
2018-04-22,63,False
2018-04-29,44,False
2018-05-06,36,False
2018-05-13,36,False
2018-05-20,40,False
2018-05-27,32,False
2018-06-03,33,False
2018-06-10,36,False
2018-06-17,42,False
2018-06-24,40,False
2018-07-01,29,False
2018-07-08,31,False
2018-07-15,25,False
2018-07-22,56,False
2018-07-29,39,False
2018-08-05,39,False
2018-08-12,32,False
2018-08-19,34,False
2018-08-26,28,False
2018-09-02,29,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,30,False
2018-09-30,39,False
2018-10-07,32,False
2018-10-14,24,False
2018-10-21,53,False
2018-10-28,39,False
2018-11-04,38,False
2018-11-11,29,False
2018-11-18,21,False
2018-11-25,27,False
2018-12-02,32,False
2018-12-09,24,False
2018-12-16,29,False
2018-12-23,19,False
2018-12-30,24,False
2019-01-06,29,False
2019-01-13,30,False
2019-01-20,57,False
2019-01-27,41,False
2019-02-03,34,False
2019-02-10,25,False
2019-02-17,29,False
2019-02-24,34,False
2019-03-03,31,False
2019-03-10,30,False
2019-03-17,27,False
2019-03-24,24,False
2019-03-31,31,False
2019-04-07,28,False
2019-04-14,47,False
2019-04-21,60,False
2019-04-28,48,False
2019-05-05,42,False
2019-05-12,48,False
2019-05-19,41,False
2019-05-26,36,False
2019-06-02,28,False
2019-06-09,33,False
2019-06-16,27,False
2019-06-23,31,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,32,False
2019-07-21,61,False
2019-07-28,35,False
2019-08-04,32,False
2019-08-11,35,False
2019-08-18,28,False
2019-08-25,26,False
2019-09-01,30,False
2019-09-08,36,False
2019-09-15,22,False
2019-09-22,25,False
2019-09-29,23,False
2019-10-06,15,False
2019-10-13,26,False
2019-10-20,54,False
2019-10-27,36,False
2019-11-03,37,False
2019-11-10,30,False
2019-11-17,24,False
2019-11-24,27,False
2019-12-01,24,False
2019-12-08,21,False
2019-12-15,30,False
2019-12-22,24,False
2019-12-29,27,False
2020-01-05,31,False
2020-01-12,24,False
2020-01-19,70,False
2020-01-26,52,False
2020-02-02,31,False
2020-02-09,35,False
2020-02-16,28,False
2020-02-23,38,False
2020-03-01,33,False
2020-03-08,49,False
2020-03-15,51,False
2020-03-22,41,False
2020-03-29,31,False
2020-04-05,40,False
2020-04-12,36,False
2020-04-19,54,False
2020-04-26,43,False
2020-05-03,37,False
2020-05-10,32,False
2020-05-17,42,False
2020-05-24,29,False
2020-05-31,34,False
2020-06-07,34,False
2020-06-14,29,False
2020-06-21,35,False
2020-06-28,21,False
2020-07-05,24,False
2020-07-12,25,False
2020-07-19,74,False
2020-07-26,100,False
2020-08-02,61,False
2020-08-09,59,False
2020-08-16,64,False
2020-08-23,48,False
2020-08-30,68,False
2020-09-06,37,False
2020-09-13,39,False
2020-09-20,33,False
2020-09-27,36,False
2020-10-04,41,False
2020-10-11,36,False
2020-10-18,69,False
2020-10-25,52,False
2020-11-01,37,False
2020-11-08,39,False
2020-11-15,31,False
2020-11-22,29,False
2020-11-29,39,False
2020-12-06,39,False
2020-12-13,37,False
2020-12-20,29,False
2020-12-27,40,False
2021-01-03,36,False
2021-01-10,69,False
2021-01-17,76,False
2021-01-24,56,False
2021-01-31,43,False
2021-02-07,41,False
2021-02-14,38,False
2021-02-21,40,False
2021-02-28,42,False
2021-03-07,36,False
2021-03-14,36,False
2021-03-21,59,False
2021-03-28,38,False
2021-04-04,43,False
2021-04-11,42,False
2021-04-18,53,False
2021-04-25,44,False
2021-05-02,37,False
2021-05-09,33,False
2021-05-16,25,False
2021-05-23,31,False
2021-05-30,21,False
2021-06-06,23,False
2021-06-13,24,False
2021-06-20,28,False
2021-06-27,31,False
2021-07-04,21,False
2021-07-11,32,False
2021-07-18,51,False
2021-07-25,44,False
2021-08-01,36,False
2021-08-08,31,False
2021-08-15,27,False
2021-08-22,26,False
2021-08-29,25,False
2021-09-05,19,False
2021-09-12,27,False
2021-09-19,22,False
2021-09-26,24,False
