date,ENPH,isPartial
2016-08-21,2,False
2016-08-28,4,False
2016-09-04,7,False
2016-09-11,1,False
2016-09-18,3,False
2016-09-25,6,False
2016-10-02,5,False
2016-10-09,3,False
2016-10-16,3,False
2016-10-23,3,False
2016-10-30,8,False
2016-11-06,4,False
2016-11-13,2,False
2016-11-20,0,False
2016-11-27,0,False
2016-12-04,4,False
2016-12-11,2,False
2016-12-18,1,False
2016-12-25,1,False
2017-01-01,2,False
2017-01-08,8,False
2017-01-15,8,False
2017-01-22,2,False
2017-01-29,5,False
2017-02-05,4,False
2017-02-12,2,False
2017-02-19,6,False
2017-02-26,9,False
2017-03-05,6,False
2017-03-12,5,False
2017-03-19,2,False
2017-03-26,2,False
2017-04-02,5,False
2017-04-09,1,False
2017-04-16,5,False
2017-04-23,0,False
2017-04-30,2,False
2017-05-07,7,False
2017-05-14,6,False
2017-05-21,3,False
2017-05-28,4,False
2017-06-04,1,False
2017-06-11,3,False
2017-06-18,6,False
2017-06-25,2,False
2017-07-02,3,False
2017-07-09,6,False
2017-07-16,1,False
2017-07-23,4,False
2017-07-30,1,False
2017-08-06,5,False
2017-08-13,7,False
2017-08-20,2,False
2017-08-27,2,False
2017-09-03,7,False
2017-09-10,7,False
2017-09-17,3,False
2017-09-24,2,False
2017-10-01,2,False
2017-10-08,1,False
2017-10-15,0,False
2017-10-22,3,False
2017-10-29,4,False
2017-11-05,7,False
2017-11-12,6,False
2017-11-19,4,False
2017-11-26,11,False
2017-12-03,9,False
2017-12-10,3,False
2017-12-17,1,False
2017-12-24,5,False
2017-12-31,4,False
2018-01-07,2,False
2018-01-14,2,False
2018-01-21,5,False
2018-01-28,1,False
2018-02-04,4,False
2018-02-11,4,False
2018-02-18,5,False
2018-02-25,4,False
2018-03-04,10,False
2018-03-11,9,False
2018-03-18,7,False
2018-03-25,8,False
2018-04-01,6,False
2018-04-08,6,False
2018-04-15,7,False
2018-04-22,6,False
2018-04-29,16,False
2018-05-06,10,False
2018-05-13,6,False
2018-05-20,7,False
2018-05-27,7,False
2018-06-03,17,False
2018-06-10,21,False
2018-06-17,13,False
2018-06-24,15,False
2018-07-01,12,False
2018-07-08,13,False
2018-07-15,19,False
2018-07-22,14,False
2018-07-29,20,False
2018-08-05,13,False
2018-08-12,17,False
2018-08-19,12,False
2018-08-26,10,False
2018-09-02,7,False
2018-09-09,12,False
2018-09-16,12,False
2018-09-23,9,False
2018-09-30,7,False
2018-10-07,13,False
2018-10-14,6,False
2018-10-21,4,False
2018-10-28,6,False
2018-11-04,11,False
2018-11-11,4,False
2018-11-18,3,False
2018-11-25,13,False
2018-12-02,9,False
2018-12-09,8,False
2018-12-16,7,False
2018-12-23,10,False
2018-12-30,7,False
2019-01-06,4,False
2019-01-13,9,False
2019-01-20,7,False
2019-01-27,11,False
2019-02-03,8,False
2019-02-10,10,False
2019-02-17,8,False
2019-02-24,22,False
2019-03-03,12,False
2019-03-10,10,False
2019-03-17,8,False
2019-03-24,9,False
2019-03-31,4,False
2019-04-07,11,False
2019-04-14,5,False
2019-04-21,5,False
2019-04-28,21,False
2019-05-05,17,False
2019-05-12,12,False
2019-05-19,15,False
2019-05-26,15,False
2019-06-02,10,False
2019-06-09,15,False
2019-06-16,22,False
2019-06-23,8,False
2019-06-30,7,False
2019-07-07,17,False
2019-07-14,16,False
2019-07-21,17,False
2019-07-28,51,False
2019-08-04,26,False
2019-08-11,29,False
2019-08-18,30,False
2019-08-25,27,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,26,False
2019-09-22,21,False
2019-09-29,15,False
2019-10-06,14,False
2019-10-13,19,False
2019-10-20,23,False
2019-10-27,57,False
2019-11-03,27,False
2019-11-10,24,False
2019-11-17,25,False
2019-11-24,23,False
2019-12-01,28,False
2019-12-08,25,False
2019-12-15,26,False
2019-12-22,23,False
2019-12-29,29,False
2020-01-05,32,False
2020-01-12,24,False
2020-01-19,20,False
2020-01-26,18,False
2020-02-02,31,False
2020-02-09,43,False
2020-02-16,100,False
2020-02-23,52,False
2020-03-01,49,False
2020-03-08,36,False
2020-03-15,45,False
2020-03-22,39,False
2020-03-29,33,False
2020-04-05,26,False
2020-04-12,30,False
2020-04-19,29,False
2020-04-26,50,False
2020-05-03,42,False
2020-05-10,35,False
2020-05-17,51,False
2020-05-24,39,False
2020-05-31,31,False
2020-06-07,35,False
2020-06-14,89,False
2020-06-21,43,False
2020-06-28,25,False
2020-07-05,32,False
2020-07-12,26,False
2020-07-19,35,False
2020-07-26,22,False
2020-08-02,33,False
2020-08-09,29,False
2020-08-16,25,False
2020-08-23,26,False
2020-08-30,29,False
2020-09-06,17,False
2020-09-13,22,False
2020-09-20,24,False
2020-09-27,45,False
2020-10-04,52,False
2020-10-11,43,False
2020-10-18,41,False
2020-10-25,25,False
2020-11-01,39,False
2020-11-08,36,False
2020-11-15,35,False
2020-11-22,37,False
2020-11-29,28,False
2020-12-06,31,False
2020-12-13,41,False
2020-12-20,36,False
2020-12-27,48,False
2021-01-03,85,False
2021-01-10,67,False
2021-01-17,45,False
2021-01-24,68,False
2021-01-31,51,False
2021-02-07,79,False
2021-02-14,35,False
2021-02-21,45,False
2021-02-28,36,False
2021-03-07,53,False
2021-03-14,35,False
2021-03-21,27,False
2021-03-28,25,False
2021-04-04,29,False
2021-04-11,40,False
2021-04-18,38,False
2021-04-25,66,False
