date,FDX,isPartial
2016-08-21,15,False
2016-08-28,13,False
2016-09-04,16,False
2016-09-11,11,False
2016-09-18,24,False
2016-09-25,16,False
2016-10-02,12,False
2016-10-09,13,False
2016-10-16,15,False
2016-10-23,15,False
2016-10-30,16,False
2016-11-06,20,False
2016-11-13,26,False
2016-11-20,19,False
2016-11-27,18,False
2016-12-04,17,False
2016-12-11,21,False
2016-12-18,26,False
2016-12-25,17,False
2017-01-01,17,False
2017-01-08,17,False
2017-01-15,11,False
2017-01-22,22,False
2017-01-29,16,False
2017-02-05,17,False
2017-02-12,15,False
2017-02-19,19,False
2017-02-26,19,False
2017-03-05,19,False
2017-03-12,15,False
2017-03-19,36,False
2017-03-26,20,False
2017-04-02,16,False
2017-04-09,14,False
2017-04-16,16,False
2017-04-23,19,False
2017-04-30,19,False
2017-05-07,12,False
2017-05-14,14,False
2017-05-21,20,False
2017-05-28,17,False
2017-06-04,19,False
2017-06-11,22,False
2017-06-18,35,False
2017-06-25,24,False
2017-07-02,18,False
2017-07-09,16,False
2017-07-16,27,False
2017-07-23,24,False
2017-07-30,12,False
2017-08-06,29,False
2017-08-13,11,False
2017-08-20,13,False
2017-08-27,14,False
2017-09-03,8,False
2017-09-10,25,False
2017-09-17,21,False
2017-09-24,13,False
2017-10-01,15,False
2017-10-08,24,False
2017-10-15,19,False
2017-10-22,18,False
2017-10-29,22,False
2017-11-05,16,False
2017-11-12,20,False
2017-11-19,20,False
2017-11-26,18,False
2017-12-03,29,False
2017-12-10,19,False
2017-12-17,39,False
2017-12-24,21,False
2017-12-31,33,False
2018-01-07,37,False
2018-01-14,20,False
2018-01-21,25,False
2018-01-28,16,False
2018-02-04,35,False
2018-02-11,26,False
2018-02-18,16,False
2018-02-25,20,False
2018-03-04,18,False
2018-03-11,27,False
2018-03-18,37,False
2018-03-25,26,False
2018-04-01,23,False
2018-04-08,15,False
2018-04-15,16,False
2018-04-22,30,False
2018-04-29,22,False
2018-05-06,18,False
2018-05-13,21,False
2018-05-20,20,False
2018-05-27,18,False
2018-06-03,27,False
2018-06-10,28,False
2018-06-17,44,False
2018-06-24,27,False
2018-07-01,15,False
2018-07-08,20,False
2018-07-15,29,False
2018-07-22,19,False
2018-07-29,25,False
2018-08-05,18,False
2018-08-12,28,False
2018-08-19,19,False
2018-08-26,26,False
2018-09-02,13,False
2018-09-09,17,False
2018-09-16,41,False
2018-09-23,26,False
2018-09-30,18,False
2018-10-07,25,False
2018-10-14,16,False
2018-10-21,18,False
2018-10-28,21,False
2018-11-04,21,False
2018-11-11,19,False
2018-11-18,19,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,31,False
2018-12-16,64,False
2018-12-23,35,False
2018-12-30,25,False
2019-01-06,19,False
2019-01-13,24,False
2019-01-20,19,False
2019-01-27,23,False
2019-02-03,28,False
2019-02-10,29,False
2019-02-17,13,False
2019-02-24,27,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,50,False
2019-03-24,24,False
2019-03-31,28,False
2019-04-07,23,False
2019-04-14,21,False
2019-04-21,25,False
2019-04-28,18,False
2019-05-05,22,False
2019-05-12,24,False
2019-05-19,23,False
2019-05-26,18,False
2019-06-02,33,False
2019-06-09,27,False
2019-06-16,25,False
2019-06-23,59,False
2019-06-30,19,False
2019-07-07,36,False
2019-07-14,29,False
2019-07-21,28,False
2019-07-28,23,False
2019-08-04,25,False
2019-08-11,18,False
2019-08-18,27,False
2019-08-25,24,False
2019-09-01,19,False
2019-09-08,30,False
2019-09-15,85,False
2019-09-22,38,False
2019-09-29,25,False
2019-10-06,36,False
2019-10-13,27,False
2019-10-20,32,False
2019-10-27,25,False
2019-11-03,36,False
2019-11-10,24,False
2019-11-17,23,False
2019-11-24,21,False
2019-12-01,18,False
2019-12-08,25,False
2019-12-15,79,False
2019-12-22,28,False
2019-12-29,30,False
2020-01-05,34,False
2020-01-12,32,False
2020-01-19,28,False
2020-01-26,28,False
2020-02-02,27,False
2020-02-09,33,False
2020-02-16,27,False
2020-02-23,27,False
2020-03-01,32,False
2020-03-08,43,False
2020-03-15,57,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,23,False
2020-04-12,29,False
2020-04-19,29,False
2020-04-26,27,False
2020-05-03,26,False
2020-05-10,23,False
2020-05-17,39,False
2020-05-24,23,False
2020-05-31,36,False
2020-06-07,32,False
2020-06-14,31,False
2020-06-21,36,False
2020-06-28,62,False
2020-07-05,27,False
2020-07-12,28,False
2020-07-19,24,False
2020-07-26,34,False
2020-08-02,33,False
2020-08-09,46,False
2020-08-16,37,False
2020-08-23,32,False
2020-08-30,43,False
2020-09-06,45,False
2020-09-13,100,False
2020-09-20,40,False
2020-09-27,39,False
2020-10-04,42,False
2020-10-11,37,False
2020-10-18,43,False
2020-10-25,36,False
2020-11-01,38,False
2020-11-08,34,False
2020-11-15,40,False
2020-11-22,41,False
2020-11-29,38,False
2020-12-06,38,False
2020-12-13,77,False
2020-12-20,44,False
2020-12-27,38,False
2021-01-03,40,False
2021-01-10,47,False
2021-01-17,45,False
2021-01-24,39,False
2021-01-31,38,False
2021-02-07,35,False
2021-02-14,29,False
2021-02-21,29,False
2021-02-28,21,False
2021-03-07,42,False
2021-03-14,43,False
2021-03-21,37,False
2021-03-28,38,False
2021-04-04,25,False
2021-04-11,29,False
2021-04-18,27,False
2021-04-25,37,False
2021-05-02,40,False
2021-05-09,31,False
2021-05-16,29,False
2021-05-23,30,False
2021-05-30,24,False
2021-06-06,25,False
2021-06-13,29,False
2021-06-20,44,False
2021-06-27,35,False
2021-07-04,26,False
2021-07-11,26,False
2021-07-18,28,False
2021-07-25,27,False
2021-08-01,24,False
2021-08-08,25,True
