date,FBHS,isPartial
2016-08-21,36,False
2016-08-28,52,False
2016-09-04,52,False
2016-09-11,0,False
2016-09-18,68,False
2016-09-25,34,False
2016-10-02,33,False
2016-10-09,17,False
2016-10-16,33,False
2016-10-23,67,False
2016-10-30,17,False
2016-11-06,32,False
2016-11-13,16,False
2016-11-20,81,False
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,16,False
2016-12-18,34,False
2016-12-25,34,False
2017-01-01,33,False
2017-01-08,31,False
2017-01-15,46,False
2017-01-22,78,False
2017-01-29,30,False
2017-02-05,15,False
2017-02-12,76,False
2017-02-19,31,False
2017-02-26,15,False
2017-03-05,29,False
2017-03-12,15,False
2017-03-19,0,False
2017-03-26,15,False
2017-04-02,31,False
2017-04-09,16,False
2017-04-16,15,False
2017-04-23,30,False
2017-04-30,31,False
2017-05-07,15,False
2017-05-14,48,False
2017-05-21,33,False
2017-05-28,16,False
2017-06-04,32,False
2017-06-11,49,False
2017-06-18,48,False
2017-06-25,0,False
2017-07-02,34,False
2017-07-09,16,False
2017-07-16,50,False
2017-07-23,16,False
2017-07-30,80,False
2017-08-06,31,False
2017-08-13,32,False
2017-08-20,16,False
2017-08-27,16,False
2017-09-03,0,False
2017-09-10,46,False
2017-09-17,0,False
2017-09-24,31,False
2017-10-01,0,False
2017-10-08,15,False
2017-10-15,15,False
2017-10-22,30,False
2017-10-29,15,False
2017-11-05,15,False
2017-11-12,15,False
2017-11-19,15,False
2017-11-26,15,False
2017-12-03,30,False
2017-12-10,15,False
2017-12-17,0,False
2017-12-24,17,False
2017-12-31,0,False
2018-01-07,44,False
2018-01-14,43,False
2018-01-21,57,False
2018-01-28,14,False
2018-02-04,44,False
2018-02-11,14,False
2018-02-18,29,False
2018-02-25,42,False
2018-03-04,28,False
2018-03-11,42,False
2018-03-18,57,False
2018-03-25,30,False
2018-04-01,29,False
2018-04-08,72,False
2018-04-15,0,False
2018-04-22,44,False
2018-04-29,44,False
2018-05-06,15,False
2018-05-13,15,False
2018-05-20,73,False
2018-05-27,29,False
2018-06-03,58,False
2018-06-10,0,False
2018-06-17,14,False
2018-06-24,14,False
2018-07-01,0,False
2018-07-08,43,False
2018-07-15,45,False
2018-07-22,59,False
2018-07-29,14,False
2018-08-05,43,False
2018-08-12,44,False
2018-08-19,15,False
2018-08-26,58,False
2018-09-02,71,False
2018-09-09,28,False
2018-09-16,56,False
2018-09-23,14,False
2018-09-30,42,False
2018-10-07,57,False
2018-10-14,0,False
2018-10-21,57,False
2018-10-28,100,False
2018-11-04,70,False
2018-11-11,28,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,15,False
2018-12-23,48,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,14,False
2019-01-27,28,False
2019-02-03,28,False
2019-02-10,0,False
2019-02-17,28,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,69,False
2019-03-17,0,False
2019-03-24,28,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,29,False
2019-04-28,14,False
2019-05-05,0,False
2019-05-12,42,False
2019-05-19,0,False
2019-05-26,14,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,14,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,57,False
2019-07-21,44,False
2019-07-28,71,False
2019-08-04,57,False
2019-08-11,28,False
2019-08-18,28,False
2019-08-25,41,False
2019-09-01,54,False
2019-09-08,13,False
2019-09-15,53,False
2019-09-22,40,False
2019-09-29,40,False
2019-10-06,13,False
2019-10-13,52,False
2019-10-20,38,False
2019-10-27,13,False
2019-11-03,13,False
2019-11-10,39,False
2019-11-17,39,False
2019-11-24,26,False
2019-12-01,39,False
2019-12-08,0,False
2019-12-15,40,False
2019-12-22,29,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,48,False
2020-01-19,25,False
2020-01-26,75,False
2020-02-02,12,False
2020-02-09,49,False
2020-02-16,24,False
2020-02-23,12,False
2020-03-01,36,False
2020-03-08,35,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,45,False
2020-04-05,23,False
2020-04-12,56,False
2020-04-19,44,False
2020-04-26,89,False
2020-05-03,44,False
2020-05-10,23,False
2020-05-17,34,False
2020-05-24,23,False
2020-05-31,22,False
2020-06-07,11,False
2020-06-14,35,False
2020-06-21,0,False
2020-06-28,0,False
2020-07-05,36,False
2020-07-12,25,False
2020-07-19,25,False
2020-07-26,38,False
2020-08-02,37,False
2020-08-09,36,False
2020-08-16,12,False
2020-08-23,12,False
2020-08-30,70,False
2020-09-06,12,False
2020-09-13,12,False
2020-09-20,0,False
2020-09-27,0,False
2020-10-04,60,False
2020-10-11,38,False
2020-10-18,25,False
2020-10-25,50,False
2020-11-01,35,False
2020-11-08,75,False
2020-11-15,25,False
2020-11-22,12,False
2020-11-29,24,False
2020-12-06,25,False
2020-12-13,37,False
2020-12-20,14,False
2020-12-27,53,False
2021-01-03,12,False
2021-01-10,12,False
2021-01-17,12,False
2021-01-24,25,False
2021-01-31,50,False
2021-02-07,12,False
2021-02-14,25,False
2021-02-21,24,False
2021-02-28,12,False
2021-03-07,12,False
2021-03-14,12,False
2021-03-21,0,False
2021-03-28,13,False
2021-04-04,12,False
2021-04-11,37,False
2021-04-18,50,False
2021-04-25,12,False
2021-05-02,12,False
2021-05-09,38,False
2021-05-16,25,False
2021-05-23,13,False
2021-05-30,25,False
2021-06-06,25,False
2021-06-13,25,False
2021-06-20,26,False
2021-06-27,0,False
2021-07-04,13,False
2021-07-11,26,False
2021-07-18,0,False
2021-07-25,52,False
2021-08-01,26,False
2021-08-08,45,True
