date,SYF,isPartial
2016-08-21,16,False
2016-08-28,18,False
2016-09-04,18,False
2016-09-11,17,False
2016-09-18,18,False
2016-09-25,24,False
2016-10-02,28,False
2016-10-09,23,False
2016-10-16,26,False
2016-10-23,20,False
2016-10-30,10,False
2016-11-06,16,False
2016-11-13,15,False
2016-11-20,17,False
2016-11-27,19,False
2016-12-04,21,False
2016-12-11,26,False
2016-12-18,19,False
2016-12-25,22,False
2017-01-01,27,False
2017-01-08,22,False
2017-01-15,15,False
2017-01-22,20,False
2017-01-29,20,False
2017-02-05,28,False
2017-02-12,31,False
2017-02-19,32,False
2017-02-26,24,False
2017-03-05,36,False
2017-03-12,33,False
2017-03-19,32,False
2017-03-26,33,False
2017-04-02,61,False
2017-04-09,32,False
2017-04-16,42,False
2017-04-23,63,False
2017-04-30,41,False
2017-05-07,19,False
2017-05-14,18,False
2017-05-21,21,False
2017-05-28,15,False
2017-06-04,21,False
2017-06-11,16,False
2017-06-18,24,False
2017-06-25,21,False
2017-07-02,20,False
2017-07-09,13,False
2017-07-16,12,False
2017-07-23,15,False
2017-07-30,12,False
2017-08-06,19,False
2017-08-13,27,False
2017-08-20,23,False
2017-08-27,23,False
2017-09-03,18,False
2017-09-10,15,False
2017-09-17,21,False
2017-09-24,31,False
2017-10-01,30,False
2017-10-08,29,False
2017-10-15,42,False
2017-10-22,35,False
2017-10-29,25,False
2017-11-05,19,False
2017-11-12,37,False
2017-11-19,30,False
2017-11-26,22,False
2017-12-03,23,False
2017-12-10,23,False
2017-12-17,32,False
2017-12-24,26,False
2017-12-31,22,False
2018-01-07,25,False
2018-01-14,31,False
2018-01-21,19,False
2018-01-28,31,False
2018-02-04,22,False
2018-02-11,29,False
2018-02-18,20,False
2018-02-25,35,False
2018-03-04,22,False
2018-03-11,24,False
2018-03-18,25,False
2018-03-25,23,False
2018-04-01,29,False
2018-04-08,41,False
2018-04-15,43,False
2018-04-22,26,False
2018-04-29,19,False
2018-05-06,18,False
2018-05-13,28,False
2018-05-20,25,False
2018-05-27,21,False
2018-06-03,23,False
2018-06-10,17,False
2018-06-17,13,False
2018-06-24,18,False
2018-07-01,15,False
2018-07-08,25,False
2018-07-15,15,False
2018-07-22,36,False
2018-07-29,32,False
2018-08-05,26,False
2018-08-12,25,False
2018-08-19,22,False
2018-08-26,24,False
2018-09-02,18,False
2018-09-09,17,False
2018-09-16,22,False
2018-09-23,30,False
2018-09-30,23,False
2018-10-07,32,False
2018-10-14,37,False
2018-10-21,25,False
2018-10-28,29,False
2018-11-04,27,False
2018-11-11,28,False
2018-11-18,19,False
2018-11-25,33,False
2018-12-02,31,False
2018-12-09,35,False
2018-12-16,31,False
2018-12-23,31,False
2018-12-30,25,False
2019-01-06,21,False
2019-01-13,32,False
2019-01-20,29,False
2019-01-27,30,False
2019-02-03,26,False
2019-02-10,39,False
2019-02-17,30,False
2019-02-24,33,False
2019-03-03,40,False
2019-03-10,26,False
2019-03-17,26,False
2019-03-24,42,False
2019-03-31,38,False
2019-04-07,56,False
2019-04-14,100,False
2019-04-21,31,False
2019-04-28,41,False
2019-05-05,31,False
2019-05-12,21,False
2019-05-19,12,False
2019-05-26,16,False
2019-06-02,17,False
2019-06-09,18,False
2019-06-16,16,False
2019-06-23,16,False
2019-06-30,21,False
2019-07-07,20,False
2019-07-14,17,False
2019-07-21,22,False
2019-07-28,29,False
2019-08-04,21,False
2019-08-11,21,False
2019-08-18,13,False
2019-08-25,16,False
2019-09-01,14,False
2019-09-08,32,False
2019-09-15,28,False
2019-09-22,26,False
2019-09-29,36,False
2019-10-06,39,False
2019-10-13,32,False
2019-10-20,35,False
2019-10-27,23,False
2019-11-03,32,False
2019-11-10,32,False
