date,IPGP,isPartial
2016-08-21,20,False
2016-08-28,8,False
2016-09-04,12,False
2016-09-11,4,False
2016-09-18,19,False
2016-09-25,11,False
2016-10-02,11,False
2016-10-09,7,False
2016-10-16,19,False
2016-10-23,34,False
2016-10-30,4,False
2016-11-06,18,False
2016-11-13,33,False
2016-11-20,14,False
2016-11-27,25,False
2016-12-04,3,False
2016-12-11,25,False
2016-12-18,11,False
2016-12-25,15,False
2017-01-01,15,False
2017-01-08,10,False
2017-01-15,17,False
2017-01-22,14,False
2017-01-29,30,False
2017-02-05,24,False
2017-02-12,20,False
2017-02-19,10,False
2017-02-26,20,False
2017-03-05,10,False
2017-03-12,20,False
2017-03-19,7,False
2017-03-26,10,False
2017-04-02,17,False
2017-04-09,11,False
2017-04-16,14,False
2017-04-23,14,False
2017-04-30,31,False
2017-05-07,10,False
2017-05-14,14,False
2017-05-21,11,False
2017-05-28,4,False
2017-06-04,11,False
2017-06-11,11,False
2017-06-18,18,False
2017-06-25,4,False
2017-07-02,4,False
2017-07-09,22,False
2017-07-16,11,False
2017-07-23,18,False
2017-07-30,32,False
2017-08-06,11,False
2017-08-13,11,False
2017-08-20,7,False
2017-08-27,11,False
2017-09-03,25,False
2017-09-10,17,False
2017-09-17,7,False
2017-09-24,24,False
2017-10-01,17,False
2017-10-08,20,False
2017-10-15,31,False
2017-10-22,20,False
2017-10-29,34,False
2017-11-05,20,False
2017-11-12,43,False
2017-11-19,53,False
2017-11-26,49,False
2017-12-03,70,False
2017-12-10,23,False
2017-12-17,24,False
2017-12-24,26,False
2017-12-31,18,False
2018-01-07,36,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,32,False
2018-02-04,23,False
2018-02-11,19,False
2018-02-18,13,False
2018-02-25,19,False
2018-03-04,16,False
2018-03-11,19,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,23,False
2018-04-08,23,False
2018-04-15,39,False
2018-04-22,29,False
2018-04-29,23,False
2018-05-06,16,False
2018-05-13,13,False
2018-05-20,13,False
2018-05-27,3,False
2018-06-03,19,False
2018-06-10,19,False
2018-06-17,19,False
2018-06-24,39,False
2018-07-01,19,False
2018-07-08,6,False
2018-07-15,20,False
2018-07-22,20,False
2018-07-29,100,False
2018-08-05,13,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,26,False
2018-09-02,29,False
2018-09-09,22,False
2018-09-16,25,False
2018-09-23,28,False
2018-09-30,34,False
2018-10-07,32,False
2018-10-14,48,False
2018-10-21,16,False
2018-10-28,32,False
2018-11-04,16,False
2018-11-11,29,False
2018-11-18,13,False
2018-11-25,31,False
2018-12-02,13,False
2018-12-09,19,False
2018-12-16,23,False
2018-12-23,14,False
2018-12-30,21,False
2019-01-06,13,False
2019-01-13,22,False
2019-01-20,9,False
2019-01-27,18,False
2019-02-03,9,False
2019-02-10,19,False
2019-02-17,34,False
2019-02-24,34,False
2019-03-03,16,False
2019-03-10,15,False
2019-03-17,31,False
2019-03-24,28,False
2019-03-31,28,False
2019-04-07,6,False
2019-04-14,16,False
2019-04-21,13,False
2019-04-28,28,False
2019-05-05,16,False
2019-05-12,9,False
2019-05-19,25,False
2019-05-26,28,False
2019-06-02,28,False
2019-06-09,12,False
2019-06-16,28,False
2019-06-23,15,False
2019-06-30,28,False
2019-07-07,18,False
2019-07-14,13,False
2019-07-21,23,False
2019-07-28,16,False
2019-08-04,13,False
2019-08-11,16,False
2019-08-18,9,False
2019-08-25,9,False
2019-09-01,30,False
2019-09-08,27,False
2019-09-15,9,False
2019-09-22,24,False
2019-09-29,15,False
2019-10-06,6,False
2019-10-13,20,False
2019-10-20,14,False
2019-10-27,24,False
2019-11-03,35,False
2019-11-10,6,False
2019-11-17,26,False
2019-11-24,23,False
2019-12-01,6,False
2019-12-08,6,False
2019-12-15,24,False
2019-12-22,6,False
2019-12-29,3,False
2020-01-05,14,False
2020-01-12,24,False
2020-01-19,28,False
2020-01-26,25,False
2020-02-02,14,False
2020-02-09,16,False
2020-02-16,25,False
2020-02-23,13,False
2020-03-01,19,False
2020-03-08,16,False
2020-03-15,13,False
2020-03-22,20,False
2020-03-29,7,False
2020-04-05,10,False
2020-04-12,15,False
2020-04-19,17,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,5,False
2020-05-17,23,False
2020-05-24,10,False
2020-05-31,13,False
2020-06-07,13,False
2020-06-14,15,False
2020-06-21,16,False
2020-06-28,8,False
2020-07-05,11,False
2020-07-12,11,False
2020-07-19,28,False
2020-07-26,11,False
2020-08-02,25,False
2020-08-09,8,False
2020-08-16,8,False
2020-08-23,11,False
2020-08-30,13,False
2020-09-06,8,False
2020-09-13,18,False
2020-09-20,5,False
2020-09-27,3,False
2020-10-04,13,False
2020-10-11,25,False
2020-10-18,8,False
2020-10-25,11,False
2020-11-01,18,False
2020-11-08,17,False
2020-11-15,17,False
2020-11-22,6,False
2020-11-29,14,False
2020-12-06,6,False
2020-12-13,17,False
2020-12-20,3,False
2020-12-27,6,False
2021-01-03,5,False
2021-01-10,8,False
2021-01-17,27,False
2021-01-24,17,False
2021-01-31,14,False
2021-02-07,19,False
2021-02-14,8,False
2021-02-21,8,False
2021-02-28,16,False
2021-03-07,19,False
2021-03-14,13,False
2021-03-21,22,False
2021-03-28,17,False
2021-04-04,14,False
2021-04-11,17,False
2021-04-18,3,False
2021-04-25,5,False
2021-05-02,25,False
2021-05-09,6,False
2021-05-16,14,False
2021-05-23,6,False
2021-05-30,14,False
2021-06-06,20,False
2021-06-13,3,False
2021-06-20,6,False
2021-06-27,3,False
2021-07-04,14,False
2021-07-11,6,False
2021-07-18,9,False
2021-07-25,9,False
2021-08-01,14,False
2021-08-08,30,True
