date,NTAP,isPartial
2016-08-21,34,False
2016-08-28,23,False
2016-09-04,15,False
2016-09-11,14,False
2016-09-18,28,False
2016-09-25,17,False
2016-10-02,11,False
2016-10-09,9,False
2016-10-16,28,False
2016-10-23,11,False
2016-10-30,34,False
2016-11-06,41,False
2016-11-13,100,False
2016-11-20,30,False
2016-11-27,45,False
2016-12-04,18,False
2016-12-11,21,False
2016-12-18,23,False
2016-12-25,6,False
2017-01-01,17,False
2017-01-08,16,False
2017-01-15,10,False
2017-01-22,26,False
2017-01-29,44,False
2017-02-05,46,False
2017-02-12,64,False
2017-02-19,26,False
2017-02-26,50,False
2017-03-05,20,False
2017-03-12,20,False
2017-03-19,15,False
2017-03-26,18,False
2017-04-02,15,False
2017-04-09,27,False
2017-04-16,18,False
2017-04-23,15,False
2017-04-30,23,False
2017-05-07,20,False
2017-05-14,35,False
2017-05-21,44,False
2017-05-28,19,False
2017-06-04,27,False
2017-06-11,33,False
2017-06-18,30,False
2017-06-25,28,False
2017-07-02,17,False
2017-07-09,36,False
2017-07-16,33,False
2017-07-23,30,False
2017-07-30,29,False
2017-08-06,27,False
2017-08-13,29,False
2017-08-20,27,False
2017-08-27,16,False
2017-09-03,8,False
2017-09-10,10,False
2017-09-17,21,False
2017-09-24,31,False
2017-10-01,29,False
2017-10-08,26,False
2017-10-15,26,False
2017-10-22,28,False
2017-10-29,21,False
2017-11-05,20,False
2017-11-12,58,False
2017-11-19,37,False
2017-11-26,62,False
2017-12-03,65,False
2017-12-10,45,False
2017-12-17,21,False
2017-12-24,17,False
2017-12-31,29,False
2018-01-07,49,False
2018-01-14,34,False
2018-01-21,48,False
2018-01-28,27,False
2018-02-04,29,False
2018-02-11,76,False
2018-02-18,34,False
2018-02-25,12,False
2018-03-04,26,False
2018-03-11,19,False
2018-03-18,26,False
2018-03-25,35,False
2018-04-01,25,False
2018-04-08,29,False
2018-04-15,24,False
2018-04-22,27,False
2018-04-29,44,False
2018-05-06,27,False
2018-05-13,37,False
2018-05-20,77,False
2018-05-27,50,False
2018-06-03,47,False
2018-06-10,45,False
2018-06-17,37,False
2018-06-24,31,False
2018-07-01,29,False
2018-07-08,39,False
2018-07-15,35,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,43,False
2018-08-12,69,False
2018-08-19,55,False
2018-08-26,36,False
2018-09-02,31,False
2018-09-09,31,False
2018-09-16,17,False
2018-09-23,35,False
2018-09-30,19,False
2018-10-07,45,False
2018-10-14,39,False
2018-10-21,38,False
2018-10-28,26,False
2018-11-04,52,False
2018-11-11,53,False
2018-11-18,29,False
2018-11-25,33,False
2018-12-02,36,False
2018-12-09,44,False
2018-12-16,29,False
2018-12-23,30,False
2018-12-30,10,False
2019-01-06,34,False
2019-01-13,24,False
2019-01-20,26,False
2019-01-27,19,False
2019-02-03,30,False
2019-02-10,57,False
2019-02-17,25,False
2019-02-24,32,False
2019-03-03,14,False
2019-03-10,19,False
2019-03-17,28,False
2019-03-24,9,False
2019-03-31,26,False
2019-04-07,52,False
2019-04-14,32,False
2019-04-21,34,False
2019-04-28,26,False
2019-05-05,14,False
2019-05-12,19,False
2019-05-19,68,False
2019-05-26,47,False
2019-06-02,42,False
2019-06-09,33,False
2019-06-16,38,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,25,False
2019-07-14,28,False
2019-07-21,19,False
2019-07-28,49,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,29,False
2019-08-25,25,False
2019-09-01,25,False
2019-09-08,31,False
2019-09-15,27,False
2019-09-22,38,False
2019-09-29,27,False
2019-10-06,22,False
2019-10-13,31,False
2019-10-20,24,False
2019-10-27,13,False
2019-11-03,46,False
2019-11-10,54,False
2019-11-17,31,False
2019-11-24,33,False
2019-12-01,26,False
2019-12-08,24,False
2019-12-15,37,False
2019-12-22,19,False
2019-12-29,14,False
2020-01-05,28,False
2020-01-12,14,False
2020-01-19,17,False
2020-01-26,21,False
2020-02-02,27,False
2020-02-09,50,False
2020-02-16,14,False
2020-02-23,18,False
2020-03-01,20,False
2020-03-08,38,False
2020-03-15,32,False
2020-03-22,28,False
2020-03-29,11,False
2020-04-05,14,False
