date,DRE,isPartial
2016-08-21,17,False
2016-08-28,19,False
2016-09-04,19,False
2016-09-11,17,False
2016-09-18,19,False
2016-09-25,19,False
2016-10-02,19,False
2016-10-09,19,False
2016-10-16,47,False
2016-10-23,22,False
2016-10-30,19,False
2016-11-06,18,False
2016-11-13,19,False
2016-11-20,24,False
2016-11-27,22,False
2016-12-04,20,False
2016-12-11,21,False
2016-12-18,21,False
2016-12-25,19,False
2017-01-01,16,False
2017-01-08,15,False
2017-01-15,16,False
2017-01-22,14,False
2017-01-29,16,False
2017-02-05,16,False
2017-02-12,15,False
2017-02-19,16,False
2017-02-26,15,False
2017-03-05,15,False
2017-03-12,15,False
2017-03-19,16,False
2017-03-26,15,False
2017-04-02,15,False
2017-04-09,14,False
2017-04-16,14,False
2017-04-23,15,False
2017-04-30,15,False
2017-05-07,15,False
2017-05-14,17,False
2017-05-21,14,False
2017-05-28,14,False
2017-06-04,15,False
2017-06-11,17,False
2017-06-18,17,False
2017-06-25,15,False
2017-07-02,16,False
2017-07-09,28,False
2017-07-16,22,False
2017-07-23,18,False
2017-07-30,17,False
2017-08-06,17,False
2017-08-13,15,False
2017-08-20,16,False
2017-08-27,15,False
2017-09-03,16,False
2017-09-10,15,False
2017-09-17,15,False
2017-09-24,14,False
2017-10-01,13,False
2017-10-08,14,False
2017-10-15,14,False
2017-10-22,16,False
2017-10-29,13,False
2017-11-05,14,False
2017-11-12,15,False
2017-11-19,19,False
2017-11-26,17,False
2017-12-03,16,False
2017-12-10,16,False
2017-12-17,16,False
2017-12-24,16,False
2017-12-31,14,False
2018-01-07,14,False
2018-01-14,13,False
2018-01-21,14,False
2018-01-28,13,False
2018-02-04,13,False
2018-02-11,13,False
2018-02-18,14,False
2018-02-25,14,False
2018-03-04,15,False
2018-03-11,13,False
2018-03-18,14,False
2018-03-25,15,False
2018-04-01,14,False
2018-04-08,14,False
2018-04-15,14,False
2018-04-22,14,False
2018-04-29,14,False
2018-05-06,14,False
2018-05-13,13,False
2018-05-20,13,False
2018-05-27,14,False
2018-06-03,14,False
2018-06-10,13,False
2018-06-17,13,False
2018-06-24,13,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,14,False
2018-07-22,13,False
2018-07-29,12,False
2018-08-05,12,False
2018-08-12,12,False
2018-08-19,13,False
2018-08-26,13,False
2018-09-02,15,False
2018-09-09,14,False
2018-09-16,14,False
2018-09-23,14,False
2018-09-30,13,False
2018-10-07,12,False
2018-10-14,13,False
2018-10-21,13,False
2018-10-28,12,False
2018-11-04,13,False
2018-11-11,13,False
2018-11-18,16,False
2018-11-25,14,False
2018-12-02,13,False
2018-12-09,12,False
2018-12-16,13,False
2018-12-23,13,False
2018-12-30,12,False
2019-01-06,13,False
2019-01-13,12,False
2019-01-20,12,False
2019-01-27,11,False
2019-02-03,12,False
2019-02-10,13,False
2019-02-17,13,False
2019-02-24,12,False
2019-03-03,11,False
2019-03-10,11,False
2019-03-17,12,False
2019-03-24,18,False
2019-03-31,13,False
2019-04-07,11,False
2019-04-14,12,False
2019-04-21,12,False
2019-04-28,12,False
2019-05-05,11,False
2019-05-12,11,False
2019-05-19,11,False
2019-05-26,11,False
2019-06-02,14,False
2019-06-09,11,False
2019-06-16,10,False
2019-06-23,10,False
2019-06-30,10,False
2019-07-07,10,False
2019-07-14,10,False
2019-07-21,10,False
2019-07-28,10,False
2019-08-04,11,False
2019-08-11,11,False
2019-08-18,10,False
2019-08-25,11,False
2019-09-01,11,False
2019-09-08,11,False
2019-09-15,11,False
2019-09-22,11,False
2019-09-29,10,False
2019-10-06,11,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,12,False
2019-11-03,12,False
2019-11-10,11,False
2019-11-17,13,False
2019-11-24,13,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,13,False
2019-12-22,13,False
2019-12-29,13,False
2020-01-05,13,False
2020-01-12,12,False
2020-01-19,12,False
2020-01-26,12,False
2020-02-02,12,False
2020-02-09,12,False
2020-02-16,14,False
2020-02-23,10,False
2020-03-01,11,False
2020-03-08,11,False
2020-03-15,11,False
2020-03-22,11,False
2020-03-29,12,False
2020-04-05,11,False
2020-04-12,11,False
2020-04-19,13,False
2020-04-26,11,False
2020-05-03,12,False
2020-05-10,13,False
2020-05-17,12,False
2020-05-24,12,False
2020-05-31,11,False
2020-06-07,11,False
2020-06-14,11,False
2020-06-21,11,False
2020-06-28,19,False
2020-07-05,14,False
2020-07-12,11,False
2020-07-19,11,False
2020-07-26,13,False
2020-08-02,13,False
2020-08-09,12,False
2020-08-16,11,False
2020-08-23,10,False
2020-08-30,13,False
2020-09-06,16,False
2020-09-13,11,False
2020-09-20,12,False
2020-09-27,12,False
2020-10-04,10,False
2020-10-11,11,False
2020-10-18,10,False
2020-10-25,10,False
2020-11-01,10,False
2020-11-08,12,False
2020-11-15,11,False
2020-11-22,14,False
2020-11-29,12,False
2020-12-06,11,False
2020-12-13,11,False
2020-12-20,12,False
2020-12-27,11,False
2021-01-03,100,False
2021-01-10,19,False
2021-01-17,14,False
2021-01-24,12,False
2021-01-31,12,False
2021-02-07,13,False
2021-02-14,13,False
2021-02-21,12,False
2021-02-28,11,False
2021-03-07,11,False
2021-03-14,11,False
2021-03-21,10,False
2021-03-28,11,False
2021-04-04,14,False
2021-04-11,12,False
2021-04-18,12,False
2021-04-25,11,False
2021-05-02,11,False
2021-05-09,10,False
2021-05-16,10,False
2021-05-23,10,False
2021-05-30,10,False
2021-06-06,11,False
2021-06-13,11,False
2021-06-20,10,False
2021-06-27,10,False
2021-07-04,11,False
2021-07-11,15,False
2021-07-18,17,False
2021-07-25,11,False
2021-08-01,16,False
2021-08-08,11,True
