date,OTIS,isPartial
2016-08-21,40,False
2016-08-28,50,False
2016-09-04,52,False
2016-09-11,52,False
2016-09-18,49,False
2016-09-25,48,False
2016-10-02,45,False
2016-10-09,41,False
2016-10-16,49,False
2016-10-23,57,False
2016-10-30,49,False
2016-11-06,44,False
2016-11-13,44,False
2016-11-20,48,False
2016-11-27,43,False
2016-12-04,45,False
2016-12-11,44,False
2016-12-18,44,False
2016-12-25,43,False
2017-01-01,46,False
2017-01-08,47,False
2017-01-15,50,False
2017-01-22,50,False
2017-01-29,48,False
2017-02-05,45,False
2017-02-12,46,False
2017-02-19,47,False
2017-02-26,46,False
2017-03-05,45,False
2017-03-12,47,False
2017-03-19,48,False
2017-03-26,47,False
2017-04-02,47,False
2017-04-09,63,False
2017-04-16,45,False
2017-04-23,51,False
2017-04-30,46,False
2017-05-07,48,False
2017-05-14,43,False
2017-05-21,41,False
2017-05-28,46,False
2017-06-04,42,False
2017-06-11,46,False
2017-06-18,45,False
2017-06-25,44,False
2017-07-02,44,False
2017-07-09,49,False
2017-07-16,51,False
2017-07-23,45,False
2017-07-30,43,False
2017-08-06,48,False
2017-08-13,47,False
2017-08-20,47,False
2017-08-27,57,False
2017-09-03,45,False
2017-09-10,45,False
2017-09-17,50,False
2017-09-24,45,False
2017-10-01,42,False
2017-10-08,44,False
2017-10-15,48,False
2017-10-22,42,False
2017-10-29,42,False
2017-11-05,45,False
2017-11-12,46,False
2017-11-19,39,False
2017-11-26,42,False
2017-12-03,50,False
2017-12-10,54,False
2017-12-17,46,False
2017-12-24,44,False
2017-12-31,47,False
2018-01-07,50,False
2018-01-14,46,False
2018-01-21,53,False
2018-01-28,47,False
2018-02-04,47,False
2018-02-11,46,False
2018-02-18,45,False
2018-02-25,43,False
2018-03-04,44,False
2018-03-11,44,False
2018-03-18,44,False
2018-03-25,43,False
2018-04-01,46,False
2018-04-08,41,False
2018-04-15,42,False
2018-04-22,44,False
2018-04-29,43,False
2018-05-06,40,False
2018-05-13,44,False
2018-05-20,39,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,43,False
2018-06-17,44,False
2018-06-24,41,False
2018-07-01,41,False
2018-07-08,42,False
2018-07-15,44,False
2018-07-22,47,False
2018-07-29,44,False
2018-08-05,42,False
2018-08-12,54,False
2018-08-19,46,False
2018-08-26,44,False
2018-09-02,39,False
2018-09-09,42,False
2018-09-16,43,False
2018-09-23,44,False
2018-09-30,52,False
2018-10-07,45,False
2018-10-14,42,False
2018-10-21,42,False
2018-10-28,44,False
2018-11-04,46,False
2018-11-11,44,False
2018-11-18,39,False
2018-11-25,41,False
2018-12-02,42,False
2018-12-09,47,False
2018-12-16,45,False
2018-12-23,46,False
2018-12-30,47,False
2019-01-06,45,False
2019-01-13,58,False
2019-01-20,55,False
2019-01-27,52,False
2019-02-03,53,False
2019-02-10,53,False
2019-02-17,49,False
2019-02-24,49,False
2019-03-03,49,False
2019-03-10,45,False
2019-03-17,45,False
2019-03-24,46,False
2019-03-31,45,False
2019-04-07,43,False
2019-04-14,46,False
2019-04-21,42,False
2019-04-28,45,False
2019-05-05,41,False
2019-05-12,42,False
2019-05-19,40,False
2019-05-26,40,False
2019-06-02,43,False
2019-06-09,44,False
2019-06-16,43,False
2019-06-23,41,False
2019-06-30,40,False
2019-07-07,42,False
2019-07-14,44,False
2019-07-21,42,False
2019-07-28,42,False
2019-08-04,43,False
2019-08-11,41,False
2019-08-18,42,False
2019-08-25,44,False
2019-09-01,49,False
2019-09-08,48,False
2019-09-15,46,False
2019-09-22,71,False
2019-09-29,58,False
2019-10-06,45,False
2019-10-13,48,False
2019-10-20,48,False
2019-10-27,50,False
2019-11-03,45,False
2019-11-10,47,False
2019-11-17,49,False
2019-11-24,43,False
2019-12-01,48,False
2019-12-08,54,False
2019-12-15,49,False
2019-12-22,47,False
2019-12-29,48,False
2020-01-05,47,False
2020-01-12,68,False
2020-01-19,100,False
2020-01-26,76,False
2020-02-02,67,False
2020-02-09,65,False
2020-02-16,60,False
2020-02-23,52,False
2020-03-01,50,False
2020-03-08,47,False
2020-03-15,42,False
2020-03-22,46,False
2020-03-29,48,False
2020-04-05,64,False
2020-04-12,51,False
2020-04-19,55,False
2020-04-26,51,False
2020-05-03,51,False
2020-05-10,63,False
2020-05-17,53,False
2020-05-24,49,False
2020-05-31,51,False
2020-06-07,49,False
2020-06-14,50,False
2020-06-21,47,False
2020-06-28,43,False
2020-07-05,47,False
2020-07-12,45,False
2020-07-19,45,False
2020-07-26,43,False
2020-08-02,43,False
2020-08-09,44,False
2020-08-16,45,False
2020-08-23,49,False
2020-08-30,41,False
2020-09-06,54,False
2020-09-13,45,False
2020-09-20,46,False
2020-09-27,46,False
2020-10-04,44,False
2020-10-11,41,False
2020-10-18,45,False
2020-10-25,43,False
2020-11-01,38,False
2020-11-08,43,False
2020-11-15,43,False
2020-11-22,40,False
2020-11-29,41,False
2020-12-06,47,False
2020-12-13,41,False
2020-12-20,48,False
2020-12-27,41,False
2021-01-03,41,False
2021-01-10,44,False
2021-01-17,46,False
2021-01-24,43,False
2021-01-31,46,False
2021-02-07,41,False
2021-02-14,45,False
2021-02-21,48,False
2021-02-28,49,False
2021-03-07,41,False
2021-03-14,41,False
2021-03-21,40,False
2021-03-28,39,False
2021-04-04,39,False
2021-04-11,40,False
2021-04-18,38,False
2021-04-25,39,False
2021-05-02,38,False
2021-05-09,41,False
2021-05-16,41,False
2021-05-23,39,False
2021-05-30,39,False
2021-06-06,43,False
2021-06-13,43,False
2021-06-20,42,False
2021-06-27,40,False
2021-07-04,43,False
2021-07-11,44,False
2021-07-18,48,False
2021-07-25,52,False
2021-08-01,43,False
2021-08-08,42,True
