date,FE,isPartial
2016-08-21,51,False
2016-08-28,51,False
2016-09-04,49,False
2016-09-11,47,False
2016-09-18,48,False
2016-09-25,49,False
2016-10-02,48,False
2016-10-09,48,False
2016-10-16,48,False
2016-10-23,47,False
2016-10-30,49,False
2016-11-06,46,False
2016-11-13,47,False
2016-11-20,46,False
2016-11-27,46,False
2016-12-04,47,False
2016-12-11,48,False
2016-12-18,49,False
2016-12-25,48,False
2017-01-01,49,False
2017-01-08,47,False
2017-01-15,48,False
2017-01-22,49,False
2017-01-29,54,False
2017-02-05,57,False
2017-02-12,56,False
2017-02-19,54,False
2017-02-26,53,False
2017-03-05,53,False
2017-03-12,55,False
2017-03-19,53,False
2017-03-26,55,False
2017-04-02,54,False
2017-04-09,51,False
2017-04-16,54,False
2017-04-23,53,False
2017-04-30,53,False
2017-05-07,53,False
2017-05-14,51,False
2017-05-21,51,False
2017-05-28,52,False
2017-06-04,51,False
2017-06-11,53,False
2017-06-18,53,False
2017-06-25,55,False
2017-07-02,56,False
2017-07-09,54,False
2017-07-16,52,False
2017-07-23,55,False
2017-07-30,57,False
2017-08-06,57,False
2017-08-13,56,False
2017-08-20,53,False
2017-08-27,53,False
2017-09-03,54,False
2017-09-10,51,False
2017-09-17,53,False
2017-09-24,53,False
2017-10-01,53,False
2017-10-08,54,False
2017-10-15,52,False
2017-10-22,53,False
2017-10-29,54,False
2017-11-05,52,False
2017-11-12,50,False
2017-11-19,51,False
2017-11-26,51,False
2017-12-03,52,False
2017-12-10,54,False
2017-12-17,54,False
2017-12-24,53,False
2017-12-31,52,False
2018-01-07,52,False
2018-01-14,53,False
2018-01-21,52,False
2018-01-28,55,False
2018-02-04,55,False
2018-02-11,53,False
2018-02-18,54,False
2018-02-25,56,False
2018-03-04,54,False
2018-03-11,55,False
2018-03-18,55,False
2018-03-25,51,False
2018-04-01,56,False
2018-04-08,55,False
2018-04-15,55,False
2018-04-22,58,False
2018-04-29,58,False
2018-05-06,57,False
2018-05-13,100,False
2018-05-20,68,False
2018-05-27,53,False
2018-06-03,53,False
2018-06-10,54,False
2018-06-17,49,False
2018-06-24,51,False
2018-07-01,53,False
2018-07-08,53,False
2018-07-15,55,False
2018-07-22,57,False
2018-07-29,54,False
2018-08-05,54,False
2018-08-12,55,False
2018-08-19,51,False
2018-08-26,55,False
2018-09-02,52,False
2018-09-09,52,False
2018-09-16,51,False
2018-09-23,55,False
2018-09-30,52,False
2018-10-07,53,False
2018-10-14,52,False
2018-10-21,51,False
2018-10-28,50,False
2018-11-04,54,False
2018-11-11,54,False
2018-11-18,50,False
2018-11-25,54,False
2018-12-02,48,False
2018-12-09,49,False
2018-12-16,50,False
2018-12-23,49,False
2018-12-30,52,False
2019-01-06,51,False
2019-01-13,54,False
2019-01-20,51,False
2019-01-27,52,False
2019-02-03,53,False
2019-02-10,53,False
2019-02-17,56,False
2019-02-24,54,False
2019-03-03,52,False
2019-03-10,55,False
2019-03-17,54,False
2019-03-24,55,False
2019-03-31,55,False
2019-04-07,53,False
2019-04-14,53,False
2019-04-21,58,False
2019-04-28,59,False
2019-05-05,54,False
2019-05-12,51,False
2019-05-19,52,False
2019-05-26,52,False
2019-06-02,52,False
2019-06-09,54,False
2019-06-16,56,False
2019-06-23,52,False
2019-06-30,53,False
2019-07-07,52,False
2019-07-14,54,False
2019-07-21,54,False
2019-07-28,59,False
2019-08-04,58,False
2019-08-11,57,False
2019-08-18,55,False
2019-08-25,54,False
2019-09-01,55,False
2019-09-08,54,False
2019-09-15,53,False
2019-09-22,53,False
2019-09-29,53,False
2019-10-06,57,False
2019-10-13,53,False
2019-10-20,54,False
2019-10-27,56,False
2019-11-03,56,False
2019-11-10,57,False
2019-11-17,53,False
2019-11-24,54,False
2019-12-01,50,False
2019-12-08,50,False
2019-12-15,52,False
2019-12-22,50,False
2019-12-29,50,False
2020-01-05,51,False
2020-01-12,54,False
2020-01-19,52,False
2020-01-26,51,False
2020-02-02,57,False
2020-02-09,56,False
2020-02-16,59,False
2020-02-23,53,False
2020-03-01,54,False
2020-03-08,55,False
2020-03-15,46,False
2020-03-22,45,False
2020-03-29,45,False
2020-04-05,45,False
2020-04-12,46,False
2020-04-19,46,False
2020-04-26,47,False
2020-05-03,50,False
2020-05-10,50,False
2020-05-17,50,False
2020-05-24,49,False
2020-05-31,55,False
2020-06-07,55,False
2020-06-14,52,False
2020-06-21,52,False
2020-06-28,54,False
2020-07-05,50,False
2020-07-12,54,False
2020-07-19,53,False
2020-07-26,53,False
2020-08-02,54,False
2020-08-09,51,False
2020-08-16,51,False
2020-08-23,53,False
2020-08-30,52,False
2020-09-06,53,False
2020-09-13,51,False
2020-09-20,58,False
2020-09-27,64,False
2020-10-04,61,False
2020-10-11,64,False
2020-10-18,64,False
2020-10-25,60,False
2020-11-01,56,False
2020-11-08,62,False
2020-11-15,64,False
2020-11-22,66,False
2020-11-29,63,False
2020-12-06,62,False
2020-12-13,63,False
2020-12-20,65,False
2020-12-27,73,False
2021-01-03,60,False
2021-01-10,60,False
2021-01-17,61,False
2021-01-24,61,False
2021-01-31,60,False
2021-02-07,59,False
2021-02-14,58,False
2021-02-21,62,False
2021-02-28,60,False
2021-03-07,63,False
2021-03-14,61,False
2021-03-21,64,False
2021-03-28,61,False
2021-04-04,65,False
2021-04-11,63,False
2021-04-18,66,False
2021-04-25,65,False
2021-05-02,68,False
2021-05-09,64,False
2021-05-16,72,False
2021-05-23,63,False
2021-05-30,69,False
2021-06-06,64,False
2021-06-13,63,False
2021-06-20,64,False
2021-06-27,66,False
2021-07-04,67,False
2021-07-11,69,False
2021-07-18,70,False
2021-07-25,69,False
2021-08-01,74,False
2021-08-08,74,True
