date,ETN,isPartial
2016-08-21,36,False
2016-08-28,37,False
2016-09-04,34,False
2016-09-11,39,False
2016-09-18,38,False
2016-09-25,42,False
2016-10-02,34,False
2016-10-09,39,False
2016-10-16,39,False
2016-10-23,43,False
2016-10-30,40,False
2016-11-06,31,False
2016-11-13,43,False
2016-11-20,37,False
2016-11-27,34,False
2016-12-04,39,False
2016-12-11,41,False
2016-12-18,52,False
2016-12-25,47,False
2017-01-01,35,False
2017-01-08,34,False
2017-01-15,34,False
2017-01-22,32,False
2017-01-29,38,False
2017-02-05,33,False
2017-02-12,34,False
2017-02-19,38,False
2017-02-26,45,False
2017-03-05,35,False
2017-03-12,44,False
2017-03-19,37,False
2017-03-26,35,False
2017-04-02,47,False
2017-04-09,46,False
2017-04-16,43,False
2017-04-23,42,False
2017-04-30,41,False
2017-05-07,35,False
2017-05-14,39,False
2017-05-21,42,False
2017-05-28,41,False
2017-06-04,35,False
2017-06-11,39,False
2017-06-18,41,False
2017-06-25,42,False
2017-07-02,39,False
2017-07-09,47,False
2017-07-16,46,False
2017-07-23,51,False
2017-07-30,46,False
2017-08-06,39,False
2017-08-13,40,False
2017-08-20,40,False
2017-08-27,32,False
2017-09-03,37,False
2017-09-10,39,False
2017-09-17,38,False
2017-09-24,36,False
2017-10-01,41,False
2017-10-08,37,False
2017-10-15,40,False
2017-10-22,38,False
2017-10-29,56,False
2017-11-05,44,False
2017-11-12,53,False
2017-11-19,44,False
2017-11-26,55,False
2017-12-03,75,False
2017-12-10,85,False
2017-12-17,100,False
2017-12-24,76,False
2017-12-31,80,False
2018-01-07,85,False
2018-01-14,69,False
2018-01-21,56,False
2018-01-28,55,False
2018-02-04,64,False
2018-02-11,51,False
2018-02-18,49,False
2018-02-25,54,False
2018-03-04,59,False
2018-03-11,59,False
2018-03-18,55,False
2018-03-25,49,False
2018-04-01,41,False
2018-04-08,43,False
2018-04-15,44,False
2018-04-22,50,False
2018-04-29,47,False
2018-05-06,45,False
2018-05-13,39,False
2018-05-20,42,False
2018-05-27,50,False
2018-06-03,38,False
2018-06-10,43,False
2018-06-17,37,False
2018-06-24,40,False
2018-07-01,48,False
2018-07-08,53,False
2018-07-15,51,False
2018-07-22,50,False
2018-07-29,47,False
2018-08-05,48,False
2018-08-12,39,False
2018-08-19,37,False
2018-08-26,38,False
2018-09-02,40,False
2018-09-09,40,False
2018-09-16,39,False
2018-09-23,51,False
2018-09-30,44,False
2018-10-07,39,False
2018-10-14,42,False
2018-10-21,42,False
2018-10-28,48,False
2018-11-04,44,False
2018-11-11,40,False
2018-11-18,36,False
2018-11-25,41,False
2018-12-02,38,False
2018-12-09,43,False
2018-12-16,54,False
2018-12-23,42,False
2018-12-30,44,False
2019-01-06,37,False
2019-01-13,37,False
2019-01-20,35,False
2019-01-27,38,False
2019-02-03,32,False
2019-02-10,30,False
2019-02-17,34,False
2019-02-24,34,False
2019-03-03,30,False
2019-03-10,41,False
2019-03-17,36,False
2019-03-24,32,False
2019-03-31,42,False
2019-04-07,40,False
2019-04-14,42,False
2019-04-21,43,False
2019-04-28,35,False
2019-05-05,35,False
2019-05-12,39,False
2019-05-19,32,False
2019-05-26,37,False
2019-06-02,34,False
2019-06-09,38,False
2019-06-16,40,False
2019-06-23,45,False
2019-06-30,45,False
2019-07-07,46,False
2019-07-14,41,False
2019-07-21,39,False
2019-07-28,44,False
2019-08-04,41,False
2019-08-11,43,False
2019-08-18,39,False
2019-08-25,32,False
2019-09-01,37,False
2019-09-08,44,False
2019-09-15,41,False
2019-09-22,40,False
2019-09-29,35,False
2019-10-06,33,False
2019-10-13,37,False
2019-10-20,38,False
2019-10-27,38,False
2019-11-03,42,False
2019-11-10,45,False
2019-11-17,41,False
2019-11-24,39,False
2019-12-01,39,False
2019-12-08,41,False
2019-12-15,47,False
2019-12-22,45,False
2019-12-29,40,False
2020-01-05,34,False
2020-01-12,34,False
2020-01-19,33,False
2020-01-26,35,False
2020-02-02,32,False
2020-02-09,33,False
2020-02-16,35,False
2020-02-23,34,False
2020-03-01,33,False
2020-03-08,42,False
2020-03-15,36,False
2020-03-22,28,False
2020-03-29,28,False
2020-04-05,21,False
2020-04-12,19,False
2020-04-19,32,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,24,False
2020-05-17,25,False
2020-05-24,24,False
2020-05-31,22,False
2020-06-07,18,False
2020-06-14,18,False
2020-06-21,21,False
2020-06-28,23,False
2020-07-05,21,False
2020-07-12,21,False
2020-07-19,19,False
2020-07-26,20,False
2020-08-02,22,False
2020-08-09,25,False
2020-08-16,23,False
2020-08-23,21,False
2020-08-30,22,False
2020-09-06,25,False
2020-09-13,21,False
2020-09-20,24,False
2020-09-27,20,False
2020-10-04,27,False
2020-10-11,22,False
2020-10-18,23,False
2020-10-25,25,False
2020-11-01,19,False
2020-11-08,23,False
2020-11-15,25,False
2020-11-22,24,False
2020-11-29,23,False
2020-12-06,28,False
2020-12-13,32,False
2020-12-20,28,False
2020-12-27,26,False
2021-01-03,28,False
2021-01-10,23,False
2021-01-17,24,False
2021-01-24,21,False
2021-01-31,26,False
2021-02-07,30,False
2021-02-14,30,False
2021-02-21,24,False
2021-02-28,27,False
2021-03-07,30,False
2021-03-14,27,False
2021-03-21,34,False
2021-03-28,34,False
2021-04-04,31,False
