date,ILMN,isPartial
2016-08-21,32,False
2016-08-28,20,False
2016-09-04,18,False
2016-09-11,20,False
2016-09-18,15,False
2016-09-25,15,False
2016-10-02,15,False
2016-10-09,98,False
2016-10-16,32,False
2016-10-23,42,False
2016-10-30,25,False
2016-11-06,41,False
2016-11-13,29,False
2016-11-20,19,False
2016-11-27,28,False
2016-12-04,25,False
2016-12-11,21,False
2016-12-18,33,False
2016-12-25,18,False
2017-01-01,41,False
2017-01-08,83,False
2017-01-15,32,False
2017-01-22,39,False
2017-01-29,36,False
2017-02-05,24,False
2017-02-12,24,False
2017-02-19,25,False
2017-02-26,24,False
2017-03-05,22,False
2017-03-12,33,False
2017-03-19,20,False
2017-03-26,27,False
2017-04-02,20,False
2017-04-09,21,False
2017-04-16,18,False
2017-04-23,38,False
2017-04-30,21,False
2017-05-07,9,False
2017-05-14,26,False
2017-05-21,17,False
2017-05-28,5,False
2017-06-04,14,False
2017-06-11,19,False
2017-06-18,14,False
2017-06-25,22,False
2017-07-02,12,False
2017-07-09,5,False
2017-07-16,25,False
2017-07-23,12,False
2017-07-30,73,False
2017-08-06,28,False
2017-08-13,9,False
2017-08-20,21,False
2017-08-27,46,False
2017-09-03,14,False
2017-09-10,32,False
2017-09-17,16,False
2017-09-24,9,False
2017-10-01,14,False
2017-10-08,18,False
2017-10-15,20,False
2017-10-22,42,False
2017-10-29,18,False
2017-11-05,26,False
2017-11-12,13,False
2017-11-19,15,False
2017-11-26,30,False
2017-12-03,35,False
2017-12-10,11,False
2017-12-17,21,False
2017-12-24,15,False
2017-12-31,16,False
2018-01-07,60,False
2018-01-14,15,False
2018-01-21,17,False
2018-01-28,32,False
2018-02-04,28,False
2018-02-11,23,False
2018-02-18,17,False
2018-02-25,21,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,13,False
2018-03-25,20,False
2018-04-01,6,False
2018-04-08,11,False
2018-04-15,23,False
2018-04-22,41,False
2018-04-29,26,False
2018-05-06,34,False
2018-05-13,30,False
2018-05-20,19,False
2018-05-27,11,False
2018-06-03,9,False
2018-06-10,17,False
2018-06-17,15,False
2018-06-24,6,False
2018-07-01,19,False
2018-07-08,21,False
2018-07-15,31,False
2018-07-22,24,False
2018-07-29,85,False
2018-08-05,42,False
2018-08-12,13,False
2018-08-19,30,False
2018-08-26,30,False
2018-09-02,23,False
2018-09-09,27,False
2018-09-16,14,False
2018-09-23,25,False
2018-09-30,39,False
2018-10-07,52,False
2018-10-14,25,False
2018-10-21,65,False
2018-10-28,34,False
2018-11-04,37,False
2018-11-11,31,False
2018-11-18,27,False
2018-11-25,39,False
2018-12-02,13,False
2018-12-09,23,False
2018-12-16,30,False
2018-12-23,21,False
2018-12-30,16,False
2019-01-06,38,False
2019-01-13,31,False
2019-01-20,22,False
2019-01-27,33,False
2019-02-03,18,False
2019-02-10,20,False
2019-02-17,22,False
2019-02-24,30,False
2019-03-03,27,False
2019-03-10,33,False
2019-03-17,19,False
2019-03-24,12,False
2019-03-31,21,False
2019-04-07,23,False
2019-04-14,34,False
2019-04-21,32,False
2019-04-28,15,False
2019-05-05,19,False
2019-05-12,21,False
2019-05-19,14,False
2019-05-26,8,False
2019-06-02,26,False
2019-06-09,40,False
2019-06-16,27,False
2019-06-23,22,False
2019-06-30,29,False
2019-07-07,81,False
2019-07-14,63,False
