date,CVX,isPartial
2016-08-21,34,False
2016-08-28,30,False
2016-09-04,30,False
2016-09-11,28,False
2016-09-18,35,False
2016-09-25,36,False
2016-10-02,29,False
2016-10-09,33,False
2016-10-16,25,False
2016-10-23,35,False
2016-10-30,30,False
2016-11-06,37,False
2016-11-13,40,False
2016-11-20,34,False
2016-11-27,40,False
2016-12-04,42,False
2016-12-11,51,False
2016-12-18,37,False
2016-12-25,39,False
2017-01-01,33,False
2017-01-08,33,False
2017-01-15,30,False
2017-01-22,43,False
2017-01-29,35,False
2017-02-05,30,False
2017-02-12,39,False
2017-02-19,35,False
2017-02-26,38,False
2017-03-05,28,False
2017-03-12,32,False
2017-03-19,31,False
2017-03-26,32,False
2017-04-02,28,False
2017-04-09,29,False
2017-04-16,36,False
2017-04-23,24,False
2017-04-30,26,False
2017-05-07,32,False
2017-05-14,28,False
2017-05-21,34,False
2017-05-28,37,False
2017-06-04,26,False
2017-06-11,26,False
2017-06-18,34,False
2017-06-25,31,False
2017-07-02,26,False
2017-07-09,31,False
2017-07-16,27,False
2017-07-23,42,False
2017-07-30,49,False
2017-08-06,35,False
2017-08-13,36,False
2017-08-20,31,False
2017-08-27,34,False
2017-09-03,24,False
2017-09-10,31,False
2017-09-17,37,False
2017-09-24,31,False
2017-10-01,29,False
2017-10-08,31,False
2017-10-15,40,False
2017-10-22,36,False
2017-10-29,32,False
2017-11-05,37,False
2017-11-12,29,False
2017-11-19,26,False
2017-11-26,32,False
2017-12-03,32,False
2017-12-10,29,False
2017-12-17,26,False
2017-12-24,27,False
2017-12-31,38,False
2018-01-07,38,False
2018-01-14,34,False
2018-01-21,33,False
2018-01-28,37,False
2018-02-04,49,False
2018-02-11,43,False
2018-02-18,25,False
2018-02-25,28,False
2018-03-04,27,False
2018-03-11,31,False
2018-03-18,36,False
2018-03-25,32,False
2018-04-01,36,False
2018-04-08,39,False
2018-04-15,39,False
2018-04-22,44,False
2018-04-29,37,False
2018-05-06,46,False
2018-05-13,29,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,37,False
2018-06-10,33,False
2018-06-17,30,False
2018-06-24,32,False
2018-07-01,26,False
2018-07-08,35,False
2018-07-15,34,False
2018-07-22,36,False
2018-07-29,30,False
2018-08-05,25,False
2018-08-12,33,False
2018-08-19,31,False
2018-08-26,31,False
2018-09-02,29,False
2018-09-09,37,False
2018-09-16,33,False
2018-09-23,42,False
2018-09-30,41,False
2018-10-07,38,False
2018-10-14,40,False
2018-10-21,32,False
2018-10-28,43,False
2018-11-04,36,False
2018-11-11,36,False
2018-11-18,27,False
2018-11-25,35,False
2018-12-02,36,False
2018-12-09,32,False
2018-12-16,38,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,34,False
2019-01-13,35,False
2019-01-20,32,False
2019-01-27,40,False
2019-02-03,36,False
2019-02-10,34,False
2019-02-17,23,False
2019-02-24,34,False
2019-03-03,38,False
2019-03-10,38,False
2019-03-17,30,False
2019-03-24,29,False
2019-03-31,34,False
2019-04-07,48,False
2019-04-14,41,False
2019-04-21,37,False
2019-04-28,39,False
2019-05-05,30,False
2019-05-12,35,False
2019-05-19,31,False
2019-05-26,25,False
2019-06-02,34,False
2019-06-09,33,False
2019-06-16,27,False
2019-06-23,31,False
2019-06-30,23,False
2019-07-07,31,False
2019-07-14,29,False
2019-07-21,27,False
2019-07-28,29,False
2019-08-04,29,False
2019-08-11,29,False
2019-08-18,42,False
2019-08-25,26,False
2019-09-01,26,False
2019-09-08,26,False
2019-09-15,41,False
2019-09-22,28,False
2019-09-29,32,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,24,False
2019-10-27,40,False
2019-11-03,39,False
2019-11-10,26,False
2019-11-17,32,False
2019-11-24,22,False
2019-12-01,32,False
