date,KSU,isPartial
2016-08-21,65,False
2016-08-28,66,False
2016-09-04,52,False
2016-09-11,57,False
2016-09-18,66,False
2016-09-25,66,False
2016-10-02,61,False
2016-10-09,63,False
2016-10-16,66,False
2016-10-23,56,False
2016-10-30,64,False
2016-11-06,55,False
2016-11-13,47,False
2016-11-20,57,False
2016-11-27,80,False
2016-12-04,78,False
2016-12-11,65,False
2016-12-18,43,False
2016-12-25,55,False
2017-01-01,87,False
2017-01-08,100,False
2017-01-15,74,False
2017-01-22,60,False
2017-01-29,62,False
2017-02-05,65,False
2017-02-12,54,False
2017-02-19,51,False
2017-02-26,53,False
2017-03-05,59,False
2017-03-12,65,False
2017-03-19,51,False
2017-03-26,49,False
2017-04-02,42,False
2017-04-09,59,False
2017-04-16,54,False
2017-04-23,60,False
2017-04-30,59,False
2017-05-07,50,False
2017-05-14,34,False
2017-05-21,32,False
2017-05-28,41,False
2017-06-04,54,False
2017-06-11,58,False
2017-06-18,43,False
2017-06-25,31,False
2017-07-02,32,False
2017-07-09,33,False
2017-07-16,32,False
2017-07-23,33,False
2017-07-30,35,False
2017-08-06,40,False
2017-08-13,61,False
2017-08-20,55,False
2017-08-27,51,False
2017-09-03,58,False
2017-09-10,53,False
2017-09-17,61,False
2017-09-24,63,False
2017-10-01,63,False
2017-10-08,71,False
2017-10-15,60,False
2017-10-22,53,False
2017-10-29,63,False
2017-11-05,65,False
2017-11-12,64,False
2017-11-19,49,False
2017-11-26,54,False
2017-12-03,54,False
2017-12-10,55,False
2017-12-17,36,False
2017-12-24,41,False
2017-12-31,52,False
2018-01-07,75,False
2018-01-14,57,False
2018-01-21,62,False
2018-01-28,56,False
2018-02-04,52,False
2018-02-11,47,False
2018-02-18,52,False
2018-02-25,44,False
2018-03-04,48,False
2018-03-11,52,False
2018-03-18,76,False
2018-03-25,46,False
2018-04-01,42,False
2018-04-08,55,False
2018-04-15,47,False
2018-04-22,44,False
2018-04-29,50,False
2018-05-06,47,False
2018-05-13,33,False
2018-05-20,34,False
2018-05-27,49,False
2018-06-03,44,False
2018-06-10,33,False
2018-06-17,32,False
2018-06-24,29,False
2018-07-01,31,False
2018-07-08,27,False
2018-07-15,29,False
2018-07-22,32,False
2018-07-29,33,False
2018-08-05,37,False
2018-08-12,61,False
2018-08-19,57,False
2018-08-26,64,False
2018-09-02,64,False
2018-09-09,58,False
2018-09-16,59,False
2018-09-23,50,False
2018-09-30,55,False
2018-10-07,52,False
2018-10-14,51,False
2018-10-21,48,False
2018-10-28,53,False
2018-11-04,58,False
2018-11-11,54,False
2018-11-18,44,False
2018-11-25,61,False
2018-12-02,54,False
2018-12-09,49,False
2018-12-16,34,False
2018-12-23,29,False
2018-12-30,37,False
2019-01-06,64,False
2019-01-13,57,False
2019-01-20,50,False
2019-01-27,51,False
2019-02-03,53,False
2019-02-10,52,False
2019-02-17,51,False
2019-02-24,53,False
2019-03-03,54,False
2019-03-10,54,False
2019-03-17,56,False
2019-03-24,43,False
2019-03-31,36,False
2019-04-07,43,False
2019-04-14,43,False
2019-04-21,47,False
2019-04-28,43,False
2019-05-05,39,False
2019-05-12,30,False
2019-05-19,28,False
2019-05-26,38,False
2019-06-02,35,False
2019-06-09,39,False
2019-06-16,29,False
2019-06-23,30,False
2019-06-30,33,False
2019-07-07,28,False
2019-07-14,36,False
2019-07-21,37,False
2019-07-28,29,False
2019-08-04,32,False
2019-08-11,36,False
2019-08-18,65,False
2019-08-25,67,False
2019-09-01,63,False
2019-09-08,63,False
2019-09-15,60,False
2019-09-22,59,False
2019-09-29,69,False
2019-10-06,59,False
2019-10-13,49,False
2019-10-20,57,False
2019-10-27,59,False
2019-11-03,63,False
2019-11-10,64,False
2019-11-17,59,False
2019-11-24,45,False
2019-12-01,61,False
2019-12-08,53,False
2019-12-15,45,False
2019-12-22,34,False
2019-12-29,46,False
2020-01-05,60,False
2020-01-12,67,False
2020-01-19,71,False
2020-01-26,52,False
2020-02-02,47,False
2020-02-09,48,False
2020-02-16,44,False
2020-02-23,50,False
2020-03-01,46,False
2020-03-08,49,False
2020-03-15,48,False
2020-03-22,43,False
2020-03-29,39,False
2020-04-05,40,False
2020-04-12,40,False
2020-04-19,44,False
2020-04-26,45,False
2020-05-03,45,False
2020-05-10,40,False
2020-05-17,30,False
2020-05-24,37,False
2020-05-31,34,False
2020-06-07,35,False
2020-06-14,34,False
2020-06-21,31,False
2020-06-28,29,False
2020-07-05,29,False
2020-07-12,33,False
2020-07-19,28,False
2020-07-26,29,False
2020-08-02,31,False
2020-08-09,41,False
2020-08-16,58,False
2020-08-23,53,False
2020-08-30,59,False
2020-09-06,70,False
2020-09-13,57,False
2020-09-20,59,False
2020-09-27,57,False
2020-10-04,56,False
2020-10-11,56,False
2020-10-18,56,False
2020-10-25,52,False
2020-11-01,46,False
2020-11-08,50,False
2020-11-15,50,False
2020-11-22,45,False
2020-11-29,54,False
2020-12-06,54,False
2020-12-13,48,False
2020-12-20,36,False
2020-12-27,32,False
2021-01-03,34,False
2021-01-10,59,False
2021-01-17,58,False
2021-01-24,61,False
2021-01-31,51,False
2021-02-07,49,False
2021-02-14,45,False
2021-02-21,53,False
2021-02-28,46,False
2021-03-07,39,False
2021-03-14,44,False
2021-03-21,49,False
2021-03-28,48,False
2021-04-04,42,False
2021-04-11,52,False
2021-04-18,55,False
2021-04-25,50,False
2021-05-02,52,False
2021-05-09,36,False
2021-05-16,30,False
2021-05-23,28,False
2021-05-30,32,False
2021-06-06,39,False
2021-06-13,44,False
2021-06-20,37,False
2021-06-27,36,False
2021-07-04,33,False
2021-07-11,29,False
2021-07-18,27,False
2021-07-25,33,False
2021-08-01,27,False
2021-08-08,34,True
