date,BXP,isPartial
2016-08-21,17,False
2016-08-28,57,False
2016-09-04,49,False
2016-09-11,49,False
2016-09-18,56,False
2016-09-25,79,False
2016-10-02,31,False
2016-10-09,32,False
2016-10-16,47,False
2016-10-23,55,False
2016-10-30,40,False
2016-11-06,31,False
2016-11-13,39,False
2016-11-20,46,False
2016-11-27,52,False
2016-12-04,96,False
2016-12-11,31,False
2016-12-18,73,False
2016-12-25,90,False
2017-01-01,31,False
2017-01-08,44,False
2017-01-15,29,False
2017-01-22,15,False
2017-01-29,50,False
2017-02-05,72,False
2017-02-12,57,False
2017-02-19,66,False
2017-02-26,78,False
2017-03-05,63,False
2017-03-12,42,False
2017-03-19,50,False
2017-03-26,65,False
2017-04-02,22,False
2017-04-09,67,False
2017-04-16,51,False
2017-04-23,58,False
2017-04-30,59,False
2017-05-07,51,False
2017-05-14,45,False
2017-05-21,63,False
2017-05-28,47,False
2017-06-04,46,False
2017-06-11,70,False
2017-06-18,52,False
2017-06-25,39,False
2017-07-02,56,False
2017-07-09,23,False
2017-07-16,71,False
2017-07-23,70,False
2017-07-30,23,False
2017-08-06,59,False
2017-08-13,60,False
2017-08-20,15,False
2017-08-27,37,False
2017-09-03,22,False
2017-09-10,29,False
2017-09-17,58,False
2017-09-24,58,False
2017-10-01,44,False
2017-10-08,65,False
2017-10-15,29,False
2017-10-22,64,False
2017-10-29,58,False
2017-11-05,56,False
2017-11-12,63,False
2017-11-19,57,False
2017-11-26,21,False
2017-12-03,57,False
2017-12-10,28,False
2017-12-17,59,False
2017-12-24,32,False
2017-12-31,30,False
2018-01-07,69,False
2018-01-14,62,False
2018-01-21,47,False
2018-01-28,41,False
2018-02-04,62,False
2018-02-11,48,False
2018-02-18,48,False
2018-02-25,46,False
2018-03-04,34,False
2018-03-11,33,False
2018-03-18,41,False
2018-03-25,63,False
2018-04-01,41,False
2018-04-08,55,False
2018-04-15,41,False
2018-04-22,83,False
2018-04-29,62,False
2018-05-06,62,False
2018-05-13,21,False
2018-05-20,42,False
2018-05-27,42,False
2018-06-03,82,False
2018-06-10,33,False
2018-06-17,41,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,47,False
2018-07-15,56,False
2018-07-22,21,False
2018-07-29,55,False
2018-08-05,41,False
2018-08-12,34,False
2018-08-19,42,False
2018-08-26,41,False
2018-09-02,40,False
2018-09-09,53,False
2018-09-16,40,False
2018-09-23,47,False
2018-09-30,46,False
2018-10-07,54,False
2018-10-14,48,False
2018-10-21,20,False
2018-10-28,61,False
2018-11-04,26,False
2018-11-11,34,False
2018-11-18,47,False
2018-11-25,46,False
2018-12-02,34,False
2018-12-09,34,False
2018-12-16,28,False
2018-12-23,53,False
2018-12-30,37,False
2019-01-06,27,False
2019-01-13,40,False
2019-01-20,65,False
2019-01-27,59,False
2019-02-03,59,False
2019-02-10,85,False
2019-02-17,52,False
2019-02-24,71,False
2019-03-03,33,False
2019-03-10,53,False
2019-03-17,27,False
2019-03-24,26,False
2019-03-31,33,False
2019-04-07,59,False
2019-04-14,69,False
2019-04-21,47,False
2019-04-28,60,False
2019-05-05,40,False
2019-05-12,40,False
2019-05-19,26,False
2019-05-26,46,False
2019-06-02,33,False
2019-06-09,45,False
2019-06-16,59,False
2019-06-23,33,False
2019-06-30,33,False
2019-07-07,65,False
2019-07-14,34,False
2019-07-21,89,False
2019-07-28,27,False
2019-08-04,67,False
2019-08-11,40,False
2019-08-18,65,False
2019-08-25,19,False
2019-09-01,26,False
2019-09-08,31,False
2019-09-15,32,False
2019-09-22,75,False
2019-09-29,13,False
2019-10-06,56,False
2019-10-13,37,False
2019-10-20,36,False
2019-10-27,69,False
2019-11-03,43,False
2019-11-10,49,False
2019-11-17,68,False
2019-11-24,54,False
2019-12-01,37,False
2019-12-08,38,False
2019-12-15,50,False
2019-12-22,41,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,52,False
2020-01-19,77,False
2020-01-26,53,False
2020-02-02,65,False
2020-02-09,17,False
2020-02-16,23,False
2020-02-23,51,False
2020-03-01,34,False
2020-03-08,61,False
2020-03-15,54,False
2020-03-22,64,False
2020-03-29,32,False
2020-04-05,22,False
2020-04-12,53,False
2020-04-19,47,False
2020-04-26,73,False
2020-05-03,53,False
2020-05-10,92,False
2020-05-17,75,False
2020-05-24,49,False
2020-05-31,74,False
2020-06-07,86,False
2020-06-14,65,False
2020-06-21,55,False
2020-06-28,73,False
2020-07-05,69,False
2020-07-12,81,False
2020-07-19,35,False
2020-07-26,83,False
2020-08-02,52,False
2020-08-09,40,False
2020-08-16,51,False
2020-08-23,79,False
2020-08-30,66,False
2020-09-06,33,False
2020-09-13,44,False
2020-09-20,61,False
2020-09-27,45,False
2020-10-04,51,False
2020-10-11,72,False
2020-10-18,48,False
2020-10-25,83,False
2020-11-01,45,False
2020-11-08,100,False
2020-11-15,29,False
2020-11-22,53,False
2020-11-29,40,False
2020-12-06,47,False
2020-12-13,53,False
2020-12-20,45,False
2020-12-27,44,False
2021-01-03,52,False
2021-01-10,59,False
2021-01-17,82,False
2021-01-24,82,False
2021-01-31,18,False
2021-02-07,69,False
2021-02-14,41,False
2021-02-21,57,False
2021-02-28,58,False
2021-03-07,35,False
2021-03-14,66,False
2021-03-21,41,False
2021-03-28,24,False
2021-04-04,71,False
2021-04-11,70,False
2021-04-18,53,False
2021-04-25,40,False
2021-05-02,47,False
2021-05-09,48,False
2021-05-16,47,False
2021-05-23,54,False
2021-05-30,24,False
2021-06-06,47,False
2021-06-13,30,False
2021-06-20,42,False
2021-06-27,42,False
2021-07-04,18,False
2021-07-11,61,False
2021-07-18,69,False
2021-07-25,67,False
2021-08-01,18,False
2021-08-08,64,True
