date,AEE,isPartial
2016-08-21,76,False
2016-08-28,69,False
2016-09-04,76,False
2016-09-11,64,False
2016-09-18,85,False
2016-09-25,58,False
2016-10-02,54,False
2016-10-09,51,False
2016-10-16,62,False
2016-10-23,74,False
2016-10-30,78,False
2016-11-06,81,False
2016-11-13,59,False
2016-11-20,67,False
2016-11-27,100,False
2016-12-04,65,False
2016-12-11,60,False
2016-12-18,74,False
2016-12-25,70,False
2017-01-01,62,False
2017-01-08,57,False
2017-01-15,60,False
2017-01-22,58,False
2017-01-29,53,False
2017-02-05,53,False
2017-02-12,57,False
2017-02-19,53,False
2017-02-26,47,False
2017-03-05,61,False
2017-03-12,60,False
2017-03-19,55,False
2017-03-26,58,False
2017-04-02,52,False
2017-04-09,48,False
2017-04-16,53,False
2017-04-23,44,False
2017-04-30,47,False
2017-05-07,57,False
2017-05-14,48,False
2017-05-21,47,False
2017-05-28,50,False
2017-06-04,64,False
2017-06-11,61,False
2017-06-18,60,False
2017-06-25,63,False
2017-07-02,56,False
2017-07-09,53,False
2017-07-16,48,False
2017-07-23,65,False
2017-07-30,59,False
2017-08-06,55,False
2017-08-13,57,False
2017-08-20,80,False
2017-08-27,67,False
2017-09-03,71,False
2017-09-10,74,False
2017-09-17,45,False
2017-09-24,41,False
2017-10-01,50,False
2017-10-08,53,False
2017-10-15,54,False
2017-10-22,53,False
2017-10-29,53,False
2017-11-05,48,False
2017-11-12,61,False
2017-11-19,57,False
2017-11-26,57,False
2017-12-03,59,False
2017-12-10,58,False
2017-12-17,53,False
2017-12-24,48,False
2017-12-31,49,False
2018-01-07,61,False
2018-01-14,45,False
2018-01-21,57,False
2018-01-28,61,False
2018-02-04,48,False
2018-02-11,50,False
2018-02-18,57,False
2018-02-25,49,False
2018-03-04,49,False
2018-03-11,55,False
2018-03-18,54,False
2018-03-25,53,False
2018-04-01,57,False
2018-04-08,56,False
2018-04-15,59,False
2018-04-22,55,False
2018-04-29,47,False
2018-05-06,51,False
2018-05-13,58,False
2018-05-20,53,False
2018-05-27,50,False
2018-06-03,45,False
2018-06-10,51,False
2018-06-17,43,False
2018-06-24,46,False
2018-07-01,44,False
2018-07-08,45,False
2018-07-15,46,False
2018-07-22,41,False
2018-07-29,43,False
2018-08-05,49,False
2018-08-12,51,False
2018-08-19,42,False
2018-08-26,48,False
2018-09-02,48,False
2018-09-09,47,False
2018-09-16,44,False
2018-09-23,54,False
2018-09-30,48,False
2018-10-07,45,False
2018-10-14,53,False
2018-10-21,45,False
2018-10-28,46,False
2018-11-04,41,False
2018-11-11,44,False
2018-11-18,48,False
2018-11-25,64,False
2018-12-02,66,False
2018-12-09,52,False
2018-12-16,50,False
2018-12-23,57,False
2018-12-30,47,False
2019-01-06,50,False
2019-01-13,47,False
2019-01-20,55,False
2019-01-27,46,False
2019-02-03,62,False
2019-02-10,65,False
2019-02-17,68,False
2019-02-24,50,False
2019-03-03,49,False
2019-03-10,44,False
2019-03-17,54,False
2019-03-24,46,False
2019-03-31,51,False
2019-04-07,57,False
2019-04-14,50,False
2019-04-21,46,False
2019-04-28,48,False
2019-05-05,48,False
2019-05-12,44,False
2019-05-19,54,False
2019-05-26,58,False
2019-06-02,60,False
2019-06-09,47,False
2019-06-16,47,False
2019-06-23,52,False
2019-06-30,56,False
2019-07-07,47,False
2019-07-14,45,False
2019-07-21,44,False
2019-07-28,43,False
2019-08-04,51,False
2019-08-11,51,False
2019-08-18,61,False
2019-08-25,45,False
2019-09-01,59,False
2019-09-08,50,False
2019-09-15,49,False
2019-09-22,52,False
2019-09-29,46,False
2019-10-06,46,False
2019-10-13,48,False
2019-10-20,46,False
2019-10-27,40,False
2019-11-03,50,False
2019-11-10,56,False
2019-11-17,48,False
2019-11-24,41,False
2019-12-01,53,False
2019-12-08,54,False
2019-12-15,43,False
2019-12-22,44,False
2019-12-29,48,False
2020-01-05,72,False
2020-01-12,42,False
2020-01-19,42,False
2020-01-26,40,False
2020-02-02,49,False
2020-02-09,46,False
2020-02-16,45,False
2020-02-23,38,False
2020-03-01,56,False
2020-03-08,55,False
2020-03-15,47,False
2020-03-22,46,False
2020-03-29,47,False
2020-04-05,51,False
2020-04-12,47,False
2020-04-19,46,False
2020-04-26,42,False
2020-05-03,37,False
2020-05-10,43,False
2020-05-17,45,False
2020-05-24,50,False
2020-05-31,57,False
2020-06-07,47,False
2020-06-14,46,False
2020-06-21,51,False
2020-06-28,54,False
2020-07-05,55,False
2020-07-12,51,False
2020-07-19,49,False
2020-07-26,73,False
2020-08-02,61,False
2020-08-09,59,False
2020-08-16,53,False
2020-08-23,54,False
2020-08-30,48,False
2020-09-06,50,False
2020-09-13,49,False
2020-09-20,46,False
2020-09-27,59,False
2020-10-04,44,False
2020-10-11,38,False
2020-10-18,42,False
2020-10-25,40,False
2020-11-01,51,False
2020-11-08,45,False
2020-11-15,46,False
2020-11-22,51,False
2020-11-29,52,False
2020-12-06,52,False
2020-12-13,46,False
2020-12-20,45,False
2020-12-27,46,False
2021-01-03,52,False
2021-01-10,51,False
2021-01-17,46,False
2021-01-24,49,False
2021-01-31,46,False
2021-02-07,53,False
2021-02-14,51,False
2021-02-21,50,False
2021-02-28,48,False
2021-03-07,57,False
2021-03-14,48,False
2021-03-21,49,False
2021-03-28,45,False
2021-04-04,51,False
2021-04-11,56,False
2021-04-18,53,False
2021-04-25,52,False
2021-05-02,46,False
2021-05-09,52,False
2021-05-16,54,False
2021-05-23,63,False
2021-05-30,80,False
2021-06-06,53,False
2021-06-13,48,False
2021-06-20,46,False
2021-06-27,44,False
2021-07-04,42,False
2021-07-11,44,False
2021-07-18,37,False
2021-07-25,41,False
2021-08-01,38,False
2021-08-08,46,True
