date,TSN,isPartial
2016-08-21,42,False
2016-08-28,43,False
2016-09-04,42,False
2016-09-11,48,False
2016-09-18,55,False
2016-09-25,55,False
2016-10-02,62,False
2016-10-09,64,False
2016-10-16,61,False
2016-10-23,52,False
2016-10-30,54,False
2016-11-06,46,False
2016-11-13,50,False
2016-11-20,49,False
2016-11-27,51,False
2016-12-04,45,False
2016-12-11,48,False
2016-12-18,47,False
2016-12-25,60,False
2017-01-01,73,False
2017-01-08,42,False
2017-01-15,50,False
2017-01-22,50,False
2017-01-29,42,False
2017-02-05,48,False
2017-02-12,51,False
2017-02-19,55,False
2017-02-26,100,False
2017-03-05,57,False
2017-03-12,56,False
2017-03-19,57,False
2017-03-26,52,False
2017-04-02,63,False
2017-04-09,67,False
2017-04-16,68,False
2017-04-23,55,False
2017-04-30,56,False
2017-05-07,51,False
2017-05-14,46,False
2017-05-21,45,False
2017-05-28,39,False
2017-06-04,42,False
2017-06-11,51,False
2017-06-18,74,False
2017-06-25,62,False
2017-07-02,57,False
2017-07-09,43,False
2017-07-16,39,False
2017-07-23,41,False
2017-07-30,39,False
2017-08-06,39,False
2017-08-13,41,False
2017-08-20,38,False
2017-08-27,43,False
2017-09-03,43,False
2017-09-10,43,False
2017-09-17,46,False
2017-09-24,49,False
2017-10-01,56,False
2017-10-08,56,False
2017-10-15,59,False
2017-10-22,57,False
2017-10-29,54,False
2017-11-05,54,False
2017-11-12,48,False
2017-11-19,57,False
2017-11-26,55,False
2017-12-03,58,False
2017-12-10,51,False
2017-12-17,48,False
2017-12-24,63,False
2017-12-31,76,False
2018-01-07,50,False
2018-01-14,46,False
2018-01-21,51,False
2018-01-28,52,False
2018-02-04,52,False
2018-02-11,66,False
2018-02-18,75,False
2018-02-25,82,False
2018-03-04,50,False
2018-03-11,44,False
2018-03-18,51,False
2018-03-25,47,False
2018-04-01,62,False
2018-04-08,60,False
2018-04-15,58,False
2018-04-22,56,False
2018-04-29,51,False
2018-05-06,48,False
2018-05-13,45,False
2018-05-20,43,False
2018-05-27,41,False
2018-06-03,42,False
2018-06-10,62,False
2018-06-17,81,False
2018-06-24,73,False
2018-07-01,88,False
2018-07-08,57,False
2018-07-15,44,False
2018-07-22,42,False
2018-07-29,37,False
2018-08-05,35,False
2018-08-12,38,False
2018-08-19,37,False
2018-08-26,38,False
2018-09-02,39,False
2018-09-09,46,False
2018-09-16,47,False
2018-09-23,44,False
2018-09-30,50,False
2018-10-07,51,False
2018-10-14,52,False
2018-10-21,48,False
2018-10-28,43,False
2018-11-04,43,False
2018-11-11,46,False
2018-11-18,52,False
2018-11-25,57,False
2018-12-02,47,False
2018-12-09,49,False
2018-12-16,45,False
2018-12-23,61,False
2018-12-30,76,False
2019-01-06,45,False
2019-01-13,48,False
2019-01-20,47,False
2019-01-27,46,False
2019-02-03,49,False
2019-02-10,53,False
2019-02-17,65,False
2019-02-24,83,False
2019-03-03,51,False
2019-03-10,50,False
2019-03-17,49,False
2019-03-24,48,False
2019-03-31,54,False
2019-04-07,59,False
2019-04-14,61,False
2019-04-21,53,False
2019-04-28,40,False
2019-05-05,44,False
2019-05-12,45,False
2019-05-19,45,False
2019-05-26,47,False
2019-06-02,51,False
2019-06-09,60,False
2019-06-16,56,False
2019-06-23,47,False
2019-06-30,76,False
2019-07-07,47,False
2019-07-14,36,False
2019-07-21,32,False
2019-07-28,30,False
2019-08-04,32,False
2019-08-11,33,False
2019-08-18,33,False
2019-08-25,36,False
2019-09-01,46,False
2019-09-08,40,False
2019-09-15,44,False
2019-09-22,39,False
2019-09-29,49,False
2019-10-06,43,False
2019-10-13,41,False
2019-10-20,44,False
2019-10-27,45,False
2019-11-03,40,False
2019-11-10,45,False
2019-11-17,47,False
2019-11-24,48,False
2019-12-01,41,False
2019-12-08,40,False
2019-12-15,39,False
2019-12-22,52,False
2019-12-29,70,False
2020-01-05,53,False
2020-01-12,41,False
2020-01-19,36,False
2020-01-26,39,False
2020-02-02,44,False
2020-02-09,42,False
2020-02-16,59,False
2020-02-23,72,False
2020-03-01,48,False
2020-03-08,38,False
2020-03-15,25,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,17,False
2020-04-12,18,False
2020-04-19,19,False
2020-04-26,19,False
2020-05-03,22,False
2020-05-10,19,False
2020-05-17,20,False
2020-05-24,21,False
2020-05-31,18,False
2020-06-07,18,False
2020-06-14,19,False
2020-06-21,23,False
2020-06-28,25,False
2020-07-05,22,False
2020-07-12,22,False
2020-07-19,24,False
2020-07-26,27,False
2020-08-02,44,False
2020-08-09,36,False
2020-08-16,36,False
2020-08-23,33,False
2020-08-30,36,False
2020-09-06,38,False
2020-09-13,29,False
2020-09-20,28,False
2020-09-27,31,False
2020-10-04,55,False
2020-10-11,39,False
2020-10-18,31,False
2020-10-25,26,False
2020-11-01,21,False
2020-11-08,25,False
2020-11-15,24,False
2020-11-22,23,False
2020-11-29,20,False
2020-12-06,22,False
2020-12-13,23,False
2020-12-20,36,False
2020-12-27,48,False
2021-01-03,47,False
2021-01-10,38,False
2021-01-17,40,False
2021-01-24,36,False
2021-01-31,42,False
2021-02-07,44,False
2021-02-14,39,False
2021-02-21,39,False
2021-02-28,37,False
2021-03-07,38,False
2021-03-14,37,False
2021-03-21,37,False
2021-03-28,37,False
2021-04-04,49,False
2021-04-11,53,False
2021-04-18,35,False
2021-04-25,33,False
2021-05-02,44,False
2021-05-09,35,False
2021-05-16,42,False
2021-05-23,38,False
2021-05-30,44,False
2021-06-06,44,False
2021-06-13,47,False
2021-06-20,41,False
2021-06-27,40,False
2021-07-04,38,False
2021-07-11,34,False
2021-07-18,43,False
2021-07-25,45,False
2021-08-01,33,False
2021-08-08,27,True
