date,PHM,isPartial
2016-08-21,79,False
2016-08-28,85,False
2016-09-04,100,False
2016-09-11,87,False
2016-09-18,96,False
2016-09-25,96,False
2016-10-02,95,False
2016-10-09,87,False
2016-10-16,95,False
2016-10-23,53,False
2016-10-30,80,False
2016-11-06,70,False
2016-11-13,79,False
2016-11-20,73,False
2016-11-27,60,False
2016-12-04,79,False
2016-12-11,95,False
2016-12-18,73,False
2016-12-25,69,False
2017-01-01,68,False
2017-01-08,91,False
2017-01-15,87,False
2017-01-22,73,False
2017-01-29,67,False
2017-02-05,96,False
2017-02-12,80,False
2017-02-19,85,False
2017-02-26,85,False
2017-03-05,84,False
2017-03-12,86,False
2017-03-19,75,False
2017-03-26,95,False
2017-04-02,69,False
2017-04-09,63,False
2017-04-16,77,False
2017-04-23,90,False
2017-04-30,86,False
2017-05-07,96,False
2017-05-14,75,False
2017-05-21,71,False
2017-05-28,73,False
2017-06-04,85,False
2017-06-11,64,False
2017-06-18,66,False
2017-06-25,71,False
2017-07-02,77,False
2017-07-09,76,False
2017-07-16,68,False
2017-07-23,66,False
2017-07-30,70,False
2017-08-06,62,False
2017-08-13,65,False
2017-08-20,64,False
2017-08-27,64,False
2017-09-03,68,False
2017-09-10,75,False
2017-09-17,65,False
2017-09-24,81,False
2017-10-01,79,False
2017-10-08,72,False
2017-10-15,82,False
2017-10-22,74,False
2017-10-29,77,False
2017-11-05,74,False
2017-11-12,67,False
2017-11-19,66,False
2017-11-26,75,False
2017-12-03,76,False
2017-12-10,67,False
2017-12-17,81,False
2017-12-24,57,False
2017-12-31,56,False
2018-01-07,93,False
2018-01-14,80,False
2018-01-21,77,False
2018-01-28,71,False
2018-02-04,49,False
2018-02-11,73,False
2018-02-18,77,False
2018-02-25,62,False
2018-03-04,64,False
2018-03-11,73,False
2018-03-18,68,False
2018-03-25,68,False
2018-04-01,69,False
2018-04-08,67,False
2018-04-15,54,False
2018-04-22,71,False
2018-04-29,70,False
2018-05-06,66,False
2018-05-13,76,False
2018-05-20,68,False
2018-05-27,59,False
2018-06-03,68,False
2018-06-10,64,False
2018-06-17,55,False
2018-06-24,65,False
2018-07-01,57,False
2018-07-08,56,False
2018-07-15,64,False
2018-07-22,60,False
2018-07-29,49,False
2018-08-05,60,False
2018-08-12,60,False
2018-08-19,64,False
2018-08-26,75,False
2018-09-02,67,False
2018-09-09,76,False
2018-09-16,61,False
2018-09-23,69,False
2018-09-30,62,False
2018-10-07,58,False
2018-10-14,70,False
2018-10-21,54,False
2018-10-28,56,False
2018-11-04,56,False
2018-11-11,50,False
2018-11-18,71,False
2018-11-25,61,False
2018-12-02,66,False
2018-12-09,71,False
2018-12-16,62,False
2018-12-23,54,False
2018-12-30,43,False
2019-01-06,58,False
2019-01-13,67,False
2019-01-20,58,False
2019-01-27,67,False
2019-02-03,58,False
2019-02-10,52,False
2019-02-17,67,False
2019-02-24,59,False
2019-03-03,65,False
2019-03-10,55,False
2019-03-17,63,False
2019-03-24,51,False
2019-03-31,50,False
2019-04-07,59,False
2019-04-14,55,False
2019-04-21,52,False
2019-04-28,61,False
2019-05-05,55,False
2019-05-12,69,False
2019-05-19,60,False
2019-05-26,52,False
2019-06-02,57,False
2019-06-09,50,False
2019-06-16,38,False
2019-06-23,46,False
2019-06-30,50,False
2019-07-07,55,False
2019-07-14,57,False
2019-07-21,53,False
2019-07-28,54,False
2019-08-04,54,False
2019-08-11,51,False
2019-08-18,50,False
2019-08-25,47,False
2019-09-01,57,False
2019-09-08,68,False
2019-09-15,52,False
2019-09-22,63,False
2019-09-29,59,False
2019-10-06,42,False
2019-10-13,58,False
2019-10-20,51,False
2019-10-27,50,False
2019-11-03,55,False
2019-11-10,58,False
2019-11-17,66,False
2019-11-24,52,False
2019-12-01,61,False
2019-12-08,51,False
2019-12-15,62,False
2019-12-22,44,False
2019-12-29,46,False
2020-01-05,46,False
2020-01-12,48,False
2020-01-19,46,False
2020-01-26,52,False
2020-02-02,51,False
2020-02-09,62,False
2020-02-16,45,False
2020-02-23,52,False
2020-03-01,59,False
2020-03-08,62,False
2020-03-15,70,False
2020-03-22,52,False
2020-03-29,61,False
2020-04-05,46,False
2020-04-12,50,False
2020-04-19,61,False
2020-04-26,56,False
2020-05-03,57,False
2020-05-10,56,False
2020-05-17,55,False
2020-05-24,46,False
2020-05-31,51,False
2020-06-07,48,False
2020-06-14,52,False
2020-06-21,43,False
2020-06-28,46,False
2020-07-05,44,False
2020-07-12,41,False
2020-07-19,61,False
2020-07-26,47,False
2020-08-02,46,False
2020-08-09,48,False
2020-08-16,61,False
2020-08-23,49,False
2020-08-30,64,False
2020-09-06,49,False
2020-09-13,61,False
2020-09-20,52,False
2020-09-27,42,False
2020-10-04,46,False
2020-10-11,47,False
2020-10-18,50,False
