date,UNH,isPartial
2016-08-21,73,False
2016-08-28,100,False
2016-09-04,74,False
2016-09-11,79,False
2016-09-18,70,False
2016-09-25,75,False
2016-10-02,67,False
2016-10-09,61,False
2016-10-16,58,False
2016-10-23,63,False
2016-10-30,68,False
2016-11-06,67,False
2016-11-13,73,False
2016-11-20,54,False
2016-11-27,69,False
2016-12-04,68,False
2016-12-11,62,False
2016-12-18,42,False
2016-12-25,36,False
2017-01-01,50,False
2017-01-08,48,False
2017-01-15,55,False
2017-01-22,73,False
2017-01-29,65,False
2017-02-05,52,False
2017-02-12,62,False
2017-02-19,68,False
2017-02-26,70,False
2017-03-05,64,False
2017-03-12,45,False
2017-03-19,72,False
2017-03-26,62,False
2017-04-02,71,False
2017-04-09,55,False
2017-04-16,58,False
2017-04-23,71,False
2017-04-30,70,False
2017-05-07,49,False
2017-05-14,53,False
2017-05-21,42,False
2017-05-28,32,False
2017-06-04,35,False
2017-06-11,32,False
2017-06-18,28,False
2017-06-25,42,False
2017-07-02,28,False
2017-07-09,50,False
2017-07-16,41,False
2017-07-23,39,False
2017-07-30,42,False
2017-08-06,46,False
2017-08-13,48,False
2017-08-20,61,False
2017-08-27,89,False
2017-09-03,67,False
2017-09-10,60,False
2017-09-17,65,False
2017-09-24,52,False
2017-10-01,58,False
2017-10-08,58,False
2017-10-15,67,False
2017-10-22,60,False
2017-10-29,66,False
2017-11-05,62,False
2017-11-12,72,False
2017-11-19,49,False
2017-11-26,74,False
2017-12-03,81,False
2017-12-10,62,False
2017-12-17,41,False
2017-12-24,38,False
2017-12-31,44,False
2018-01-07,53,False
2018-01-14,58,False
2018-01-21,68,False
2018-01-28,67,False
2018-02-04,62,False
2018-02-11,56,False
2018-02-18,52,False
2018-02-25,56,False
2018-03-04,56,False
2018-03-11,35,False
2018-03-18,58,False
2018-03-25,61,False
2018-04-01,65,False
2018-04-08,63,False
2018-04-15,67,False
2018-04-22,59,False
2018-04-29,58,False
2018-05-06,49,False
2018-05-13,48,False
2018-05-20,36,False
2018-05-27,35,False
2018-06-03,31,False
2018-06-10,33,False
2018-06-17,31,False
2018-06-24,34,False
2018-07-01,29,False
2018-07-08,38,False
2018-07-15,39,False
2018-07-22,38,False
2018-07-29,38,False
2018-08-05,41,False
2018-08-12,50,False
2018-08-19,57,False
2018-08-26,83,False
2018-09-02,65,False
2018-09-09,66,False
2018-09-16,60,False
2018-09-23,52,False
2018-09-30,58,False
2018-10-07,64,False
2018-10-14,64,False
2018-10-21,50,False
2018-10-28,62,False
2018-11-04,57,False
2018-11-11,57,False
2018-11-18,36,False
2018-11-25,56,False
2018-12-02,56,False
2018-12-09,60,False
2018-12-16,49,False
2018-12-23,34,False
2018-12-30,38,False
2019-01-06,44,False
2019-01-13,47,False
2019-01-20,58,False
2019-01-27,55,False
2019-02-03,53,False
2019-02-10,51,False
2019-02-17,49,False
2019-02-24,55,False
2019-03-03,56,False
2019-03-10,42,False
2019-03-17,47,False
2019-03-24,50,False
2019-03-31,53,False
2019-04-07,61,False
2019-04-14,83,False
2019-04-21,71,False
2019-04-28,52,False
2019-05-05,48,False
2019-05-12,50,False
2019-05-19,36,False
2019-05-26,30,False
2019-06-02,38,False
2019-06-09,36,False
2019-06-16,32,False
2019-06-23,34,False
2019-06-30,29,False
2019-07-07,43,False
2019-07-14,43,False
2019-07-21,35,False
2019-07-28,42,False
2019-08-04,35,False
2019-08-11,40,False
2019-08-18,50,False
2019-08-25,73,False
2019-09-01,60,False
2019-09-08,66,False
2019-09-15,63,False
2019-09-22,67,False
2019-09-29,62,False
2019-10-06,57,False
2019-10-13,57,False
2019-10-20,56,False
2019-10-27,53,False
2019-11-03,59,False
2019-11-10,60,False
2019-11-17,62,False
2019-11-24,45,False
2019-12-01,59,False
2019-12-08,51,False
2019-12-15,51,False
2019-12-22,26,False
2019-12-29,37,False
2020-01-05,40,False
2020-01-12,50,False
2020-01-19,51,False
2020-01-26,57,False
2020-02-02,54,False
2020-02-09,58,False
2020-02-16,55,False
2020-02-23,64,False
2020-03-01,64,False
2020-03-08,65,False
2020-03-15,33,False
2020-03-22,35,False
2020-03-29,37,False
2020-04-05,39,False
2020-04-12,44,False
2020-04-19,43,False
2020-04-26,38,False
2020-05-03,31,False
2020-05-10,35,False
2020-05-17,34,False
2020-05-24,30,False
2020-05-31,34,False
2020-06-07,31,False
2020-06-14,31,False
2020-06-21,31,False
2020-06-28,29,False
2020-07-05,32,False
2020-07-12,44,False
2020-07-19,29,False
2020-07-26,31,False
2020-08-02,31,False
2020-08-09,36,False
2020-08-16,41,False
2020-08-23,47,False
2020-08-30,64,False
2020-09-06,51,False
2020-09-13,48,False
2020-09-20,47,False
2020-09-27,52,False
2020-10-04,43,False
2020-10-11,39,False
2020-10-18,39,False
2020-10-25,40,False
2020-11-01,39,False
2020-11-08,45,False
2020-11-15,39,False
2020-11-22,25,False
2020-11-29,30,False
2020-12-06,31,False
2020-12-13,32,False
2020-12-20,22,False
2020-12-27,27,False
2021-01-03,33,False
2021-01-10,38,False
2021-01-17,37,False
2021-01-24,41,False
2021-01-31,60,False
2021-02-07,48,False
2021-02-14,44,False
2021-02-21,43,False
2021-02-28,47,False
2021-03-07,50,False
2021-03-14,40,False
2021-03-21,37,False
2021-03-28,45,False
2021-04-04,44,False
2021-04-11,43,False
2021-04-18,36,False
2021-04-25,44,False
2021-05-02,38,False
2021-05-09,34,False
2021-05-16,31,False
2021-05-23,23,False
2021-05-30,21,False
2021-06-06,23,False
2021-06-13,27,False
2021-06-20,23,False
2021-06-27,23,False
2021-07-04,22,False
2021-07-11,29,False
2021-07-18,25,False
2021-07-25,26,False
2021-08-01,29,False
2021-08-08,33,True
