date,VRTX,isPartial
2016-08-21,20,False
2016-08-28,28,False
2016-09-04,19,False
2016-09-11,23,False
2016-09-18,10,False
2016-09-25,23,False
2016-10-02,20,False
2016-10-09,29,False
2016-10-16,19,False
2016-10-23,33,False
2016-10-30,13,False
2016-11-06,40,False
2016-11-13,27,False
2016-11-20,18,False
2016-11-27,8,False
2016-12-04,25,False
2016-12-11,18,False
2016-12-18,15,False
2016-12-25,13,False
2017-01-01,16,False
2017-01-08,23,False
2017-01-15,10,False
2017-01-22,25,False
2017-01-29,34,False
2017-02-05,19,False
2017-02-12,21,False
2017-02-19,15,False
2017-02-26,22,False
2017-03-05,22,False
2017-03-12,26,False
2017-03-19,26,False
2017-03-26,53,False
2017-04-02,17,False
2017-04-09,20,False
2017-04-16,26,False
2017-04-23,19,False
2017-04-30,12,False
2017-05-07,19,False
2017-05-14,36,False
2017-05-21,20,False
2017-05-28,22,False
2017-06-04,18,False
2017-06-11,16,False
2017-06-18,14,False
2017-06-25,37,False
2017-07-02,19,False
2017-07-09,20,False
2017-07-16,100,False
2017-07-23,49,False
2017-07-30,22,False
2017-08-06,27,False
2017-08-13,22,False
2017-08-20,21,False
2017-08-27,19,False
2017-09-03,31,False
2017-09-10,19,False
2017-09-17,34,False
2017-09-24,29,False
2017-10-01,21,False
2017-10-08,30,False
2017-10-15,23,False
2017-10-22,39,False
2017-10-29,30,False
2017-11-05,27,False
2017-11-12,48,False
2017-11-19,20,False
2017-11-26,22,False
2017-12-03,22,False
2017-12-10,20,False
2017-12-17,19,False
2017-12-24,10,False
2017-12-31,14,False
2018-01-07,25,False
2018-01-14,30,False
2018-01-21,32,False
2018-01-28,21,False
2018-02-04,23,False
2018-02-11,48,False
2018-02-18,27,False
2018-02-25,36,False
2018-03-04,25,False
2018-03-11,32,False
2018-03-18,21,False
2018-03-25,26,False
2018-04-01,20,False
2018-04-08,21,False
2018-04-15,20,False
2018-04-22,27,False
2018-04-29,34,False
2018-05-06,22,False
2018-05-13,16,False
2018-05-20,27,False
2018-05-27,13,False
2018-06-03,32,False
2018-06-10,16,False
2018-06-17,18,False
2018-06-24,37,False
2018-07-01,21,False
2018-07-08,41,False
2018-07-15,33,False
2018-07-22,44,False
2018-07-29,18,False
2018-08-05,25,False
2018-08-12,29,False
2018-08-19,20,False
2018-08-26,18,False
2018-09-02,23,False
2018-09-09,24,False
2018-09-16,16,False
2018-09-23,26,False
2018-09-30,31,False
2018-10-07,19,False
2018-10-14,16,False
2018-10-21,30,False
2018-10-28,14,False
2018-11-04,24,False
2018-11-11,30,False
2018-11-18,21,False
2018-11-25,17,False
2018-12-02,21,False
2018-12-09,14,False
2018-12-16,23,False
2018-12-23,16,False
2018-12-30,31,False
2019-01-06,21,False
2019-01-13,19,False
2019-01-20,26,False
2019-01-27,20,False
2019-02-03,29,False
2019-02-10,27,False
2019-02-17,29,False
2019-02-24,24,False
2019-03-03,36,False
2019-03-10,38,False
2019-03-17,26,False
2019-03-24,24,False
2019-03-31,36,False
2019-04-07,22,False
2019-04-14,22,False
2019-04-21,25,False
2019-04-28,35,False
2019-05-05,33,False
2019-05-12,21,False
2019-05-19,26,False
2019-05-26,26,False
2019-06-02,22,False
2019-06-09,34,False
2019-06-16,35,False
2019-06-23,26,False
2019-06-30,17,False
2019-07-07,38,False
2019-07-14,12,False
2019-07-21,41,False
2019-07-28,25,False
2019-08-04,19,False
2019-08-11,14,False
2019-08-18,17,False
2019-08-25,22,False
2019-09-01,25,False
2019-09-08,15,False
2019-09-15,15,False
2019-09-22,20,False
2019-09-29,18,False
2019-10-06,26,False
2019-10-13,15,False
2019-10-20,33,False
2019-10-27,36,False
2019-11-03,26,False
2019-11-10,27,False
2019-11-17,39,False
2019-11-24,27,False
2019-12-01,27,False
2019-12-08,34,False
2019-12-15,15,False
2019-12-22,14,False
2019-12-29,20,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,28,False
2020-01-26,28,False
2020-02-02,46,False
2020-02-09,36,False
2020-02-16,36,False
2020-02-23,36,False
2020-03-01,25,False
2020-03-08,42,False
2020-03-15,34,False
2020-03-22,24,False
2020-03-29,32,False
2020-04-05,50,False
2020-04-12,31,False
2020-04-19,37,False
2020-04-26,48,False
2020-05-03,36,False
2020-05-10,37,False
2020-05-17,45,False
2020-05-24,30,False
2020-05-31,35,False
2020-06-07,55,False
2020-06-14,24,False
2020-06-21,55,False
2020-06-28,27,False
2020-07-05,27,False
2020-07-12,35,False
2020-07-19,37,False
2020-07-26,47,False
2020-08-02,21,False
2020-08-09,30,False
2020-08-16,24,False
2020-08-23,24,False
2020-08-30,35,False
2020-09-06,25,False
2020-09-13,30,False
2020-09-20,29,False
2020-09-27,19,False
2020-10-04,28,False
2020-10-11,88,False
2020-10-18,62,False
2020-10-25,51,False
2020-11-01,42,False
2020-11-08,46,False
2020-11-15,40,False
2020-11-22,40,False
2020-11-29,36,False
2020-12-06,37,False
2020-12-13,21,False
2020-12-20,27,False
2020-12-27,26,False
2021-01-03,33,False
2021-01-10,40,False
2021-01-17,26,False
2021-01-24,26,False
2021-01-31,69,False
2021-02-07,50,False
2021-02-14,35,False
2021-02-21,41,False
2021-02-28,27,False
2021-03-07,52,False
2021-03-14,30,False
2021-03-21,47,False
2021-03-28,11,False
2021-04-04,39,False
2021-04-11,32,False
2021-04-18,33,False
2021-04-25,48,False
2021-05-02,29,False
2021-05-09,33,False
2021-05-16,28,False
2021-05-23,47,False
2021-05-30,23,False
2021-06-06,95,False
2021-06-13,57,False
2021-06-20,41,False
2021-06-27,32,False
2021-07-04,42,False
2021-07-11,22,False
2021-07-18,38,False
2021-07-25,32,False
2021-08-01,27,False
2021-08-08,24,True
