date,AAL,isPartial
2016-08-21,29,False
2016-08-28,32,False
2016-09-04,35,False
2016-09-11,29,False
2016-09-18,29,False
2016-09-25,32,False
2016-10-02,29,False
2016-10-09,32,False
2016-10-16,33,False
2016-10-23,31,False
2016-10-30,31,False
2016-11-06,27,False
2016-11-13,33,False
2016-11-20,32,False
2016-11-27,30,False
2016-12-04,29,False
2016-12-11,30,False
2016-12-18,35,False
2016-12-25,32,False
2017-01-01,31,False
2017-01-08,32,False
2017-01-15,31,False
2017-01-22,32,False
2017-01-29,31,False
2017-02-05,35,False
2017-02-12,32,False
2017-02-19,32,False
2017-02-26,33,False
2017-03-05,30,False
2017-03-12,33,False
2017-03-19,34,False
2017-03-26,35,False
2017-04-02,33,False
2017-04-09,34,False
2017-04-16,28,False
2017-04-23,32,False
2017-04-30,30,False
2017-05-07,35,False
2017-05-14,31,False
2017-05-21,32,False
2017-05-28,29,False
2017-06-04,34,False
2017-06-11,32,False
2017-06-18,30,False
2017-06-25,34,False
2017-07-02,34,False
2017-07-09,34,False
2017-07-16,39,False
2017-07-23,38,False
2017-07-30,31,False
2017-08-06,29,False
2017-08-13,30,False
2017-08-20,29,False
2017-08-27,21,False
2017-09-03,24,False
2017-09-10,26,False
2017-09-17,22,False
2017-09-24,24,False
2017-10-01,23,False
2017-10-08,24,False
2017-10-15,23,False
2017-10-22,22,False
2017-10-29,22,False
2017-11-05,25,False
2017-11-12,20,False
2017-11-19,25,False
2017-11-26,23,False
2017-12-03,22,False
2017-12-10,20,False
2017-12-17,22,False
2017-12-24,25,False
2017-12-31,20,False
2018-01-07,23,False
2018-01-14,19,False
2018-01-21,24,False
2018-01-28,19,False
2018-02-04,23,False
2018-02-11,22,False
2018-02-18,21,False
2018-02-25,19,False
2018-03-04,22,False
2018-03-11,21,False
2018-03-18,22,False
2018-03-25,21,False
2018-04-01,20,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,19,False
2018-04-29,22,False
