date,WEC,isPartial
2016-08-21,12,False
2016-08-28,30,False
2016-09-04,19,False
2016-09-11,21,False
2016-09-18,22,False
2016-09-25,12,False
2016-10-02,14,False
2016-10-09,24,False
2016-10-16,31,False
2016-10-23,16,False
2016-10-30,18,False
2016-11-06,22,False
2016-11-13,24,False
2016-11-20,20,False
2016-11-27,12,False
2016-12-04,11,False
2016-12-11,15,False
2016-12-18,10,False
2016-12-25,8,False
2017-01-01,11,False
2017-01-08,11,False
2017-01-15,13,False
2017-01-22,13,False
2017-01-29,18,False
2017-02-05,11,False
2017-02-12,11,False
2017-02-19,13,False
2017-02-26,11,False
2017-03-05,12,False
2017-03-12,11,False
2017-03-19,13,False
2017-03-26,18,False
2017-04-02,18,False
2017-04-09,33,False
2017-04-16,45,False
2017-04-23,16,False
2017-04-30,40,False
2017-05-07,21,False
2017-05-14,11,False
2017-05-21,10,False
2017-05-28,14,False
2017-06-04,12,False
2017-06-11,34,False
2017-06-18,31,False
2017-06-25,12,False
2017-07-02,14,False
2017-07-09,23,False
2017-07-16,20,False
2017-07-23,19,False
2017-07-30,11,False
2017-08-06,12,False
2017-08-13,10,False
2017-08-20,12,False
2017-08-27,13,False
2017-09-03,22,False
2017-09-10,16,False
2017-09-17,16,False
2017-09-24,12,False
2017-10-01,12,False
2017-10-08,17,False
2017-10-15,20,False
2017-10-22,13,False
2017-10-29,16,False
2017-11-05,19,False
2017-11-12,22,False
2017-11-19,18,False
2017-11-26,10,False
2017-12-03,13,False
2017-12-10,11,False
2017-12-17,7,False
2017-12-24,10,False
2017-12-31,10,False
2018-01-07,11,False
2018-01-14,14,False
2018-01-21,12,False
2018-01-28,18,False
2018-02-04,17,False
2018-02-11,15,False
2018-02-18,12,False
2018-02-25,14,False
2018-03-04,13,False
2018-03-11,13,False
2018-03-18,13,False
2018-03-25,10,False
2018-04-01,15,False
2018-04-08,15,False
2018-04-15,15,False
2018-04-22,17,False
2018-04-29,100,False
2018-05-06,38,False
2018-05-13,15,False
2018-05-20,12,False
2018-05-27,13,False
2018-06-03,20,False
2018-06-10,34,False
2018-06-17,32,False
2018-06-24,10,False
2018-07-01,9,False
2018-07-08,11,False
2018-07-15,9,False
2018-07-22,10,False
2018-07-29,13,False
2018-08-05,10,False
2018-08-12,27,False
2018-08-19,47,False
2018-08-26,10,False
2018-09-02,10,False
2018-09-09,10,False
2018-09-16,11,False
2018-09-23,8,False
2018-09-30,11,False
2018-10-07,21,False
2018-10-14,31,False
2018-10-21,11,False
2018-10-28,11,False
2018-11-04,10,False
2018-11-11,17,False
2018-11-18,20,False
2018-11-25,13,False
2018-12-02,12,False
2018-12-09,11,False
2018-12-16,8,False
2018-12-23,9,False
2018-12-30,8,False
2019-01-06,11,False
2019-01-13,10,False
2019-01-20,10,False
2019-01-27,12,False
2019-02-03,12,False
2019-02-10,11,False
2019-02-17,10,False
2019-02-24,11,False
2019-03-03,14,False
2019-03-10,30,False
2019-03-17,15,False
2019-03-24,11,False
2019-03-31,12,False
2019-04-07,11,False
2019-04-14,12,False
2019-04-21,11,False
2019-04-28,41,False
2019-05-05,17,False
2019-05-12,12,False
2019-05-19,11,False
2019-05-26,13,False
2019-06-02,12,False
2019-06-09,35,False
2019-06-16,30,False
2019-06-23,11,False
2019-06-30,11,False
2019-07-07,13,False
2019-07-14,12,False
2019-07-21,12,False
2019-07-28,10,False
2019-08-04,9,False
2019-08-11,8,False
2019-08-18,12,False
2019-08-25,17,False
2019-09-01,25,False
2019-09-08,11,False
2019-09-15,12,False
2019-09-22,10,False
2019-09-29,16,False
2019-10-06,17,False
2019-10-13,9,False
2019-10-20,10,False
2019-10-27,9,False
2019-11-03,13,False
2019-11-10,19,False
2019-11-17,11,False
2019-11-24,11,False
2019-12-01,13,False
2019-12-08,20,False
2019-12-15,13,False
2019-12-22,10,False
2019-12-29,9,False
2020-01-05,8,False
2020-01-12,13,False
2020-01-19,11,False
2020-01-26,11,False
2020-02-02,11,False
2020-02-09,13,False
2020-02-16,17,False
2020-02-23,24,False
2020-03-01,13,False
2020-03-08,14,False
2020-03-15,13,False
2020-03-22,9,False
2020-03-29,8,False
2020-04-05,10,False
2020-04-12,11,False
2020-04-19,8,False
2020-04-26,11,False
2020-05-03,9,False
2020-05-10,10,False
2020-05-17,9,False
2020-05-24,7,False
2020-05-31,8,False
2020-06-07,11,False
2020-06-14,8,False
2020-06-21,8,False
2020-06-28,10,False
2020-07-05,9,False
2020-07-12,8,False
2020-07-19,10,False
2020-07-26,8,False
2020-08-02,11,False
2020-08-09,19,False
2020-08-16,12,False
2020-08-23,12,False
2020-08-30,10,False
2020-09-06,10,False
2020-09-13,21,False
2020-09-20,17,False
2020-09-27,12,False
2020-10-04,9,False
2020-10-11,8,False
2020-10-18,8,False
2020-10-25,8,False
2020-11-01,10,False
2020-11-08,12,False
2020-11-15,11,False
2020-11-22,10,False
2020-11-29,10,False
2020-12-06,9,False
2020-12-13,11,False
2020-12-20,9,False
2020-12-27,8,False
2021-01-03,10,False
2021-01-10,12,False
2021-01-17,15,False
2021-01-24,10,False
2021-01-31,11,False
2021-02-07,15,False
2021-02-14,11,False
2021-02-21,16,False
2021-02-28,14,False
2021-03-07,11,False
2021-03-14,11,False
2021-03-21,13,False
2021-03-28,11,False
2021-04-04,10,False
2021-04-11,10,False
2021-04-18,9,False
2021-04-25,31,False
2021-05-02,16,False
2021-05-09,11,False
2021-05-16,10,False
2021-05-23,8,False
2021-05-30,11,False
2021-06-06,16,False
2021-06-13,26,False
2021-06-20,12,False
2021-06-27,10,False
2021-07-04,13,False
2021-07-11,15,False
2021-07-18,19,False
2021-07-25,8,False
2021-08-01,11,False
2021-08-08,10,True
