date,PFE,isPartial
2016-08-21,13,False
2016-08-28,14,False
2016-09-04,9,False
2016-09-11,9,False
2016-09-18,13,False
2016-09-25,10,False
2016-10-02,13,False
2016-10-09,11,False
2016-10-16,13,False
2016-10-23,12,False
2016-10-30,13,False
2016-11-06,17,False
2016-11-13,14,False
2016-11-20,11,False
2016-11-27,15,False
2016-12-04,16,False
2016-12-11,10,False
2016-12-18,12,False
2016-12-25,8,False
2017-01-01,13,False
2017-01-08,12,False
2017-01-15,16,False
2017-01-22,16,False
2017-01-29,16,False
2017-02-05,15,False
2017-02-12,16,False
2017-02-19,16,False
2017-02-26,16,False
2017-03-05,16,False
2017-03-12,12,False
2017-03-19,13,False
2017-03-26,12,False
2017-04-02,13,False
2017-04-09,9,False
2017-04-16,12,False
2017-04-23,13,False
2017-04-30,13,False
2017-05-07,15,False
2017-05-14,17,False
2017-05-21,15,False
2017-05-28,15,False
2017-06-04,16,False
2017-06-11,13,False
2017-06-18,14,False
2017-06-25,11,False
2017-07-02,13,False
2017-07-09,11,False
2017-07-16,10,False
2017-07-23,10,False
2017-07-30,14,False
2017-08-06,11,False
2017-08-13,12,False
2017-08-20,9,False
2017-08-27,8,False
2017-09-03,9,False
2017-09-10,9,False
2017-09-17,12,False
2017-09-24,13,False
2017-10-01,10,False
2017-10-08,11,False
2017-10-15,13,False
2017-10-22,13,False
2017-10-29,11,False
2017-11-05,9,False
2017-11-12,11,False
2017-11-19,8,False
2017-11-26,12,False
2017-12-03,13,False
2017-12-10,12,False
2017-12-17,12,False
2017-12-24,9,False
2017-12-31,11,False
2018-01-07,11,False
2018-01-14,12,False
2018-01-21,14,False
2018-01-28,20,False
2018-02-04,17,False
2018-02-11,17,False
2018-02-18,13,False
2018-02-25,13,False
2018-03-04,13,False
2018-03-11,14,False
2018-03-18,13,False
2018-03-25,13,False
2018-04-01,13,False
2018-04-08,12,False
2018-04-15,10,False
2018-04-22,10,False
2018-04-29,15,False
2018-05-06,17,False
2018-05-13,13,False
2018-05-20,14,False
2018-05-27,15,False
2018-06-03,15,False
2018-06-10,12,False
2018-06-17,11,False
2018-06-24,11,False
2018-07-01,12,False
2018-07-08,12,False
2018-07-15,11,False
2018-07-22,13,False
2018-07-29,18,False
2018-08-05,13,False
2018-08-12,10,False
2018-08-19,11,False
2018-08-26,15,False
2018-09-02,9,False
2018-09-09,12,False
2018-09-16,19,False
2018-09-23,12,False
2018-09-30,13,False
2018-10-07,16,False
2018-10-14,17,False
2018-10-21,13,False
2018-10-28,13,False
2018-11-04,16,False
2018-11-11,13,False
2018-11-18,12,False
2018-11-25,11,False
2018-12-02,13,False
2018-12-09,14,False
2018-12-16,13,False
2018-12-23,11,False
2018-12-30,11,False
2019-01-06,13,False
2019-01-13,15,False
2019-01-20,14,False
2019-01-27,16,False
2019-02-03,12,False
2019-02-10,15,False
2019-02-17,12,False
2019-02-24,15,False
2019-03-03,16,False
2019-03-10,11,False
2019-03-17,13,False
2019-03-24,14,False
2019-03-31,14,False
2019-04-07,14,False
2019-04-14,12,False
2019-04-21,14,False
2019-04-28,13,False
2019-05-05,14,False
2019-05-12,12,False
2019-05-19,13,False
2019-05-26,10,False
2019-06-02,13,False
2019-06-09,15,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,10,False
2019-07-07,11,False
2019-07-14,10,False
2019-07-21,11,False
2019-07-28,20,False
2019-08-04,13,False
2019-08-11,14,False
2019-08-18,15,False
2019-08-25,12,False
2019-09-01,11,False
2019-09-08,12,False
2019-09-15,14,False
2019-09-22,15,False
2019-09-29,13,False
2019-10-06,16,False
2019-10-13,11,False
2019-10-20,14,False
2019-10-27,16,False
2019-11-03,24,False
2019-11-10,15,False
2019-11-17,17,False
2019-11-24,15,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,14,False
2019-12-22,8,False
2019-12-29,8,False
2020-01-05,13,False
2020-01-12,15,False
2020-01-19,18,False
2020-01-26,38,False
2020-02-02,25,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,23,False
2020-03-01,22,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,22,False
2020-03-29,21,False
2020-04-05,20,False
2020-04-12,23,False
2020-04-19,19,False
2020-04-26,21,False
2020-05-03,24,False
2020-05-10,21,False
2020-05-17,23,False
2020-05-24,19,False
2020-05-31,31,False
2020-06-07,23,False
2020-06-14,25,False
2020-06-21,23,False
2020-06-28,30,False
2020-07-05,26,False
2020-07-12,34,False
2020-07-19,63,False
2020-07-26,45,False
2020-08-02,31,False
2020-08-09,29,False
2020-08-16,29,False
2020-08-23,30,False
2020-08-30,23,False
2020-09-06,23,False
2020-09-13,31,False
2020-09-20,25,False
2020-09-27,25,False
2020-10-04,25,False
2020-10-11,26,False
2020-10-18,27,False
2020-10-25,28,False
2020-11-01,23,False
2020-11-08,94,False
2020-11-15,72,False
2020-11-22,43,False
2020-11-29,81,False
2020-12-06,100,False
2020-12-13,83,False
2020-12-20,47,False
2020-12-27,39,False
2021-01-03,37,False
2021-01-10,35,False
2021-01-17,34,False
2021-01-24,38,False
2021-01-31,44,False
2021-02-07,35,False
2021-02-14,29,False
2021-02-21,32,False
2021-02-28,31,False
2021-03-07,31,False
2021-03-14,31,False
2021-03-21,27,False
2021-03-28,28,False
2021-04-04,28,False
2021-04-11,35,False
2021-04-18,37,False
2021-04-25,30,False
2021-05-02,45,False
2021-05-09,38,False
2021-05-16,29,False
2021-05-23,26,False
2021-05-30,21,False
2021-06-06,29,False
2021-06-13,26,False
2021-06-20,23,False
2021-06-27,24,False
2021-07-04,17,False
2021-07-11,23,False
2021-07-18,27,False
2021-07-25,31,False
2021-08-01,33,False
2021-08-08,41,True
