date,CHTR,isPartial
2016-08-21,35,False
2016-08-28,34,False
2016-09-04,20,False
2016-09-11,7,False
2016-09-18,46,False
2016-09-25,33,False
2016-10-02,13,False
2016-10-09,39,False
2016-10-16,26,False
2016-10-23,39,False
2016-10-30,26,False
2016-11-06,19,False
2016-11-13,32,False
2016-11-20,13,False
2016-11-27,31,False
2016-12-04,42,False
2016-12-11,62,False
2016-12-18,47,False
2016-12-25,41,False
2017-01-01,57,False
2017-01-08,36,False
2017-01-15,30,False
2017-01-22,84,False
2017-01-29,54,False
2017-02-05,24,False
2017-02-12,46,False
2017-02-19,48,False
2017-02-26,52,False
2017-03-05,34,False
2017-03-12,29,False
2017-03-19,18,False
2017-03-26,30,False
2017-04-02,12,False
2017-04-09,18,False
2017-04-16,36,False
2017-04-23,41,False
2017-04-30,18,False
2017-05-07,53,False
2017-05-14,32,False
2017-05-21,19,False
2017-05-28,58,False
2017-06-04,56,False
2017-06-11,12,False
2017-06-18,19,False
2017-06-25,26,False
2017-07-02,20,False
2017-07-09,39,False
2017-07-16,26,False
2017-07-23,32,False
2017-07-30,93,False
2017-08-06,61,False
2017-08-13,63,False
2017-08-20,68,False
2017-08-27,74,False
2017-09-03,92,False
2017-09-10,18,False
2017-09-17,54,False
2017-09-24,18,False
2017-10-01,30,False
2017-10-08,24,False
2017-10-15,18,False
2017-10-22,41,False
2017-10-29,41,False
2017-11-05,12,False
2017-11-12,35,False
2017-11-19,29,False
2017-11-26,23,False
2017-12-03,46,False
2017-12-10,35,False
2017-12-17,66,False
2017-12-24,45,False
2017-12-31,42,False
2018-01-07,28,False
2018-01-14,11,False
2018-01-21,11,False
2018-01-28,51,False
2018-02-04,45,False
2018-02-11,34,False
2018-02-18,28,False
2018-02-25,27,False
2018-03-04,44,False
2018-03-11,28,False
2018-03-18,17,False
2018-03-25,40,False
2018-04-01,23,False
2018-04-08,17,False
2018-04-15,45,False
2018-04-22,100,False
2018-04-29,97,False
2018-05-06,51,False
2018-05-13,63,False
2018-05-20,46,False
2018-05-27,40,False
2018-06-03,45,False
2018-06-10,39,False
2018-06-17,0,False
2018-06-24,50,False
2018-07-01,34,False
2018-07-08,45,False
2018-07-15,17,False
2018-07-22,62,False
2018-07-29,85,False
2018-08-05,55,False
2018-08-12,22,False
2018-08-19,17,False
2018-08-26,39,False
2018-09-02,55,False
2018-09-09,22,False
2018-09-16,49,False
2018-09-23,49,False
2018-09-30,17,False
2018-10-07,55,False
2018-10-14,28,False
2018-10-21,27,False
2018-10-28,39,False
2018-11-04,49,False
2018-11-11,28,False
2018-11-18,6,False
2018-11-25,22,False
2018-12-02,28,False
2018-12-09,11,False
2018-12-16,23,False
2018-12-23,44,False
2018-12-30,30,False
2019-01-06,33,False
2019-01-13,38,False
2019-01-20,27,False
2019-01-27,81,False
2019-02-03,32,False
2019-02-10,32,False
2019-02-17,11,False
2019-02-24,11,False
2019-03-03,27,False
2019-03-10,32,False
2019-03-17,49,False
2019-03-24,33,False
2019-03-31,16,False
2019-04-07,38,False
2019-04-14,17,False
2019-04-21,39,False
2019-04-28,60,False
2019-05-05,16,False
2019-05-12,33,False
2019-05-19,49,False
2019-05-26,16,False
2019-06-02,22,False
2019-06-09,37,False
2019-06-16,27,False
2019-06-23,22,False
2019-06-30,27,False
2019-07-07,49,False
2019-07-14,61,False
2019-07-21,51,False
2019-07-28,22,False
2019-08-04,28,False
2019-08-11,38,False
2019-08-18,27,False
2019-08-25,11,False
2019-09-01,26,False
2019-09-08,31,False
2019-09-15,21,False
2019-09-22,31,False
2019-09-29,41,False
2019-10-06,31,False
2019-10-13,20,False
2019-10-20,25,False
2019-10-27,31,False
2019-11-03,55,False
2019-11-10,45,False
2019-11-17,25,False
2019-11-24,5,False
2019-12-01,25,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,11,False
2019-12-29,16,False
2020-01-05,54,False
2020-01-12,19,False
2020-01-19,29,False
2020-01-26,34,False
2020-02-02,53,False
2020-02-09,24,False
2020-02-16,34,False
2020-02-23,28,False
2020-03-01,42,False
2020-03-08,51,False
2020-03-15,46,False
2020-03-22,40,False
2020-03-29,22,False
2020-04-05,36,False
2020-04-12,22,False
2020-04-19,39,False
2020-04-26,26,False
2020-05-03,31,False
2020-05-10,22,False
2020-05-17,40,False
2020-05-24,23,False
2020-05-31,30,False
2020-06-07,44,False
2020-06-14,31,False
2020-06-21,28,False
2020-06-28,37,False
2020-07-05,38,False
2020-07-12,24,False
2020-07-19,33,False
2020-07-26,49,False
2020-08-02,43,False
2020-08-09,33,False
2020-08-16,19,False
2020-08-23,33,False
2020-08-30,36,False
2020-09-06,32,False
2020-09-13,45,False
2020-09-20,27,False
2020-09-27,19,False
2020-10-04,52,False
2020-10-11,39,False
2020-10-18,54,False
2020-10-25,78,False
2020-11-01,32,False
2020-11-08,54,False
2020-11-15,44,False
2020-11-22,10,False
2020-11-29,33,False
2020-12-06,34,False
2020-12-13,15,False
2020-12-20,27,False
2020-12-27,15,False
2021-01-03,29,False
2021-01-10,29,False
2021-01-17,29,False
2021-01-24,48,False
2021-01-31,67,False
2021-02-07,39,False
2021-02-14,19,False
2021-02-21,34,False
2021-02-28,38,False
2021-03-07,29,False
2021-03-14,41,False
2021-03-21,24,False
2021-03-28,25,False
2021-04-04,53,False
2021-04-11,44,False
2021-04-18,29,False
2021-04-25,33,False
2021-05-02,19,False
2021-05-09,49,False
2021-05-16,58,False
2021-05-23,29,False
2021-05-30,15,False
2021-06-06,15,False
2021-06-13,29,False
2021-06-20,59,False
2021-06-27,15,False
2021-07-04,25,False
2021-07-11,40,False
2021-07-18,21,False
2021-07-25,40,False
2021-08-01,55,False
2021-08-08,28,True
