date,AEP,isPartial
2016-08-21,41,False
2016-08-28,38,False
2016-09-04,31,False
2016-09-11,33,False
2016-09-18,37,False
2016-09-25,35,False
2016-10-02,34,False
2016-10-09,32,False
2016-10-16,36,False
2016-10-23,33,False
2016-10-30,36,False
2016-11-06,31,False
2016-11-13,36,False
2016-11-20,33,False
2016-11-27,42,False
2016-12-04,37,False
2016-12-11,37,False
2016-12-18,35,False
2016-12-25,31,False
2017-01-01,36,False
2017-01-08,36,False
2017-01-15,32,False
2017-01-22,35,False
2017-01-29,33,False
2017-02-05,33,False
2017-02-12,30,False
2017-02-19,33,False
2017-02-26,44,False
2017-03-05,35,False
2017-03-12,31,False
2017-03-19,33,False
2017-03-26,36,False
2017-04-02,37,False
2017-04-09,28,False
2017-04-16,31,False
2017-04-23,36,False
2017-04-30,39,False
2017-05-07,35,False
2017-05-14,34,False
2017-05-21,32,False
2017-05-28,34,False
2017-06-04,36,False
2017-06-11,39,False
2017-06-18,38,False
2017-06-25,36,False
2017-07-02,37,False
2017-07-09,37,False
2017-07-16,42,False
2017-07-23,37,False
2017-07-30,35,False
2017-08-06,35,False
2017-08-13,36,False
2017-08-20,38,False
2017-08-27,59,False
2017-09-03,42,False
2017-09-10,35,False
2017-09-17,41,False
2017-09-24,40,False
2017-10-01,39,False
2017-10-08,43,False
2017-10-15,40,False
2017-10-22,34,False
2017-10-29,35,False
2017-11-05,36,False
2017-11-12,36,False
2017-11-19,31,False
2017-11-26,33,False
2017-12-03,38,False
2017-12-10,32,False
2017-12-17,31,False
2017-12-24,28,False
2017-12-31,39,False
2018-01-07,45,False
2018-01-14,42,False
2018-01-21,40,False
2018-01-28,45,False
2018-02-04,43,False
2018-02-11,37,False
2018-02-18,37,False
2018-02-25,47,False
2018-03-04,37,False
2018-03-11,37,False
2018-03-18,38,False
2018-03-25,44,False
2018-04-01,40,False
2018-04-08,32,False
2018-04-15,35,False
2018-04-22,33,False
2018-04-29,35,False
2018-05-06,36,False
2018-05-13,37,False
2018-05-20,34,False
2018-05-27,37,False
2018-06-03,39,False
2018-06-10,39,False
2018-06-17,39,False
2018-06-24,35,False
2018-07-01,37,False
2018-07-08,33,False
2018-07-15,40,False
2018-07-22,37,False
2018-07-29,39,False
2018-08-05,37,False
2018-08-12,35,False
2018-08-19,30,False
2018-08-26,37,False
2018-09-02,35,False
2018-09-09,36,False
2018-09-16,38,False
2018-09-23,40,False
2018-09-30,36,False
2018-10-07,35,False
2018-10-14,45,False
2018-10-21,48,False
2018-10-28,38,False
2018-11-04,35,False
2018-11-11,45,False
2018-11-18,31,False
2018-11-25,36,False
2018-12-02,39,False
2018-12-09,43,False
2018-12-16,33,False
2018-12-23,27,False
