date,JBHT,isPartial
2016-08-21,28,False
2016-08-28,0,False
2016-09-04,0,False
2016-09-11,27,False
2016-09-18,13,False
2016-09-25,0,False
2016-10-02,0,False
2016-10-09,52,False
2016-10-16,26,False
2016-10-23,0,False
2016-10-30,40,False
2016-11-06,13,False
2016-11-13,0,False
2016-11-20,0,False
2016-11-27,0,False
2016-12-04,24,False
2016-12-11,13,False
2016-12-18,40,False
2016-12-25,27,False
2017-01-01,51,False
2017-01-08,12,False
2017-01-15,12,False
2017-01-22,12,False
2017-01-29,24,False
2017-02-05,24,False
2017-02-12,0,False
2017-02-19,24,False
2017-02-26,35,False
2017-03-05,35,False
2017-03-12,0,False
2017-03-19,24,False
2017-03-26,24,False
2017-04-02,36,False
2017-04-09,12,False
2017-04-16,24,False
2017-04-23,12,False
2017-04-30,24,False
2017-05-07,24,False
2017-05-14,0,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,13,False
2017-06-11,0,False
2017-06-18,0,False
2017-06-25,13,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,39,False
2017-07-23,13,False
2017-07-30,12,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,25,False
2017-08-27,12,False
2017-09-03,0,False
2017-09-10,12,False
2017-09-17,24,False
2017-09-24,12,False
2017-10-01,48,False
2017-10-08,12,False
2017-10-15,12,False
2017-10-22,12,False
2017-10-29,0,False
2017-11-05,23,False
2017-11-12,12,False
2017-11-19,12,False
2017-11-26,23,False
2017-12-03,12,False
2017-12-10,23,False
2017-12-17,24,False
2017-12-24,0,False
2017-12-31,12,False
2018-01-07,0,False
2018-01-14,45,False
2018-01-21,22,False
2018-01-28,23,False
2018-02-04,57,False
2018-02-11,11,False
2018-02-18,11,False
2018-02-25,11,False
2018-03-04,45,False
2018-03-11,11,False
2018-03-18,0,False
2018-03-25,12,False
2018-04-01,11,False
2018-04-08,11,False
2018-04-15,68,False
2018-04-22,11,False
2018-04-29,11,False
2018-05-06,34,False
2018-05-13,11,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,33,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,22,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,23,False
2018-08-05,11,False
2018-08-12,34,False
2018-08-19,23,False
2018-08-26,11,False
2018-09-02,34,False
2018-09-09,11,False
2018-09-16,11,False
2018-09-23,0,False
2018-09-30,22,False
2018-10-07,22,False
2018-10-14,11,False
2018-10-21,0,False
2018-10-28,34,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,45,False
2018-11-25,11,False
2018-12-02,22,False
2018-12-09,22,False
2018-12-16,11,False
2018-12-23,12,False
2018-12-30,12,False
2019-01-06,11,False
2019-01-13,33,False
2019-01-20,11,False
2019-01-27,11,False
2019-02-03,33,False
2019-02-10,22,False
2019-02-17,11,False
2019-02-24,21,False
2019-03-03,11,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,11,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,92,False
2019-04-21,34,False
2019-04-28,0,False
2019-05-05,11,False
2019-05-12,0,False
2019-05-19,11,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,11,False
2019-06-16,11,False
2019-06-23,22,False
2019-06-30,11,False
2019-07-07,11,False
2019-07-14,100,False
2019-07-21,23,False
2019-07-28,22,False
2019-08-04,0,False
2019-08-11,44,False
2019-08-18,0,False
