date,ROP,isPartial
2016-08-21,72,False
2016-08-28,71,False
2016-09-04,82,False
2016-09-11,64,False
2016-09-18,79,False
2016-09-25,75,False
2016-10-02,64,False
2016-10-09,66,False
2016-10-16,74,False
2016-10-23,70,False
2016-10-30,75,False
2016-11-06,63,False
2016-11-13,74,False
2016-11-20,67,False
2016-11-27,75,False
2016-12-04,69,False
2016-12-11,80,False
2016-12-18,71,False
2016-12-25,72,False
2017-01-01,68,False
2017-01-08,65,False
2017-01-15,67,False
2017-01-22,72,False
2017-01-29,73,False
2017-02-05,83,False
2017-02-12,72,False
2017-02-19,73,False
2017-02-26,78,False
2017-03-05,80,False
2017-03-12,100,False
2017-03-19,85,False
2017-03-26,81,False
2017-04-02,70,False
2017-04-09,67,False
2017-04-16,79,False
2017-04-23,75,False
2017-04-30,81,False
2017-05-07,77,False
2017-05-14,79,False
2017-05-21,84,False
2017-05-28,74,False
2017-06-04,85,False
2017-06-11,76,False
2017-06-18,83,False
2017-06-25,63,False
2017-07-02,69,False
2017-07-09,84,False
2017-07-16,66,False
2017-07-23,81,False
2017-07-30,83,False
2017-08-06,79,False
2017-08-13,67,False
2017-08-20,80,False
2017-08-27,65,False
2017-09-03,70,False
2017-09-10,73,False
2017-09-17,68,False
2017-09-24,71,False
2017-10-01,68,False
2017-10-08,71,False
2017-10-15,82,False
2017-10-22,75,False
2017-10-29,64,False
2017-11-05,71,False
2017-11-12,69,False
2017-11-19,70,False
2017-11-26,67,False
2017-12-03,62,False
2017-12-10,66,False
2017-12-17,76,False
2017-12-24,67,False
2017-12-31,65,False
2018-01-07,70,False
2018-01-14,71,False
2018-01-21,68,False
2018-01-28,71,False
2018-02-04,65,False
2018-02-11,62,False
2018-02-18,70,False
2018-02-25,71,False
2018-03-04,69,False
2018-03-11,80,False
2018-03-18,83,False
2018-03-25,72,False
2018-04-01,83,False
2018-04-08,84,False
2018-04-15,81,False
2018-04-22,89,False
2018-04-29,77,False
2018-05-06,79,False
2018-05-13,79,False
2018-05-20,78,False
2018-05-27,82,False
2018-06-03,72,False
2018-06-10,77,False
2018-06-17,75,False
2018-06-24,77,False
2018-07-01,65,False
2018-07-08,81,False
2018-07-15,70,False
2018-07-22,70,False
2018-07-29,76,False
2018-08-05,66,False
2018-08-12,68,False
2018-08-19,75,False
2018-08-26,67,False
2018-09-02,86,False
2018-09-09,73,False
2018-09-16,72,False
2018-09-23,62,False
2018-09-30,75,False
2018-10-07,71,False
2018-10-14,69,False
2018-10-21,60,False
2018-10-28,73,False
2018-11-04,88,False
2018-11-11,84,False
2018-11-18,75,False
2018-11-25,78,False
2018-12-02,73,False
2018-12-09,65,False
2018-12-16,63,False
2018-12-23,76,False
2018-12-30,68,False
2019-01-06,72,False
2019-01-13,74,False
2019-01-20,80,False
2019-01-27,71,False
2019-02-03,66,False
2019-02-10,78,False
2019-02-17,63,False
2019-02-24,64,False
2019-03-03,67,False
2019-03-10,70,False
2019-03-17,75,False
2019-03-24,72,False
2019-03-31,73,False
2019-04-07,69,False
2019-04-14,65,False
2019-04-21,60,False
2019-04-28,68,False
2019-05-05,65,False
2019-05-12,65,False
2019-05-19,68,False
2019-05-26,77,False
2019-06-02,62,False
2019-06-09,68,False
2019-06-16,65,False
2019-06-23,66,False
2019-06-30,70,False
2019-07-07,65,False
2019-07-14,66,False
2019-07-21,68,False
2019-07-28,62,False
2019-08-04,60,False
2019-08-11,66,False
2019-08-18,66,False
2019-08-25,72,False
2019-09-01,71,False
2019-09-08,77,False
2019-09-15,71,False
2019-09-22,72,False
2019-09-29,78,False
2019-10-06,65,False
2019-10-13,73,False
2019-10-20,71,False
2019-10-27,65,False
2019-11-03,72,False
2019-11-10,74,False
2019-11-17,76,False
2019-11-24,70,False
2019-12-01,89,False
2019-12-08,72,False
2019-12-15,68,False
2019-12-22,58,False
2019-12-29,61,False
2020-01-05,65,False
2020-01-12,61,False
2020-01-19,68,False
2020-01-26,72,False
2020-02-02,73,False
2020-02-09,64,False
2020-02-16,74,False
2020-02-23,60,False
2020-03-01,69,False
2020-03-08,66,False
2020-03-15,55,False
2020-03-22,56,False
2020-03-29,46,False
2020-04-05,58,False
2020-04-12,60,False
2020-04-19,65,False
2020-04-26,57,False
2020-05-03,57,False
2020-05-10,67,False
2020-05-17,68,False
2020-05-24,61,False
2020-05-31,66,False
2020-06-07,81,False
2020-06-14,66,False
2020-06-21,71,False
2020-06-28,59,False
2020-07-05,62,False
2020-07-12,61,False
2020-07-19,64,False
2020-07-26,64,False
2020-08-02,63,False
2020-08-09,70,False
2020-08-16,68,False
2020-08-23,71,False
2020-08-30,59,False
2020-09-06,76,False
2020-09-13,68,False
2020-09-20,65,False
2020-09-27,75,False
2020-10-04,68,False
2020-10-11,76,False
2020-10-18,73,False
2020-10-25,71,False
2020-11-01,60,False
2020-11-08,68,False
2020-11-15,66,False
2020-11-22,63,False
2020-11-29,64,False
2020-12-06,58,False
2020-12-13,65,False
2020-12-20,61,False
2020-12-27,62,False
2021-01-03,67,False
2021-01-10,67,False
2021-01-17,59,False
2021-01-24,66,False
2021-01-31,69,False
2021-02-07,70,False
2021-02-14,63,False
2021-02-21,71,False
2021-02-28,61,False
2021-03-07,69,False
2021-03-14,62,False
2021-03-21,79,False
2021-03-28,63,False
2021-04-04,64,False
2021-04-11,54,False
2021-04-18,66,False
2021-04-25,59,False
2021-05-02,62,False
2021-05-09,60,False
2021-05-16,53,False
2021-05-23,63,False
2021-05-30,61,False
2021-06-06,76,False
2021-06-13,62,False
2021-06-20,58,False
2021-06-27,66,False
2021-07-04,63,False
2021-07-11,73,False
2021-07-18,50,False
2021-07-25,71,False
2021-08-01,68,False
2021-08-08,72,True
