date,CSX,isPartial
2016-08-21,36,False
2016-08-28,42,False
2016-09-04,36,False
2016-09-11,40,False
2016-09-18,42,False
2016-09-25,50,False
2016-10-02,42,False
2016-10-09,48,False
2016-10-16,42,False
2016-10-23,46,False
2016-10-30,43,False
2016-11-06,40,False
2016-11-13,48,False
2016-11-20,41,False
2016-11-27,47,False
2016-12-04,50,False
2016-12-11,51,False
2016-12-18,47,False
2016-12-25,38,False
2017-01-01,39,False
2017-01-08,42,False
2017-01-15,77,False
2017-01-22,70,False
2017-01-29,73,False
2017-02-05,69,False
2017-02-12,61,False
2017-02-19,73,False
2017-02-26,70,False
2017-03-05,89,False
2017-03-12,60,False
2017-03-19,66,False
2017-03-26,52,False
2017-04-02,56,False
2017-04-09,50,False
2017-04-16,62,False
2017-04-23,67,False
2017-04-30,65,False
2017-05-07,59,False
2017-05-14,57,False
2017-05-21,53,False
2017-05-28,52,False
2017-06-04,62,False
2017-06-11,55,False
2017-06-18,51,False
2017-06-25,68,False
2017-07-02,54,False
2017-07-09,53,False
2017-07-16,77,False
2017-07-23,69,False
2017-07-30,75,False
2017-08-06,70,False
2017-08-13,63,False
2017-08-20,58,False
2017-08-27,57,False
2017-09-03,49,False
2017-09-10,45,False
2017-09-17,55,False
2017-09-24,54,False
2017-10-01,47,False
2017-10-08,48,False
2017-10-15,54,False
2017-10-22,55,False
2017-10-29,52,False
2017-11-05,50,False
2017-11-12,54,False
2017-11-19,43,False
2017-11-26,59,False
2017-12-03,55,False
2017-12-10,83,False
2017-12-17,100,False
2017-12-24,50,False
2017-12-31,55,False
2018-01-07,53,False
2018-01-14,58,False
2018-01-21,54,False
2018-01-28,48,False
2018-02-04,70,False
2018-02-11,61,False
2018-02-18,49,False
2018-02-25,50,False
2018-03-04,54,False
2018-03-11,46,False
2018-03-18,48,False
2018-03-25,43,False
2018-04-01,49,False
2018-04-08,44,False
2018-04-15,53,False
2018-04-22,55,False
2018-04-29,49,False
2018-05-06,48,False
2018-05-13,54,False
2018-05-20,55,False
2018-05-27,48,False
2018-06-03,53,False
2018-06-10,48,False
2018-06-17,54,False
2018-06-24,55,False
2018-07-01,44,False
2018-07-08,46,False
2018-07-15,64,False
2018-07-22,62,False
2018-07-29,66,False
2018-08-05,57,False
2018-08-12,61,False
2018-08-19,50,False
2018-08-26,55,False
2018-09-02,44,False
2018-09-09,44,False
2018-09-16,49,False
2018-09-23,44,False
2018-09-30,51,False
2018-10-07,46,False
2018-10-14,55,False
2018-10-21,49,False
2018-10-28,47,False
2018-11-04,47,False
2018-11-11,46,False
2018-11-18,45,False
2018-11-25,48,False
2018-12-02,50,False
2018-12-09,41,False
2018-12-16,53,False
2018-12-23,54,False
2018-12-30,53,False
2019-01-06,51,False
2019-01-13,50,False
2019-01-20,52,False
2019-01-27,53,False
2019-02-03,55,False
2019-02-10,45,False
2019-02-17,42,False
2019-02-24,46,False
2019-03-03,46,False
2019-03-10,43,False
2019-03-17,40,False
2019-03-24,50,False
2019-03-31,43,False
2019-04-07,47,False
2019-04-14,53,False
2019-04-21,39,False
2019-04-28,38,False
2019-05-05,40,False
2019-05-12,38,False
2019-05-19,38,False
2019-05-26,42,False
2019-06-02,39,False
2019-06-09,47,False
2019-06-16,53,False
2019-06-23,36,False
2019-06-30,42,False
2019-07-07,42,False
2019-07-14,72,False
2019-07-21,48,False
2019-07-28,51,False
2019-08-04,45,False
2019-08-11,49,False
2019-08-18,42,False
2019-08-25,46,False
2019-09-01,42,False
2019-09-08,48,False
2019-09-15,37,False
2019-09-22,42,False
2019-09-29,43,False
2019-10-06,36,False
2019-10-13,45,False
2019-10-20,50,False
2019-10-27,38,False
2019-11-03,44,False
2019-11-10,38,False
2019-11-17,38,False
2019-11-24,39,False
2019-12-01,42,False
2019-12-08,46,False
2019-12-15,45,False
2019-12-22,34,False
2019-12-29,35,False
2020-01-05,42,False
2020-01-12,52,False
2020-01-19,38,False
2020-01-26,44,False
2020-02-02,43,False
2020-02-09,46,False
2020-02-16,43,False
2020-02-23,45,False
2020-03-01,40,False
2020-03-08,51,False
2020-03-15,44,False
2020-03-22,38,False
2020-03-29,36,False
2020-04-05,36,False
2020-04-12,36,False
2020-04-19,43,False
2020-04-26,38,False
2020-05-03,37,False
2020-05-10,40,False
2020-05-17,37,False
2020-05-24,39,False
2020-05-31,39,False
2020-06-07,36,False
2020-06-14,37,False
2020-06-21,35,False
2020-06-28,35,False
2020-07-05,32,False
2020-07-12,37,False
2020-07-19,40,False
2020-07-26,31,False
2020-08-02,37,False
2020-08-09,39,False
2020-08-16,34,False
2020-08-23,41,False
2020-08-30,37,False
2020-09-06,35,False
2020-09-13,37,False
2020-09-20,34,False
2020-09-27,34,False
2020-10-04,45,False
2020-10-11,42,False
2020-10-18,39,False
2020-10-25,37,False
2020-11-01,36,False
2020-11-08,39,False
2020-11-15,38,False
2020-11-22,37,False
2020-11-29,41,False
2020-12-06,41,False
2020-12-13,40,False
2020-12-20,37,False
2020-12-27,31,False
2021-01-03,37,False
2021-01-10,40,False
2021-01-17,45,False
2021-01-24,46,False
2021-01-31,36,False
2021-02-07,35,False
2021-02-14,31,False
2021-02-21,33,False
2021-02-28,37,False
2021-03-07,41,False
2021-03-14,34,False
2021-03-21,37,False
2021-03-28,34,False
2021-04-04,35,False
2021-04-11,33,False
2021-04-18,44,False
2021-04-25,36,False
2021-05-02,41,False
2021-05-09,41,False
2021-05-16,41,False
2021-05-23,35,False
2021-05-30,36,False
2021-06-06,39,False
2021-06-13,44,False
2021-06-20,40,False
2021-06-27,59,False
2021-07-04,45,False
2021-07-11,48,False
2021-07-18,45,False
2021-07-25,46,False
2021-08-01,38,False
2021-08-08,43,True
