date,ORLY,isPartial
2016-08-21,29,False
2016-08-28,35,False
2016-09-04,31,False
2016-09-11,31,False
2016-09-18,25,False
2016-09-25,27,False
2016-10-02,28,False
2016-10-09,29,False
2016-10-16,29,False
2016-10-23,31,False
2016-10-30,28,False
2016-11-06,29,False
2016-11-13,26,False
2016-11-20,26,False
2016-11-27,24,False
2016-12-04,24,False
2016-12-11,30,False
2016-12-18,31,False
2016-12-25,33,False
2017-01-01,29,False
2017-01-08,29,False
2017-01-15,26,False
2017-01-22,28,False
2017-01-29,26,False
2017-02-05,31,False
2017-02-12,27,False
2017-02-19,30,False
2017-02-26,29,False
2017-03-05,30,False
2017-03-12,100,False
2017-03-19,61,False
2017-03-26,31,False
2017-04-02,30,False
2017-04-09,28,False
2017-04-16,30,False
2017-04-23,30,False
2017-04-30,32,False
2017-05-07,29,False
2017-05-14,31,False
2017-05-21,30,False
2017-05-28,30,False
2017-06-04,30,False
2017-06-11,31,False
2017-06-18,32,False
2017-06-25,36,False
2017-07-02,37,False
2017-07-09,41,False
2017-07-16,36,False
2017-07-23,37,False
2017-07-30,36,False
2017-08-06,34,False
2017-08-13,31,False
2017-08-20,30,False
2017-08-27,33,False
2017-09-03,32,False
2017-09-10,32,False
2017-09-17,30,False
2017-09-24,32,False
2017-10-01,28,False
2017-10-08,30,False
2017-10-15,31,False
2017-10-22,30,False
2017-10-29,26,False
2017-11-05,29,False
2017-11-12,28,False
2017-11-19,26,False
2017-11-26,27,False
2017-12-03,28,False
2017-12-10,30,False
2017-12-17,32,False
2017-12-24,30,False
2017-12-31,33,False
2018-01-07,30,False
2018-01-14,31,False
2018-01-21,29,False
2018-01-28,29,False
2018-02-04,44,False
2018-02-11,30,False
2018-02-18,30,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,31,False
2018-03-18,34,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,32,False
2018-04-22,32,False
2018-04-29,34,False
2018-05-06,33,False
2018-05-13,30,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,29,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,32,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,31,False
2018-07-22,33,False
2018-07-29,68,False
2018-08-05,40,False
2018-08-12,34,False
2018-08-19,34,False
2018-08-26,33,False
2018-09-02,33,False
2018-09-09,34,False
2018-09-16,33,False
2018-09-23,31,False
2018-09-30,29,False
2018-10-07,30,False
2018-10-14,29,False
2018-10-21,32,False
2018-10-28,29,False
2018-11-04,27,False
2018-11-11,30,False
2018-11-18,27,False
2018-11-25,28,False
2018-12-02,24,False
2018-12-09,27,False
2018-12-16,29,False
2018-12-23,31,False
2018-12-30,28,False
2019-01-06,27,False
2019-01-13,29,False
2019-01-20,32,False
2019-01-27,31,False
2019-02-03,31,False
2019-02-10,29,False
2019-02-17,28,False
2019-02-24,30,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,30,False
2019-03-31,34,False
2019-04-07,34,False
2019-04-14,32,False
2019-04-21,29,False
2019-04-28,33,False
2019-05-05,32,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,29,False
2019-06-02,36,False
2019-06-09,32,False
2019-06-16,34,False
2019-06-23,34,False
2019-06-30,37,False
2019-07-07,35,False
2019-07-14,34,False
2019-07-21,34,False
2019-07-28,36,False
2019-08-04,33,False
2019-08-11,36,False
2019-08-18,31,False
2019-08-25,32,False
2019-09-01,32,False
2019-09-08,32,False
2019-09-15,33,False
2019-09-22,30,False
2019-09-29,32,False
2019-10-06,32,False
2019-10-13,32,False
2019-10-20,28,False
2019-10-27,30,False
2019-11-03,32,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,26,False
2019-12-01,31,False
2019-12-08,34,False
2019-12-15,36,False
2019-12-22,35,False
2019-12-29,31,False
2020-01-05,33,False
2020-01-12,30,False
2020-01-19,29,False
2020-01-26,29,False
2020-02-02,30,False
2020-02-09,30,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,15,False
2020-03-29,12,False
2020-04-05,11,False
2020-04-12,12,False
2020-04-19,11,False
2020-04-26,10,False
2020-05-03,13,False
2020-05-10,15,False
2020-05-17,13,False
2020-05-24,14,False
2020-05-31,14,False
2020-06-07,16,False
2020-06-14,17,False
2020-06-21,20,False
2020-06-28,20,False
2020-07-05,20,False
2020-07-12,19,False
2020-07-19,18,False
2020-07-26,20,False
2020-08-02,21,False
