date,ULTA,isPartial
2016-08-21,38,False
2016-08-28,38,False
2016-09-04,42,False
2016-09-11,41,False
2016-09-18,37,False
2016-09-25,37,False
2016-10-02,36,False
2016-10-09,38,False
2016-10-16,36,False
2016-10-23,34,False
2016-10-30,35,False
2016-11-06,37,False
2016-11-13,43,False
2016-11-20,79,False
2016-11-27,59,False
2016-12-04,51,False
2016-12-11,59,False
2016-12-18,76,False
2016-12-25,61,False
2017-01-01,43,False
2017-01-08,38,False
2017-01-15,37,False
2017-01-22,38,False
2017-01-29,35,False
2017-02-05,36,False
2017-02-12,37,False
2017-02-19,39,False
2017-02-26,38,False
2017-03-05,36,False
2017-03-12,40,False
2017-03-19,47,False
2017-03-26,43,False
2017-04-02,42,False
2017-04-09,40,False
2017-04-16,38,False
2017-04-23,36,False
2017-04-30,37,False
2017-05-07,39,False
2017-05-14,38,False
2017-05-21,36,False
2017-05-28,38,False
2017-06-04,36,False
2017-06-11,37,False
2017-06-18,38,False
2017-06-25,40,False
2017-07-02,41,False
2017-07-09,40,False
2017-07-16,38,False
2017-07-23,44,False
2017-07-30,42,False
2017-08-06,42,False
2017-08-13,41,False
2017-08-20,37,False
2017-08-27,38,False
2017-09-03,44,False
2017-09-10,41,False
2017-09-17,42,False
2017-09-24,37,False
2017-10-01,38,False
2017-10-08,40,False
2017-10-15,40,False
2017-10-22,43,False
2017-10-29,38,False
2017-11-05,43,False
2017-11-12,49,False
2017-11-19,92,False
2017-11-26,66,False
2017-12-03,55,False
2017-12-10,64,False
2017-12-17,78,False
2017-12-24,74,False
2017-12-31,63,False
2018-01-07,42,False
2018-01-14,40,False
2018-01-21,39,False
2018-01-28,40,False
2018-02-04,38,False
2018-02-11,38,False
2018-02-18,39,False
2018-02-25,39,False
2018-03-04,39,False
2018-03-11,44,False
2018-03-18,48,False
2018-03-25,50,False
2018-04-01,49,False
2018-04-08,40,False
2018-04-15,43,False
2018-04-22,37,False
2018-04-29,36,False
2018-05-06,39,False
2018-05-13,38,False
2018-05-20,38,False
2018-05-27,39,False
2018-06-03,37,False
2018-06-10,35,False
2018-06-17,36,False
2018-06-24,40,False
2018-07-01,39,False
2018-07-08,42,False
2018-07-15,40,False
2018-07-22,41,False
2018-07-29,41,False
2018-08-05,40,False
2018-08-12,39,False
2018-08-19,40,False
2018-08-26,43,False
2018-09-02,47,False
2018-09-09,44,False
2018-09-16,45,False
2018-09-23,41,False
2018-09-30,41,False
2018-10-07,37,False
2018-10-14,39,False
2018-10-21,37,False
2018-10-28,38,False
2018-11-04,43,False
2018-11-11,54,False
2018-11-18,100,False
2018-11-25,65,False
