date,TGT,isPartial
2016-08-21,32,False
2016-08-28,28,False
2016-09-04,33,False
2016-09-11,39,False
2016-09-18,40,False
2016-09-25,35,False
2016-10-02,29,False
2016-10-09,29,False
2016-10-16,30,False
2016-10-23,20,False
2016-10-30,25,False
2016-11-06,22,False
2016-11-13,30,False
2016-11-20,29,False
2016-11-27,29,False
2016-12-04,37,False
2016-12-11,36,False
2016-12-18,40,False
2016-12-25,29,False
2017-01-01,36,False
2017-01-08,37,False
2017-01-15,27,False
2017-01-22,25,False
2017-01-29,32,False
2017-02-05,36,False
2017-02-12,30,False
2017-02-19,27,False
2017-02-26,46,False
2017-03-05,35,False
2017-03-12,29,False
2017-03-19,33,False
2017-03-26,29,False
2017-04-02,30,False
2017-04-09,30,False
2017-04-16,33,False
2017-04-23,30,False
2017-04-30,31,False
2017-05-07,33,False
2017-05-14,40,False
2017-05-21,38,False
2017-05-28,33,False
2017-06-04,33,False
2017-06-11,42,False
2017-06-18,45,False
2017-06-25,37,False
2017-07-02,36,False
2017-07-09,39,False
2017-07-16,38,False
2017-07-23,33,False
2017-07-30,29,False
2017-08-06,30,False
2017-08-13,38,False
2017-08-20,42,False
2017-08-27,32,False
2017-09-03,36,False
2017-09-10,36,False
2017-09-17,30,False
2017-09-24,31,False
2017-10-01,35,False
2017-10-08,31,False
2017-10-15,29,False
2017-10-22,36,False
2017-10-29,32,False
2017-11-05,28,False
2017-11-12,35,False
2017-11-19,27,False
2017-11-26,32,False
2017-12-03,32,False
2017-12-10,34,False
2017-12-17,36,False
2017-12-24,39,False
2017-12-31,34,False
2018-01-07,38,False
2018-01-14,35,False
2018-01-21,34,False
2018-01-28,35,False
2018-02-04,31,False
2018-02-11,30,False
2018-02-18,28,False
2018-02-25,26,False
2018-03-04,33,False
2018-03-11,27,False
2018-03-18,28,False
2018-03-25,24,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,24,False
2018-04-22,25,False
2018-04-29,25,False
2018-05-06,26,False
2018-05-13,27,False
2018-05-20,28,False
2018-05-27,29,False
2018-06-03,33,False
2018-06-10,27,False
2018-06-17,26,False
2018-06-24,28,False
2018-07-01,30,False
2018-07-08,34,False
2018-07-15,33,False
2018-07-22,33,False
2018-07-29,37,False
2018-08-05,41,False
2018-08-12,43,False
2018-08-19,50,False
2018-08-26,38,False
2018-09-02,52,False
2018-09-09,50,False
2018-09-16,46,False
2018-09-23,36,False
2018-09-30,33,False
2018-10-07,40,False
2018-10-14,24,False
2018-10-21,27,False
2018-10-28,35,False
2018-11-04,20,False
2018-11-11,26,False
2018-11-18,37,False
2018-11-25,35,False
2018-12-02,32,False
2018-12-09,42,False
2018-12-16,47,False
2018-12-23,41,False
2018-12-30,28,False
2019-01-06,59,False
2019-01-13,46,False
2019-01-20,45,False
2019-01-27,48,False
2019-02-03,42,False
2019-02-10,43,False
2019-02-17,58,False
2019-02-24,42,False
2019-03-03,60,False
2019-03-10,36,False
2019-03-17,29,False
2019-03-24,35,False
2019-03-31,25,False
2019-04-07,26,False
2019-04-14,20,False
2019-04-21,21,False
2019-04-28,22,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,26,False
2019-05-26,24,False
2019-06-02,22,False
2019-06-09,21,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,36,False
2019-07-14,29,False
2019-07-21,33,False
2019-07-28,39,False
2019-08-04,32,False
2019-08-11,27,False
2019-08-18,41,False
2019-08-25,35,False
2019-09-01,28,False
2019-09-08,31,False
2019-09-15,32,False
2019-09-22,35,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,22,False
2019-10-20,26,False
2019-10-27,35,False
2019-11-03,27,False
2019-11-10,29,False
2019-11-17,43,False
2019-11-24,29,False
