date,NLOK,isPartial
2016-08-21,0,False
2016-08-28,2,False
2016-09-04,0,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,5,False
2016-10-09,0,False
2016-10-16,7,False
2016-10-23,0,False
2016-10-30,2,False
2016-11-06,5,False
2016-11-13,0,False
2016-11-20,5,False
2016-11-27,0,False
2016-12-04,2,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,2,False
2017-01-08,4,False
2017-01-15,2,False
2017-01-22,0,False
2017-01-29,2,False
2017-02-05,0,False
2017-02-12,2,False
2017-02-19,4,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,2,False
2017-03-19,2,False
2017-03-26,0,False
2017-04-02,2,False
2017-04-09,0,False
2017-04-16,2,False
2017-04-23,0,False
2017-04-30,2,False
2017-05-07,2,False
2017-05-14,2,False
2017-05-21,2,False
2017-05-28,0,False
2017-06-04,2,False
2017-06-11,0,False
2017-06-18,0,False
2017-06-25,2,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,2,False
2017-07-23,2,False
2017-07-30,2,False
2017-08-06,2,False
2017-08-13,2,False
2017-08-20,0,False
2017-08-27,2,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,4,False
2017-09-24,0,False
2017-10-01,2,False
2017-10-08,0,False
2017-10-15,2,False
2017-10-22,0,False
2017-10-29,2,False
2017-11-05,0,False
2017-11-12,2,False
2017-11-19,2,False
2017-11-26,2,False
2017-12-03,0,False
2017-12-10,2,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,2,False
2018-01-07,2,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,2,False
2018-02-18,4,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,4,False
2018-03-18,0,False
2018-03-25,4,False
2018-04-01,0,False
2018-04-08,2,False
2018-04-15,4,False
2018-04-22,2,False
2018-04-29,0,False
2018-05-06,2,False
2018-05-13,6,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,2,False
2018-06-10,4,False
2018-06-17,0,False
2018-06-24,4,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,4,False
2018-07-29,2,False
2018-08-05,2,False
2018-08-12,0,False
2018-08-19,2,False
2018-08-26,2,False
2018-09-02,2,False
2018-09-09,0,False
2018-09-16,4,False
2018-09-23,6,False
2018-09-30,6,False
2018-10-07,2,False
2018-10-14,0,False
2018-10-21,2,False
2018-10-28,0,False
2018-11-04,2,False
2018-11-11,2,False
2018-11-18,4,False
2018-11-25,2,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,6,False
2018-12-23,0,False
2018-12-30,4,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,4,False
2019-02-03,2,False
2019-02-10,4,False
2019-02-17,4,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,2,False
2019-03-17,2,False
2019-03-24,4,False
2019-03-31,0,False
2019-04-07,6,False
2019-04-14,2,False
2019-04-21,2,False
2019-04-28,2,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,2,False
2019-07-21,0,False
2019-07-28,4,False
2019-08-04,0,False
2019-08-11,2,False
2019-08-18,0,False
2019-08-25,2,False
2019-09-01,0,False
2019-09-08,2,False
2019-09-15,0,False
2019-09-22,6,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,2,False
2019-10-20,2,False
2019-10-27,0,False
2019-11-03,29,False
2019-11-10,15,False
2019-11-17,24,False
2019-11-24,20,False
2019-12-01,6,False
2019-12-08,38,False
2019-12-15,17,False
2019-12-22,16,False
2019-12-29,12,False
2020-01-05,40,False
2020-01-12,55,False
2020-01-19,49,False
2020-01-26,47,False
2020-02-02,100,False
2020-02-09,58,False
2020-02-16,47,False
2020-02-23,46,False
2020-03-01,19,False
2020-03-08,42,False
2020-03-15,25,False
2020-03-22,21,False
2020-03-29,30,False
2020-04-05,23,False
2020-04-12,27,False
2020-04-19,17,False
2020-04-26,17,False
2020-05-03,24,False
2020-05-10,33,False
2020-05-17,28,False
2020-05-24,16,False
2020-05-31,27,False
2020-06-07,15,False
2020-06-14,25,False
2020-06-21,18,False
2020-06-28,14,False
2020-07-05,19,False
2020-07-12,28,False
2020-07-19,21,False
2020-07-26,20,False
2020-08-02,37,False
2020-08-09,22,False
2020-08-16,29,False
2020-08-23,31,False
2020-08-30,28,False
2020-09-06,22,False
2020-09-13,22,False
2020-09-20,17,False
2020-09-27,28,False
2020-10-04,21,False
2020-10-11,13,False
2020-10-18,16,False
2020-10-25,9,False
2020-11-01,25,False
2020-11-08,23,False
2020-11-15,18,False
2020-11-22,20,False
2020-11-29,36,False
2020-12-06,21,False
2020-12-13,34,False
2020-12-20,23,False
2020-12-27,19,False
2021-01-03,21,False
2021-01-10,21,False
2021-01-17,19,False
2021-01-24,23,False
2021-01-31,37,False
2021-02-07,28,False
2021-02-14,18,False
2021-02-21,23,False
2021-02-28,18,False
2021-03-07,37,False
2021-03-14,7,False
2021-03-21,14,False
2021-03-28,9,False
2021-04-04,16,False
2021-04-11,16,False
2021-04-18,12,False
2021-04-25,7,False
2021-05-02,5,False
2021-05-09,34,False
2021-05-16,30,False
2021-05-23,29,False
2021-05-30,25,False
2021-06-06,18,False
2021-06-13,20,False
2021-06-20,26,False
2021-06-27,18,False
2021-07-04,19,False
2021-07-11,18,False
2021-07-18,11,False
2021-07-25,11,False
2021-08-01,7,False
2021-08-08,36,True
