date,ZBRA,isPartial
2016-08-21,7,False
2016-08-28,7,False
2016-09-04,21,False
2016-09-11,42,False
2016-09-18,27,False
2016-09-25,14,False
2016-10-02,20,False
2016-10-09,0,False
2016-10-16,41,False
2016-10-23,41,False
2016-10-30,14,False
2016-11-06,20,False
2016-11-13,40,False
2016-11-20,13,False
2016-11-27,26,False
2016-12-04,38,False
2016-12-11,39,False
2016-12-18,14,False
2016-12-25,21,False
2017-01-01,20,False
2017-01-08,13,False
2017-01-15,31,False
2017-01-22,13,False
2017-01-29,12,False
2017-02-05,12,False
2017-02-12,25,False
2017-02-19,19,False
2017-02-26,18,False
2017-03-05,12,False
2017-03-12,6,False
2017-03-19,6,False
2017-03-26,19,False
2017-04-02,31,False
2017-04-09,26,False
2017-04-16,37,False
2017-04-23,12,False
2017-04-30,31,False
2017-05-07,31,False
2017-05-14,13,False
2017-05-21,47,False
2017-05-28,27,False
2017-06-04,7,False
2017-06-11,27,False
2017-06-18,6,False
2017-06-25,34,False
2017-07-02,21,False
2017-07-09,13,False
2017-07-16,27,False
2017-07-23,7,False
2017-07-30,13,False
2017-08-06,19,False
2017-08-13,6,False
2017-08-20,32,False
2017-08-27,26,False
2017-09-03,13,False
2017-09-10,25,False
2017-09-17,13,False
2017-09-24,19,False
2017-10-01,12,False
2017-10-08,12,False
2017-10-15,6,False
2017-10-22,6,False
2017-10-29,44,False
2017-11-05,30,False
2017-11-12,30,False
2017-11-19,18,False
2017-11-26,30,False
2017-12-03,6,False
2017-12-10,6,False
2017-12-17,38,False
2017-12-24,20,False
2017-12-31,25,False
2018-01-07,18,False
2018-01-14,59,False
2018-01-21,35,False
2018-01-28,35,False
2018-02-04,41,False
2018-02-11,18,False
2018-02-18,17,False
2018-02-25,17,False
2018-03-04,29,False
2018-03-11,17,False
2018-03-18,23,False
2018-03-25,18,False
2018-04-01,0,False
2018-04-08,6,False
2018-04-15,24,False
2018-04-22,6,False
2018-04-29,24,False
2018-05-06,24,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,12,False
2018-06-03,41,False
2018-06-10,6,False
2018-06-17,29,False
2018-06-24,41,False
2018-07-01,12,False
2018-07-08,23,False
2018-07-15,30,False
2018-07-22,18,False
2018-07-29,18,False
2018-08-05,23,False
2018-08-12,12,False
2018-08-19,12,False
2018-08-26,18,False
2018-09-02,12,False
2018-09-09,11,False
2018-09-16,40,False
2018-09-23,17,False
2018-09-30,34,False
2018-10-07,6,False
2018-10-14,29,False
2018-10-21,17,False
2018-10-28,23,False
2018-11-04,17,False
2018-11-11,35,False
2018-11-18,29,False
2018-11-25,17,False
2018-12-02,29,False
2018-12-09,17,False
2018-12-16,24,False
2018-12-23,45,False
2018-12-30,57,False
2019-01-06,12,False
2019-01-13,40,False
2019-01-20,34,False
2019-01-27,22,False
2019-02-03,11,False
2019-02-10,0,False
2019-02-17,39,False
2019-02-24,22,False
2019-03-03,23,False
2019-03-10,17,False
2019-03-17,34,False
2019-03-24,17,False
2019-03-31,23,False
