date,MRO,isPartial
2016-08-21,58,False
2016-08-28,47,False
2016-09-04,38,False
2016-09-11,46,False
2016-09-18,52,False
2016-09-25,54,False
2016-10-02,45,False
2016-10-09,45,False
2016-10-16,47,False
2016-10-23,40,False
2016-10-30,39,False
2016-11-06,39,False
2016-11-13,47,False
2016-11-20,38,False
2016-11-27,47,False
2016-12-04,47,False
2016-12-11,47,False
2016-12-18,41,False
2016-12-25,27,False
2017-01-01,37,False
2017-01-08,40,False
2017-01-15,44,False
2017-01-22,45,False
2017-01-29,40,False
2017-02-05,54,False
2017-02-12,52,False
2017-02-19,46,False
2017-02-26,42,False
2017-03-05,45,False
2017-03-12,50,False
2017-03-19,44,False
2017-03-26,47,False
2017-04-02,47,False
2017-04-09,44,False
2017-04-16,47,False
2017-04-23,50,False
2017-04-30,41,False
2017-05-07,48,False
2017-05-14,46,False
2017-05-21,40,False
2017-05-28,41,False
2017-06-04,40,False
2017-06-11,35,False
2017-06-18,42,False
2017-06-25,44,False
2017-07-02,48,False
2017-07-09,45,False
2017-07-16,40,False
2017-07-23,44,False
2017-07-30,36,False
2017-08-06,41,False
2017-08-13,49,False
2017-08-20,45,False
2017-08-27,42,False
2017-09-03,47,False
2017-09-10,47,False
2017-09-17,46,False
2017-09-24,48,False
2017-10-01,43,False
2017-10-08,42,False
2017-10-15,49,False
2017-10-22,37,False
2017-10-29,45,False
2017-11-05,43,False
2017-11-12,47,False
2017-11-19,35,False
2017-11-26,48,False
2017-12-03,46,False
2017-12-10,41,False
2017-12-17,43,False
2017-12-24,38,False
2017-12-31,45,False
2018-01-07,61,False
2018-01-14,47,False
2018-01-21,49,False
2018-01-28,45,False
2018-02-04,49,False
2018-02-11,41,False
2018-02-18,38,False
2018-02-25,47,False
2018-03-04,55,False
2018-03-11,44,False
2018-03-18,55,False
2018-03-25,44,False
2018-04-01,43,False
2018-04-08,47,False
2018-04-15,45,False
2018-04-22,35,False
2018-04-29,50,False
2018-05-06,41,False
2018-05-13,43,False
2018-05-20,43,False
2018-05-27,42,False
2018-06-03,47,False
2018-06-10,42,False
2018-06-17,42,False
2018-06-24,37,False
2018-07-01,38,False
2018-07-08,46,False
2018-07-15,42,False
2018-07-22,43,False
2018-07-29,42,False
2018-08-05,39,False
2018-08-12,46,False
2018-08-19,40,False
2018-08-26,49,False
2018-09-02,40,False
2018-09-09,45,False
2018-09-16,40,False
2018-09-23,44,False
2018-09-30,47,False
2018-10-07,48,False
2018-10-14,52,False
2018-10-21,39,False
2018-10-28,39,False
2018-11-04,41,False
2018-11-11,46,False
2018-11-18,39,False
2018-11-25,43,False
2018-12-02,46,False
2018-12-09,42,False
2018-12-16,36,False
2018-12-23,30,False
2018-12-30,32,False
2019-01-06,47,False
2019-01-13,51,False
2019-01-20,45,False
2019-01-27,48,False
2019-02-03,48,False
2019-02-10,50,False
2019-02-17,44,False
2019-02-24,47,False
2019-03-03,41,False
2019-03-10,45,False
2019-03-17,56,False
2019-03-24,44,False
2019-03-31,51,False
2019-04-07,46,False
2019-04-14,41,False
2019-04-21,46,False
2019-04-28,39,False
2019-05-05,47,False
2019-05-12,38,False
2019-05-19,45,False
2019-05-26,38,False
2019-06-02,39,False
2019-06-09,39,False
2019-06-16,47,False
2019-06-23,45,False
2019-06-30,44,False
2019-07-07,56,False
2019-07-14,56,False
2019-07-21,45,False
2019-07-28,46,False
2019-08-04,38,False
2019-08-11,47,False
2019-08-18,40,False
2019-08-25,42,False
2019-09-01,46,False
2019-09-08,47,False
2019-09-15,50,False
2019-09-22,49,False
2019-09-29,45,False
2019-10-06,51,False
2019-10-13,55,False
2019-10-20,43,False
2019-10-27,37,False
2019-11-03,70,False
2019-11-10,49,False
2019-11-17,50,False
2019-11-24,37,False
2019-12-01,43,False
2019-12-08,41,False
2019-12-15,41,False
2019-12-22,34,False
2019-12-29,35,False
2020-01-05,48,False
2020-01-12,44,False
2020-01-19,43,False
2020-01-26,41,False
2020-02-02,46,False
2020-02-09,50,False
2020-02-16,52,False
2020-02-23,48,False
2020-03-01,54,False
2020-03-08,84,False
2020-03-15,74,False
2020-03-22,76,False
2020-03-29,76,False
2020-04-05,82,False
2020-04-12,86,False
2020-04-19,93,False
2020-04-26,100,False
2020-05-03,80,False
2020-05-10,84,False
2020-05-17,73,False
2020-05-24,63,False
2020-05-31,71,False
