date,NWSA,isPartial
2016-08-21,59,False
2016-08-28,29,False
2016-09-04,48,False
2016-09-11,38,False
2016-09-18,0,False
2016-09-25,37,False
2016-10-02,28,False
2016-10-09,37,False
2016-10-16,55,False
2016-10-23,55,False
2016-10-30,46,False
2016-11-06,62,False
2016-11-13,27,False
2016-11-20,9,False
2016-11-27,52,False
2016-12-04,43,False
2016-12-11,44,False
2016-12-18,9,False
2016-12-25,10,False
2017-01-01,36,False
2017-01-08,43,False
2017-01-15,85,False
2017-01-22,93,False
2017-01-29,17,False
2017-02-05,67,False
2017-02-12,33,False
2017-02-19,42,False
2017-02-26,50,False
2017-03-05,33,False
2017-03-12,49,False
2017-03-19,34,False
2017-03-26,59,False
2017-04-02,25,False
2017-04-09,17,False
2017-04-16,34,False
2017-04-23,75,False
2017-04-30,17,False
2017-05-07,33,False
2017-05-14,63,False
2017-05-21,55,False
2017-05-28,27,False
2017-06-04,27,False
2017-06-11,18,False
2017-06-18,9,False
2017-06-25,18,False
2017-07-02,18,False
2017-07-09,37,False
2017-07-16,36,False
2017-07-23,18,False
2017-07-30,44,False
2017-08-06,9,False
2017-08-13,18,False
2017-08-20,44,False
2017-08-27,26,False
2017-09-03,61,False
2017-09-10,17,False
2017-09-17,60,False
2017-09-24,34,False
2017-10-01,59,False
2017-10-08,8,False
2017-10-15,17,False
2017-10-22,42,False
2017-10-29,42,False
2017-11-05,66,False
2017-11-12,74,False
2017-11-19,8,False
2017-11-26,33,False
2017-12-03,25,False
2017-12-10,25,False
2017-12-17,42,False
2017-12-24,45,False
2017-12-31,17,False
2018-01-07,32,False
2018-01-14,40,False
2018-01-21,24,False
2018-01-28,40,False
2018-02-04,64,False
2018-02-11,48,False
2018-02-18,79,False
2018-02-25,46,False
2018-03-04,31,False
2018-03-11,16,False
2018-03-18,40,False
2018-03-25,25,False
2018-04-01,24,False
2018-04-08,47,False
2018-04-15,16,False
2018-04-22,16,False
2018-04-29,41,False
2018-05-06,64,False
2018-05-13,81,False
2018-05-20,16,False
2018-05-27,16,False
2018-06-03,48,False
2018-06-10,31,False
2018-06-17,16,False
2018-06-24,8,False
2018-07-01,32,False
2018-07-08,8,False
2018-07-15,16,False
2018-07-22,16,False
2018-07-29,8,False
2018-08-05,31,False
2018-08-12,40,False
2018-08-19,33,False
2018-08-26,31,False
2018-09-02,39,False
2018-09-09,15,False
2018-09-16,23,False
2018-09-23,39,False
2018-09-30,55,False
2018-10-07,39,False
2018-10-14,56,False
2018-10-21,23,False
2018-10-28,56,False
2018-11-04,84,False
2018-11-11,39,False
2018-11-18,24,False
2018-11-25,54,False
2018-12-02,39,False
2018-12-09,32,False
2018-12-16,24,False
2018-12-23,9,False
2018-12-30,17,False
2019-01-06,23,False
2019-01-13,62,False
2019-01-20,23,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,45,False
2019-02-17,38,False
2019-02-24,45,False
2019-03-03,61,False
2019-03-10,54,False
2019-03-17,31,False
