date,KEYS,isPartial
2016-08-21,56,False
2016-08-28,74,False
2016-09-04,59,False
2016-09-11,56,False
2016-09-18,81,False
2016-09-25,71,False
2016-10-02,64,False
2016-10-09,59,False
2016-10-16,55,False
2016-10-23,56,False
2016-10-30,60,False
2016-11-06,55,False
2016-11-13,57,False
2016-11-20,57,False
2016-11-27,55,False
2016-12-04,55,False
2016-12-11,54,False
2016-12-18,55,False
2016-12-25,54,False
2017-01-01,54,False
2017-01-08,52,False
2017-01-15,53,False
2017-01-22,53,False
2017-01-29,52,False
2017-02-05,53,False
2017-02-12,60,False
2017-02-19,55,False
2017-02-26,66,False
2017-03-05,59,False
2017-03-12,58,False
2017-03-19,57,False
2017-03-26,55,False
2017-04-02,53,False
2017-04-09,51,False
2017-04-16,51,False
2017-04-23,48,False
2017-04-30,51,False
2017-05-07,49,False
2017-05-14,48,False
2017-05-21,50,False
2017-05-28,50,False
2017-06-04,48,False
2017-06-11,48,False
2017-06-18,49,False
2017-06-25,49,False
2017-07-02,50,False
2017-07-09,50,False
2017-07-16,50,False
2017-07-23,51,False
2017-07-30,51,False
2017-08-06,51,False
2017-08-13,48,False
2017-08-20,47,False
2017-08-27,48,False
2017-09-03,89,False
2017-09-10,100,False
2017-09-17,56,False
2017-09-24,49,False
2017-10-01,46,False
2017-10-08,45,False
2017-10-15,47,False
2017-10-22,45,False
2017-10-29,48,False
2017-11-05,47,False
2017-11-12,47,False
2017-11-19,44,False
2017-11-26,45,False
2017-12-03,47,False
2017-12-10,47,False
2017-12-17,46,False
2017-12-24,50,False
2017-12-31,49,False
2018-01-07,47,False
2018-01-14,51,False
2018-01-21,50,False
2018-01-28,50,False
2018-02-04,50,False
2018-02-11,47,False
2018-02-18,48,False
2018-02-25,48,False
2018-03-04,52,False
2018-03-11,51,False
2018-03-18,50,False
2018-03-25,51,False
2018-04-01,49,False
2018-04-08,50,False
2018-04-15,48,False
2018-04-22,49,False
2018-04-29,46,False
2018-05-06,46,False
2018-05-13,47,False
2018-05-20,45,False
2018-05-27,45,False
2018-06-03,51,False
2018-06-10,43,False
2018-06-17,44,False
2018-06-24,42,False
2018-07-01,48,False
2018-07-08,45,False
2018-07-15,45,False
2018-07-22,45,False
2018-07-29,45,False
2018-08-05,45,False
2018-08-12,45,False
2018-08-19,44,False
2018-08-26,47,False
2018-09-02,58,False
2018-09-09,42,False
2018-09-16,44,False
2018-09-23,42,False
2018-09-30,42,False
2018-10-07,43,False
2018-10-14,42,False
2018-10-21,42,False
2018-10-28,43,False
2018-11-04,43,False
2018-11-11,42,False
2018-11-18,41,False
2018-11-25,42,False
2018-12-02,42,False
2018-12-09,43,False
2018-12-16,42,False
2018-12-23,42,False
2018-12-30,44,False
2019-01-06,43,False
2019-01-13,46,False
2019-01-20,47,False
2019-01-27,49,False
2019-02-03,54,False
2019-02-10,82,False
2019-02-17,47,False
2019-02-24,46,False
2019-03-03,46,False
2019-03-10,50,False
2019-03-17,49,False
2019-03-24,46,False
2019-03-31,48,False
2019-04-07,44,False
2019-04-14,45,False
2019-04-21,45,False
2019-04-28,42,False
2019-05-05,42,False
2019-05-12,41,False
2019-05-19,40,False
2019-05-26,44,False
2019-06-02,46,False
2019-06-09,43,False
2019-06-16,45,False
2019-06-23,45,False
2019-06-30,44,False
2019-07-07,43,False
2019-07-14,44,False
2019-07-21,44,False
2019-07-28,43,False
2019-08-04,41,False
2019-08-11,45,False
2019-08-18,46,False
2019-08-25,47,False
2019-09-01,45,False
2019-09-08,46,False
2019-09-15,51,False
