date,TTWO,isPartial
2016-08-21,3,False
2016-08-28,20,False
2016-09-04,15,False
2016-09-11,8,False
2016-09-18,10,False
2016-09-25,13,False
2016-10-02,2,False
2016-10-09,6,False
2016-10-16,13,False
2016-10-23,10,False
2016-10-30,23,False
2016-11-06,8,False
2016-11-13,13,False
2016-11-20,5,False
2016-11-27,5,False
2016-12-04,8,False
2016-12-11,8,False
2016-12-18,13,False
2016-12-25,10,False
2017-01-01,3,False
2017-01-08,5,False
2017-01-15,15,False
2017-01-22,14,False
2017-01-29,15,False
2017-02-05,19,False
2017-02-12,15,False
2017-02-19,10,False
2017-02-26,13,False
2017-03-05,16,False
2017-03-12,10,False
2017-03-19,10,False
2017-03-26,7,False
2017-04-02,6,False
2017-04-09,2,False
2017-04-16,6,False
2017-04-23,15,False
2017-04-30,9,False
2017-05-07,18,False
2017-05-14,22,False
2017-05-21,48,False
2017-05-28,22,False
2017-06-04,25,False
2017-06-11,21,False
2017-06-18,22,False
2017-06-25,18,False
2017-07-02,13,False
2017-07-09,14,False
2017-07-16,16,False
2017-07-23,25,False
2017-07-30,47,False
2017-08-06,21,False
2017-08-13,12,False
2017-08-20,20,False
2017-08-27,17,False
2017-09-03,18,False
2017-09-10,24,False
2017-09-17,25,False
2017-09-24,31,False
2017-10-01,27,False
2017-10-08,16,False
2017-10-15,21,False
2017-10-22,19,False
2017-10-29,25,False
2017-11-05,53,False
2017-11-12,35,False
2017-11-19,15,False
2017-11-26,34,False
2017-12-03,30,False
2017-12-10,20,False
2017-12-17,17,False
2017-12-24,15,False
2017-12-31,23,False
2018-01-07,30,False
2018-01-14,11,False
2018-01-21,22,False
2018-01-28,38,False
2018-02-04,57,False
2018-02-11,24,False
2018-02-18,14,False
2018-02-25,31,False
2018-03-04,26,False
2018-03-11,36,False
2018-03-18,21,False
2018-03-25,16,False
2018-04-01,23,False
2018-04-08,27,False
2018-04-15,31,False
2018-04-22,17,False
2018-04-29,28,False
2018-05-06,35,False
2018-05-13,58,False
2018-05-20,23,False
2018-05-27,9,False
2018-06-03,18,False
2018-06-10,36,False
2018-06-17,24,False
2018-06-24,20,False
2018-07-01,8,False
2018-07-08,19,False
2018-07-15,9,False
2018-07-22,24,False
2018-07-29,63,False
2018-08-05,36,False
2018-08-12,18,False
2018-08-19,19,False
2018-08-26,30,False
2018-09-02,21,False
2018-09-09,31,False
2018-09-16,29,False
2018-09-23,25,False
2018-09-30,31,False
2018-10-07,43,False
2018-10-14,38,False
2018-10-21,77,False
2018-10-28,76,False
2018-11-04,74,False
2018-11-11,46,False
2018-11-18,42,False
2018-11-25,46,False
2018-12-02,66,False
2018-12-09,28,False
2018-12-16,30,False
2018-12-23,18,False
2018-12-30,26,False
2019-01-06,32,False
2019-01-13,34,False
2019-01-20,32,False
