date,MKTX,isPartial
2016-08-21,24,False
2016-08-28,0,False
2016-09-04,35,False
2016-09-11,0,False
2016-09-18,12,False
2016-09-25,0,False
2016-10-02,0,False
2016-10-09,0,False
2016-10-16,23,False
2016-10-23,11,False
2016-10-30,12,False
2016-11-06,22,False
2016-11-13,11,False
2016-11-20,11,False
2016-11-27,11,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,23,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,11,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,31,False
2017-02-05,21,False
2017-02-12,21,False
2017-02-19,21,False
2017-02-26,10,False
2017-03-05,0,False
2017-03-12,10,False
2017-03-19,0,False
2017-03-26,10,False
2017-04-02,31,False
2017-04-09,11,False
2017-04-16,10,False
2017-04-23,10,False
2017-04-30,21,False
2017-05-07,10,False
2017-05-14,11,False
2017-05-21,11,False
2017-05-28,0,False
2017-06-04,11,False
2017-06-11,22,False
2017-06-18,22,False
2017-06-25,0,False
2017-07-02,11,False
2017-07-09,11,False
2017-07-16,0,False
2017-07-23,11,False
2017-07-30,22,False
2017-08-06,0,False
2017-08-13,11,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,21,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,31,False
2017-11-05,20,False
2017-11-12,0,False
2017-11-19,10,False
2017-11-26,0,False
2017-12-03,10,False
2017-12-10,10,False
2017-12-17,11,False
2017-12-24,0,False
2017-12-31,11,False
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,0,False
2018-01-28,29,False
2018-02-04,0,False
2018-02-11,29,False
2018-02-18,10,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,10,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,10,False
2018-04-08,39,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,10,False
2018-06-10,10,False
2018-06-17,10,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,10,False
2018-07-15,0,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,0,False
