date,NRG,isPartial
2016-08-21,34,False
2016-08-28,39,False
2016-09-04,35,False
2016-09-11,34,False
2016-09-18,38,False
2016-09-25,37,False
2016-10-02,24,False
2016-10-09,27,False
2016-10-16,35,False
2016-10-23,25,False
2016-10-30,27,False
2016-11-06,27,False
2016-11-13,32,False
2016-11-20,32,False
2016-11-27,30,False
2016-12-04,29,False
2016-12-11,28,False
2016-12-18,31,False
2016-12-25,37,False
2017-01-01,36,False
2017-01-08,41,False
2017-01-15,38,False
2017-01-22,45,False
2017-01-29,56,False
2017-02-05,100,False
2017-02-12,37,False
2017-02-19,33,False
2017-02-26,36,False
2017-03-05,36,False
2017-03-12,40,False
2017-03-19,35,False
2017-03-26,28,False
2017-04-02,28,False
2017-04-09,30,False
2017-04-16,27,False
2017-04-23,32,False
2017-04-30,27,False
2017-05-07,32,False
2017-05-14,33,False
2017-05-21,35,False
2017-05-28,29,False
2017-06-04,28,False
2017-06-11,29,False
2017-06-18,26,False
2017-06-25,29,False
2017-07-02,26,False
2017-07-09,32,False
2017-07-16,39,False
2017-07-23,29,False
2017-07-30,33,False
2017-08-06,26,False
2017-08-13,30,False
2017-08-20,34,False
2017-08-27,40,False
2017-09-03,30,False
2017-09-10,29,False
2017-09-17,27,False
2017-09-24,27,False
2017-10-01,33,False
2017-10-08,30,False
2017-10-15,30,False
2017-10-22,27,False
2017-10-29,26,False
2017-11-05,29,False
2017-11-12,23,False
2017-11-19,29,False
2017-11-26,23,False
2017-12-03,27,False
2017-12-10,27,False
2017-12-17,25,False
2017-12-24,35,False
2017-12-31,25,False
2018-01-07,33,False
2018-01-14,25,False
2018-01-21,29,False
2018-01-28,28,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,28,False
2018-02-25,32,False
2018-03-04,36,False
2018-03-11,38,False
2018-03-18,29,False
2018-03-25,27,False
2018-04-01,25,False
2018-04-08,27,False
2018-04-15,31,False
2018-04-22,24,False
2018-04-29,27,False
2018-05-06,25,False
2018-05-13,27,False
2018-05-20,24,False
2018-05-27,23,False
2018-06-03,24,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,22,False
2018-07-15,22,False
2018-07-22,27,False
2018-07-29,28,False
2018-08-05,25,False
2018-08-12,25,False
2018-08-19,27,False
2018-08-26,33,False
2018-09-02,36,False
2018-09-09,35,False
2018-09-16,31,False
2018-09-23,32,False
2018-09-30,28,False
2018-10-07,32,False
2018-10-14,36,False
2018-10-21,31,False
2018-10-28,25,False
2018-11-04,28,False
2018-11-11,28,False
2018-11-18,25,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,27,False
2018-12-16,22,False
2018-12-23,23,False
2018-12-30,33,False
2019-01-06,32,False
2019-01-13,24,False
2019-01-20,25,False
2019-01-27,27,False
2019-02-03,28,False
2019-02-10,30,False
2019-02-17,32,False
2019-02-24,36,False
2019-03-03,34,False
2019-03-10,37,False
2019-03-17,28,False
2019-03-24,29,False
2019-03-31,29,False
2019-04-07,28,False
2019-04-14,26,False
2019-04-21,22,False
2019-04-28,27,False
2019-05-05,23,False
2019-05-12,25,False
2019-05-19,25,False
2019-05-26,24,False
2019-06-02,27,False
2019-06-09,23,False
2019-06-16,29,False
2019-06-23,43,False
2019-06-30,31,False
2019-07-07,28,False
2019-07-14,35,False
2019-07-21,36,False
2019-07-28,28,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,28,False
2019-08-25,30,False
2019-09-01,28,False
2019-09-08,31,False
2019-09-15,35,False
2019-09-22,39,False
2019-09-29,29,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,27,False
2019-11-03,24,False
2019-11-10,26,False
2019-11-17,28,False
2019-11-24,24,False
2019-12-01,28,False
2019-12-08,24,False
2019-12-15,23,False
2019-12-22,28,False
2019-12-29,33,False
2020-01-05,27,False
2020-01-12,28,False
2020-01-19,27,False
2020-01-26,24,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,24,False
2020-02-23,29,False
2020-03-01,31,False
2020-03-08,27,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,24,False
2020-04-19,23,False
2020-04-26,25,False
2020-05-03,23,False
2020-05-10,22,False
2020-05-17,27,False
2020-05-24,27,False
2020-05-31,26,False
2020-06-07,29,False
2020-06-14,25,False
2020-06-21,28,False
2020-06-28,29,False
2020-07-05,27,False
2020-07-12,25,False
2020-07-19,31,False
2020-07-26,28,False
2020-08-02,26,False
2020-08-09,29,False
2020-08-16,33,False
2020-08-23,28,False
2020-08-30,31,False
2020-09-06,28,False
2020-09-13,27,False
2020-09-20,25,False
2020-09-27,29,False
2020-10-04,28,False
2020-10-11,26,False
2020-10-18,24,False
2020-10-25,27,False
2020-11-01,25,False
2020-11-08,27,False
2020-11-15,31,False
2020-11-22,27,False
2020-11-29,28,False
2020-12-06,29,False
2020-12-13,26,False
2020-12-20,25,False
2020-12-27,27,False
2021-01-03,26,False
2021-01-10,30,False
2021-01-17,27,False
2021-01-24,25,False
2021-01-31,29,False
2021-02-07,30,False
2021-02-14,31,False
2021-02-21,32,False
2021-02-28,33,False
2021-03-07,32,False
2021-03-14,31,False
2021-03-21,28,False
2021-03-28,28,False
2021-04-04,31,False
2021-04-11,27,False
2021-04-18,29,False
2021-04-25,27,False
2021-05-02,29,False
2021-05-09,30,False
2021-05-16,29,False
2021-05-23,26,False
2021-05-30,26,False
2021-06-06,28,False
2021-06-13,26,False
2021-06-20,28,False
2021-06-27,26,False
2021-07-04,24,False
2021-07-11,26,False
2021-07-18,30,False
2021-07-25,43,False
2021-08-01,37,False
2021-08-08,32,True
