date,AMCR,isPartial
2016-08-21,29,False
2016-08-28,0,False
2016-09-04,14,False
2016-09-11,14,False
2016-09-18,14,False
2016-09-25,0,False
2016-10-02,13,False
2016-10-09,0,False
2016-10-16,27,False
2016-10-23,13,False
2016-10-30,0,False
2016-11-06,13,False
2016-11-13,0,False
2016-11-20,0,False
2016-11-27,13,False
2016-12-04,0,False
2016-12-11,39,False
2016-12-18,14,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,12,False
2017-01-22,25,False
2017-01-29,0,False
2017-02-05,24,False
2017-02-12,0,False
2017-02-19,25,False
2017-02-26,24,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,12,False
2017-04-02,12,False
2017-04-09,0,False
2017-04-16,25,False
2017-04-23,12,False
2017-04-30,25,False
2017-05-07,25,False
2017-05-14,0,False
2017-05-21,13,False
2017-05-28,13,False
2017-06-04,0,False
2017-06-11,26,False
2017-06-18,26,False
2017-06-25,13,False
2017-07-02,14,False
2017-07-09,13,False
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,26,False
2017-08-06,25,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,38,False
2017-09-10,12,False
2017-09-17,12,False
2017-09-24,0,False
2017-10-01,25,False
2017-10-08,25,False
2017-10-15,25,False
2017-10-22,0,False
2017-10-29,25,False
2017-11-05,36,False
2017-11-12,24,False
2017-11-19,12,False
2017-11-26,12,False
2017-12-03,24,False
2017-12-10,12,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,12,False
2018-01-14,0,False
2018-01-21,12,False
2018-01-28,23,False
2018-02-04,12,False
2018-02-11,12,False
2018-02-18,23,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,12,False
2018-04-01,12,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,12,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,12,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,23,False
2018-06-17,0,False
2018-06-24,23,False
2018-07-01,12,False
2018-07-08,12,False
2018-07-15,24,False
2018-07-22,24,False
2018-07-29,0,False
2018-08-05,23,False
2018-08-12,71,False
2018-08-19,12,False
2018-08-26,35,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,11,False
2018-09-23,11,False
2018-09-30,11,False
2018-10-07,11,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,23,False
2018-11-04,0,False
