date,CPRT,isPartial
2016-08-21,0,False
2016-08-28,0,False
2016-09-04,34,False
2016-09-11,9,False
2016-09-18,17,False
2016-09-25,8,False
2016-10-02,25,False
2016-10-09,25,False
2016-10-16,25,False
2016-10-23,8,False
2016-10-30,17,False
2016-11-06,40,False
2016-11-13,8,False
2016-11-20,48,False
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,16,False
2016-12-18,34,False
2016-12-25,0,False
2017-01-01,33,False
2017-01-08,16,False
2017-01-15,8,False
2017-01-22,15,False
2017-01-29,15,False
2017-02-05,30,False
2017-02-12,23,False
2017-02-19,15,False
2017-02-26,30,False
2017-03-05,15,False
2017-03-12,7,False
2017-03-19,8,False
2017-03-26,8,False
2017-04-02,15,False
2017-04-09,8,False
2017-04-16,23,False
2017-04-23,30,False
2017-04-30,0,False
2017-05-07,8,False
2017-05-14,0,False
2017-05-21,33,False
2017-05-28,33,False
2017-06-04,32,False
2017-06-11,24,False
2017-06-18,16,False
2017-06-25,0,False
2017-07-02,17,False
2017-07-09,8,False
2017-07-16,33,False
2017-07-23,24,False
2017-07-30,8,False
2017-08-06,23,False
2017-08-13,0,False
2017-08-20,16,False
2017-08-27,23,False
2017-09-03,8,False
2017-09-10,15,False
2017-09-17,23,False
2017-09-24,15,False
2017-10-01,38,False
2017-10-08,23,False
2017-10-15,8,False
2017-10-22,23,False
2017-10-29,30,False
2017-11-05,15,False
2017-11-12,15,False
2017-11-19,22,False
2017-11-26,22,False
2017-12-03,22,False
2017-12-10,15,False
2017-12-17,47,False
2017-12-24,8,False
2017-12-31,8,False
2018-01-07,15,False
2018-01-14,7,False
2018-01-21,7,False
2018-01-28,14,False
2018-02-04,14,False
2018-02-11,29,False
2018-02-18,43,False
2018-02-25,21,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,15,False
2018-04-01,14,False
2018-04-08,0,False
2018-04-15,7,False
2018-04-22,29,False
2018-04-29,0,False
2018-05-06,51,False
2018-05-13,29,False
2018-05-20,36,False
2018-05-27,36,False
2018-06-03,22,False
2018-06-10,7,False
2018-06-17,14,False
2018-06-24,7,False
2018-07-01,14,False
2018-07-08,57,False
2018-07-15,22,False
2018-07-22,15,False
2018-07-29,21,False
2018-08-05,14,False
2018-08-12,58,False
2018-08-19,22,False
2018-08-26,58,False
2018-09-02,28,False
2018-09-09,42,False
2018-09-16,91,False
2018-09-23,77,False
2018-09-30,35,False
2018-10-07,49,False
2018-10-14,14,False
2018-10-21,21,False
2018-10-28,43,False
2018-11-04,7,False
2018-11-11,7,False
2018-11-18,14,False
2018-11-25,35,False
2018-12-02,28,False
2018-12-09,14,False
2018-12-16,29,False
2018-12-23,16,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,34,False
2019-01-27,21,False
2019-02-03,34,False
2019-02-10,21,False
2019-02-17,55,False
2019-02-24,34,False
2019-03-03,14,False
2019-03-10,14,False
2019-03-17,7,False
2019-03-24,21,False
2019-03-31,35,False
2019-04-07,0,False
2019-04-14,29,False
2019-04-21,7,False
2019-04-28,42,False
2019-05-05,35,False
2019-05-12,42,False
2019-05-19,41,False
2019-05-26,34,False
2019-06-02,14,False
2019-06-09,20,False
2019-06-16,14,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,27,False
2019-07-14,42,False
2019-07-21,7,False
2019-07-28,28,False
2019-08-04,28,False
2019-08-11,35,False
2019-08-18,34,False
2019-08-25,34,False
2019-09-01,67,False
2019-09-08,46,False
2019-09-15,40,False
2019-09-22,33,False
2019-09-29,39,False
2019-10-06,26,False
2019-10-13,45,False
2019-10-20,38,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,32,False
2019-11-17,39,False
2019-11-24,32,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,40,False
2019-12-22,21,False
2019-12-29,27,False
2020-01-05,38,False
2020-01-12,54,False
2020-01-19,100,False
2020-01-26,37,False
2020-02-02,56,False
2020-02-09,24,False
2020-02-16,67,False
2020-02-23,42,False
2020-03-01,47,False
2020-03-08,53,False
2020-03-15,11,False
2020-03-22,22,False
2020-03-29,28,False
2020-04-05,23,False
2020-04-12,28,False
2020-04-19,33,False
2020-04-26,66,False
2020-05-03,22,False
2020-05-10,23,False
2020-05-17,51,False
2020-05-24,6,False
2020-05-31,56,False
2020-06-07,40,False
2020-06-14,29,False
2020-06-21,23,False
2020-06-28,24,False
2020-07-05,30,False
2020-07-12,18,False
2020-07-19,31,False
2020-07-26,31,False
2020-08-02,24,False
2020-08-09,36,False
2020-08-16,24,False
2020-08-23,42,False
2020-08-30,52,False
2020-09-06,47,False
2020-09-13,29,False
2020-09-20,41,False
2020-09-27,48,False
2020-10-04,42,False
2020-10-11,25,False
2020-10-18,50,False
2020-10-25,44,False
2020-11-01,41,False
2020-11-08,25,False
2020-11-15,25,False
2020-11-22,19,False
2020-11-29,30,False
2020-12-06,43,False
2020-12-13,25,False
2020-12-20,47,False
2020-12-27,26,False
2021-01-03,36,False
2021-01-10,49,False
2021-01-17,43,False
2021-01-24,37,False
2021-01-31,18,False
2021-02-07,30,False
2021-02-14,12,False
2021-02-21,36,False
2021-02-28,37,False
2021-03-07,37,False
2021-03-14,23,False
2021-03-21,18,False
2021-03-28,51,False
2021-04-04,19,False
2021-04-11,43,False
2021-04-18,50,False
2021-04-25,30,False
2021-05-02,31,False
2021-05-09,19,False
2021-05-16,19,False
2021-05-23,31,False
2021-05-30,12,False
2021-06-06,31,False
2021-06-13,25,False
2021-06-20,32,False
2021-06-27,38,False
2021-07-04,6,False
2021-07-11,26,False
2021-07-18,53,False
2021-07-25,19,False
2021-08-01,26,False
2021-08-08,45,True
