date,EOG,isPartial
2016-08-21,18,False
2016-08-28,22,False
2016-09-04,28,False
2016-09-11,16,False
2016-09-18,21,False
2016-09-25,19,False
2016-10-02,20,False
2016-10-09,17,False
2016-10-16,19,False
2016-10-23,16,False
2016-10-30,16,False
2016-11-06,21,False
2016-11-13,24,False
2016-11-20,18,False
2016-11-27,26,False
2016-12-04,22,False
2016-12-11,19,False
2016-12-18,19,False
2016-12-25,11,False
2017-01-01,18,False
2017-01-08,23,False
2017-01-15,25,False
2017-01-22,23,False
2017-01-29,24,False
2017-02-05,30,False
2017-02-12,18,False
2017-02-19,23,False
2017-02-26,27,False
2017-03-05,29,False
2017-03-12,27,False
2017-03-19,29,False
2017-03-26,36,False
2017-04-02,37,False
2017-04-09,26,False
2017-04-16,35,False
2017-04-23,42,False
2017-04-30,54,False
2017-05-07,57,False
2017-05-14,68,False
2017-05-21,100,False
2017-05-28,79,False
2017-06-04,35,False
2017-06-11,33,False
2017-06-18,27,False
2017-06-25,21,False
2017-07-02,20,False
2017-07-09,17,False
2017-07-16,17,False
2017-07-23,23,False
2017-07-30,19,False
2017-08-06,15,False
2017-08-13,13,False
2017-08-20,14,False
2017-08-27,17,False
2017-09-03,17,False
2017-09-10,22,False
2017-09-17,18,False
2017-09-24,20,False
2017-10-01,17,False
2017-10-08,24,False
2017-10-15,18,False
2017-10-22,22,False
2017-10-29,21,False
2017-11-05,21,False
2017-11-12,15,False
2017-11-19,18,False
2017-11-26,19,False
2017-12-03,15,False
2017-12-10,16,False
2017-12-17,12,False
2017-12-24,12,False
2017-12-31,15,False
2018-01-07,24,False
2018-01-14,23,False
2018-01-21,18,False
2018-01-28,24,False
2018-02-04,28,False
2018-02-11,18,False
2018-02-18,20,False
2018-02-25,23,False
2018-03-04,24,False
2018-03-11,25,False
2018-03-18,29,False
2018-03-25,24,False
2018-04-01,21,False
2018-04-08,33,False
2018-04-15,38,False
2018-04-22,40,False
2018-04-29,49,False
2018-05-06,60,False
2018-05-13,70,False
2018-05-20,89,False
2018-05-27,77,False
2018-06-03,42,False
2018-06-10,33,False
2018-06-17,24,False
2018-06-24,16,False
2018-07-01,15,False
2018-07-08,16,False
2018-07-15,17,False
2018-07-22,18,False
2018-07-29,19,False
2018-08-05,19,False
2018-08-12,18,False
2018-08-19,16,False
2018-08-26,18,False
2018-09-02,18,False
2018-09-09,26,False
2018-09-16,20,False
2018-09-23,16,False
2018-09-30,19,False
2018-10-07,19,False
2018-10-14,15,False
2018-10-21,24,False
2018-10-28,15,False
2018-11-04,20,False
2018-11-11,18,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,18,False
2018-12-09,19,False
2018-12-16,18,False
2018-12-23,11,False
2018-12-30,15,False
2019-01-06,18,False
2019-01-13,20,False
2019-01-20,20,False
2019-01-27,14,False
2019-02-03,31,False
2019-02-10,28,False
2019-02-17,25,False
2019-02-24,30,False
2019-03-03,25,False
2019-03-10,28,False
2019-03-17,23,False
2019-03-24,31,False
2019-03-31,27,False
2019-04-07,43,False
2019-04-14,31,False
2019-04-21,32,False
2019-04-28,42,False
2019-05-05,59,False
2019-05-12,60,False
2019-05-19,67,False
2019-05-26,75,False
2019-06-02,47,False
2019-06-09,26,False
2019-06-16,22,False
2019-06-23,24,False
2019-06-30,16,False
2019-07-07,19,False
2019-07-14,15,False
2019-07-21,13,False
2019-07-28,23,False
2019-08-04,23,False
2019-08-11,15,False
2019-08-18,24,False
2019-08-25,21,False
2019-09-01,21,False
2019-09-08,19,False
2019-09-15,25,False
2019-09-22,16,False
2019-09-29,21,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,18,False
2019-10-27,21,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,20,False
2019-11-24,13,False
2019-12-01,21,False
2019-12-08,25,False
2019-12-15,19,False
2019-12-22,14,False
2019-12-29,17,False
2020-01-05,26,False
2020-01-12,25,False
2020-01-19,21,False
2020-01-26,21,False
2020-02-02,25,False
2020-02-09,18,False
2020-02-16,24,False
2020-02-23,29,False
2020-03-01,25,False
2020-03-08,40,False
2020-03-15,35,False
2020-03-22,21,False
2020-03-29,24,False
2020-04-05,21,False
2020-04-12,24,False
2020-04-19,32,False
2020-04-26,21,False
2020-05-03,25,False
2020-05-10,26,False
2020-05-17,24,False
2020-05-24,23,False
2020-05-31,17,False
2020-06-07,26,False
2020-06-14,20,False
2020-06-21,20,False
2020-06-28,14,False
2020-07-05,21,False
2020-07-12,21,False
2020-07-19,18,False
2020-07-26,17,False
2020-08-02,18,False
2020-08-09,18,False
2020-08-16,13,False
2020-08-23,14,False
2020-08-30,16,False
2020-09-06,20,False
2020-09-13,16,False
2020-09-20,17,False
2020-09-27,16,False
2020-10-04,15,False
2020-10-11,18,False
2020-10-18,20,False
2020-10-25,15,False
2020-11-01,18,False
2020-11-08,18,False
2020-11-15,21,False
2020-11-22,13,False
2020-11-29,19,False
2020-12-06,16,False
2020-12-13,17,False
2020-12-20,10,False
2020-12-27,12,False
2021-01-03,15,False
2021-01-10,21,False
2021-01-17,24,False
2021-01-24,21,False
2021-01-31,17,False
2021-02-07,17,False
2021-02-14,15,False
2021-02-21,28,False
2021-02-28,19,False
2021-03-07,18,False
2021-03-14,22,False
2021-03-21,22,False
2021-03-28,19,False
2021-04-04,16,False
2021-04-11,21,False
2021-04-18,21,False
2021-04-25,21,False
2021-05-02,28,False
2021-05-09,42,False
