date,CTSH,isPartial
2016-08-21,28,False
2016-08-28,34,False
2016-09-04,34,False
2016-09-11,44,False
2016-09-18,28,False
2016-09-25,70,False
2016-10-02,85,False
2016-10-09,59,False
2016-10-16,55,False
2016-10-23,33,False
2016-10-30,30,False
2016-11-06,100,False
2016-11-13,69,False
2016-11-20,38,False
2016-11-27,71,False
2016-12-04,47,False
2016-12-11,49,False
2016-12-18,53,False
2016-12-25,29,False
2017-01-01,64,False
2017-01-08,38,False
2017-01-15,41,False
2017-01-22,45,False
2017-01-29,69,False
2017-02-05,84,False
2017-02-12,59,False
2017-02-19,65,False
2017-02-26,70,False
2017-03-05,45,False
2017-03-12,57,False
2017-03-19,55,False
2017-03-26,39,False
2017-04-02,42,False
2017-04-09,29,False
2017-04-16,43,False
2017-04-23,40,False
2017-04-30,86,False
2017-05-07,93,False
2017-05-14,77,False
2017-05-21,74,False
2017-05-28,59,False
2017-06-04,59,False
2017-06-11,56,False
2017-06-18,37,False
2017-06-25,47,False
2017-07-02,38,False
2017-07-09,52,False
2017-07-16,46,False
2017-07-23,46,False
2017-07-30,70,False
2017-08-06,74,False
2017-08-13,72,False
2017-08-20,46,False
2017-08-27,51,False
2017-09-03,29,False
2017-09-10,33,False
2017-09-17,42,False
2017-09-24,35,False
2017-10-01,66,False
2017-10-08,28,False
2017-10-15,57,False
2017-10-22,37,False
2017-10-29,75,False
2017-11-05,56,False
2017-11-12,41,False
2017-11-19,31,False
2017-11-26,33,False
2017-12-03,34,False
2017-12-10,36,False
2017-12-17,32,False
2017-12-24,21,False
2017-12-31,38,False
2018-01-07,27,False
2018-01-14,42,False
2018-01-21,65,False
2018-01-28,48,False
2018-02-04,82,False
2018-02-11,65,False
2018-02-18,70,False
2018-02-25,62,False
2018-03-04,46,False
2018-03-11,65,False
2018-03-18,36,False
2018-03-25,38,False
2018-04-01,48,False
2018-04-08,37,False
2018-04-15,38,False
2018-04-22,30,False
2018-04-29,37,False
2018-05-06,69,False
2018-05-13,41,False
2018-05-20,39,False
2018-05-27,29,False
2018-06-03,45,False
2018-06-10,43,False
2018-06-17,41,False
2018-06-24,29,False
2018-07-01,35,False
2018-07-08,45,False
2018-07-15,35,False
