date,AVB,isPartial
2016-08-21,42,False
2016-08-28,65,False
2016-09-04,45,False
2016-09-11,57,False
2016-09-18,66,False
2016-09-25,58,False
2016-10-02,71,False
2016-10-09,58,False
2016-10-16,49,False
2016-10-23,58,False
2016-10-30,58,False
2016-11-06,66,False
2016-11-13,56,False
2016-11-20,66,False
2016-11-27,52,False
2016-12-04,60,False
2016-12-11,62,False
2016-12-18,41,False
2016-12-25,42,False
2017-01-01,52,False
2017-01-08,57,False
2017-01-15,53,False
2017-01-22,55,False
2017-01-29,46,False
2017-02-05,77,False
2017-02-12,66,False
2017-02-19,62,False
2017-02-26,76,False
2017-03-05,65,False
2017-03-12,54,False
2017-03-19,73,False
2017-03-26,62,False
2017-04-02,71,False
2017-04-09,43,False
2017-04-16,61,False
2017-04-23,67,False
2017-04-30,62,False
2017-05-07,64,False
2017-05-14,68,False
2017-05-21,60,False
2017-05-28,37,False
2017-06-04,50,False
2017-06-11,64,False
2017-06-18,54,False
2017-06-25,36,False
2017-07-02,50,False
2017-07-09,61,False
2017-07-16,51,False
2017-07-23,69,False
2017-07-30,40,False
2017-08-06,45,False
2017-08-13,59,False
2017-08-20,55,False
2017-08-27,50,False
2017-09-03,58,False
2017-09-10,47,False
2017-09-17,50,False
2017-09-24,57,False
2017-10-01,53,False
2017-10-08,53,False
2017-10-15,47,False
2017-10-22,62,False
2017-10-29,58,False
2017-11-05,56,False
2017-11-12,53,False
2017-11-19,48,False
2017-11-26,44,False
2017-12-03,52,False
2017-12-10,58,False
2017-12-17,57,False
2017-12-24,43,False
2017-12-31,54,False
2018-01-07,53,False
2018-01-14,67,False
2018-01-21,56,False
2018-01-28,53,False
2018-02-04,57,False
2018-02-11,69,False
2018-02-18,60,False
2018-02-25,52,False
2018-03-04,54,False
2018-03-11,67,False
2018-03-18,70,False
2018-03-25,60,False
2018-04-01,60,False
2018-04-08,69,False
2018-04-15,65,False
2018-04-22,73,False
2018-04-29,54,False
2018-05-06,59,False
2018-05-13,54,False
2018-05-20,50,False
2018-05-27,60,False
2018-06-03,48,False
2018-06-10,65,False
2018-06-17,62,False
2018-06-24,57,False
2018-07-01,46,False
2018-07-08,50,False
2018-07-15,64,False
2018-07-22,48,False
2018-07-29,46,False
2018-08-05,53,False
2018-08-12,54,False
2018-08-19,79,False
2018-08-26,67,False
