date,QCOM,isPartial
2016-08-21,10,False
2016-08-28,15,False
2016-09-04,13,False
2016-09-11,13,False
2016-09-18,11,False
2016-09-25,20,False
2016-10-02,14,False
2016-10-09,14,False
2016-10-16,12,False
2016-10-23,23,False
2016-10-30,21,False
2016-11-06,19,False
2016-11-13,12,False
2016-11-20,12,False
2016-11-27,19,False
2016-12-04,14,False
2016-12-11,12,False
2016-12-18,13,False
2016-12-25,14,False
2017-01-01,14,False
2017-01-08,13,False
2017-01-15,18,False
2017-01-22,58,False
2017-01-29,26,False
2017-02-05,26,False
2017-02-12,28,False
2017-02-19,20,False
2017-02-26,16,False
2017-03-05,18,False
2017-03-12,18,False
2017-03-19,13,False
2017-03-26,15,False
2017-04-02,17,False
2017-04-09,16,False
2017-04-16,30,False
2017-04-23,21,False
2017-04-30,22,False
2017-05-07,16,False
2017-05-14,27,False
2017-05-21,25,False
2017-05-28,23,False
2017-06-04,20,False
2017-06-11,15,False
2017-06-18,12,False
2017-06-25,15,False
2017-07-02,16,False
2017-07-09,14,False
2017-07-16,40,False
2017-07-23,14,False
2017-07-30,16,False
2017-08-06,19,False
2017-08-13,17,False
2017-08-20,15,False
2017-08-27,15,False
2017-09-03,17,False
2017-09-10,22,False
2017-09-17,19,False
2017-09-24,17,False
2017-10-01,16,False
2017-10-08,28,False
2017-10-15,18,False
2017-10-22,22,False
2017-10-29,61,False
2017-11-05,78,False
2017-11-12,51,False
2017-11-19,31,False
2017-11-26,38,False
2017-12-03,29,False
2017-12-10,24,False
2017-12-17,23,False
2017-12-24,17,False
2017-12-31,20,False
2018-01-07,20,False
2018-01-14,22,False
2018-01-21,25,False
2018-01-28,36,False
2018-02-04,51,False
2018-02-11,39,False
2018-02-18,35,False
2018-02-25,38,False
2018-03-04,35,False
2018-03-11,52,False
2018-03-18,39,False
2018-03-25,26,False
2018-04-01,23,False
2018-04-08,25,False
2018-04-15,29,False
2018-04-22,37,False
2018-04-29,25,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,29,False
2018-05-27,28,False
2018-06-03,33,False
2018-06-10,29,False
2018-06-17,21,False
2018-06-24,24,False
2018-07-01,17,False
2018-07-08,19,False
2018-07-15,21,False
2018-07-22,53,False
2018-07-29,37,False
2018-08-05,25,False
2018-08-12,22,False
2018-08-19,27,False
2018-08-26,36,False
2018-09-02,25,False
2018-09-09,30,False
2018-09-16,31,False
2018-09-23,22,False
2018-09-30,20,False
2018-10-07,19,False
2018-10-14,22,False
2018-10-21,17,False
2018-10-28,16,False
2018-11-04,30,False
2018-11-11,20,False
2018-11-18,15,False
2018-11-25,20,False
2018-12-02,24,False
2018-12-09,22,False
2018-12-16,18,False
2018-12-23,13,False
2018-12-30,18,False
2019-01-06,23,False
2019-01-13,17,False
2019-01-20,25,False
2019-01-27,43,False
2019-02-03,31,False
2019-02-10,22,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,24,False
2019-03-10,31,False
2019-03-17,27,False
2019-03-24,30,False
2019-03-31,26,False
2019-04-07,23,False
2019-04-14,100,False
2019-04-21,84,False
2019-04-28,77,False
2019-05-05,43,False
2019-05-12,35,False
2019-05-19,67,False
2019-05-26,29,False
2019-06-02,30,False
2019-06-09,26,False
2019-06-16,26,False
2019-06-23,31,False
2019-06-30,35,False
2019-07-07,27,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,38,False
2019-08-04,23,False
2019-08-11,22,False
2019-08-18,30,False
2019-08-25,29,False
2019-09-01,23,False
2019-09-08,30,False
2019-09-15,26,False
2019-09-22,24,False
2019-09-29,17,False
2019-10-06,23,False
2019-10-13,22,False
2019-10-20,25,False
2019-10-27,28,False
2019-11-03,60,False
2019-11-10,33,False
2019-11-17,32,False
2019-11-24,24,False
2019-12-01,23,False
2019-12-08,35,False
2019-12-15,30,False
2019-12-22,22,False
2019-12-29,20,False
2020-01-05,24,False
2020-01-12,37,False
2020-01-19,31,False
2020-01-26,30,False
2020-02-02,46,False
2020-02-09,34,False
2020-02-16,28,False
2020-02-23,40,False
2020-03-01,29,False
2020-03-08,39,False
2020-03-15,32,False
2020-03-22,27,False
2020-03-29,25,False
2020-04-05,26,False
2020-04-12,24,False
2020-04-19,22,False
2020-04-26,31,False
2020-05-03,28,False
2020-05-10,29,False
2020-05-17,24,False
2020-05-24,25,False
2020-05-31,37,False
2020-06-07,37,False
2020-06-14,29,False
2020-06-21,25,False
2020-06-28,24,False
2020-07-05,33,False
2020-07-12,25,False
2020-07-19,25,False
2020-07-26,71,False
2020-08-02,47,False
2020-08-09,47,False
2020-08-16,31,False
2020-08-23,30,False
2020-08-30,37,False
2020-09-06,27,False
2020-09-13,27,False
2020-09-20,23,False
2020-09-27,24,False
2020-10-04,30,False
2020-10-11,38,False
2020-10-18,22,False
2020-10-25,25,False
2020-11-01,51,False
2020-11-08,38,False
2020-11-15,37,False
2020-11-22,30,False
2020-11-29,39,False
2020-12-06,46,False
2020-12-13,34,False
2020-12-20,26,False
2020-12-27,25,False
2021-01-03,34,False
2021-01-10,29,False
2021-01-17,35,False
2021-01-24,40,False
2021-01-31,88,False
2021-02-07,50,False
2021-02-14,36,False
2021-02-21,42,False
2021-02-28,36,False
2021-03-07,38,False
2021-03-14,38,False
2021-03-21,28,False
2021-03-28,28,False
2021-04-04,38,False
2021-04-11,33,False
2021-04-18,29,False
2021-04-25,45,False
2021-05-02,26,False
2021-05-09,34,False
2021-05-16,26,False
2021-05-23,34,False
2021-05-30,27,False
2021-06-06,27,False
2021-06-13,36,False
2021-06-20,35,False
2021-06-27,33,False
2021-07-04,25,False
2021-07-11,28,False
2021-07-18,25,False
2021-07-25,42,False
2021-08-01,36,False
2021-08-08,27,True
